arm	evt	cid	run	subrun	stm	tgm	fc	label	length	L_stop	body	body_n	ent	ent_n	rise	shoulder	sh_nofirst	excess	rejected
work-mcp1k-r2probe	283817	14	18255	1	1	0	0	STM	165.2	119.3	1.03	118	0.91	5	0.89	0.0	0.0	0.1	0
work-mcp1k-r2probe	283905	4	18255	1	0	0	0	nu-candidate	109.7	112.1	0.97	110	0.94	6	0.97	0.0	0.0	0.0	0
work-mcp1k-r2probe	283969	22	18255	1	1	0	0	STM	383.0	394.7	0.91	534	0.31	6	0.34	0.0	0.0	0.0	0
work-mcp1k-r2probe	284145	11	18255	1	0	0	0	nu-candidate	270.8	238.5	0.97	304	1.29	5	1.33	0.6	0.0	1.9	0
work-mcp1k-r2probe	285080	19	18255	1	1	0	0	STM	321.6	329.1	0.86	453	0.73	6	0.85	0.0	0.0	0.3	0
work-mcp1k-r2probe	285185	21	18255	1	1	0	0	STM	141.9	134.8	0.97	142	0.88	4	0.9	0.0	0.0	0.0	0
work-mcp1k-r2probe	286065	3	18255	1	1	0	0	STM	237.8	250.9	0.91	322	0.83	5	0.92	0.0	0.0	0.1	0
work-mcp1k-r2probe	286631	7	18255	1	1	0	0	STM	243.0	207.9	0.93	253	1.09	5	1.16	0.0	0.0	0.0	0
work-mcp1k-r2probe	287007	12	18255	1	1	0	0	STM	127.5	101.1	0.91	87	1.1	5	1.21	0.0	0.0	0.2	0
work-mcp1k-r2probe	288358	7	18255	1	1	0	0	STM	355.3	293.0	0.91	390	1.02	5	1.13	0.0	0.0	0.2	0
work-mcp1k-r2probe	288639	12	?	?	?	?	?	?	0.0	82.6	0.98	57	1.04	6	1.05	0.0	0.0	0.0	0
work-mcp1k-r2probe	288859	9	18255	1	0	0	0	nu-candidate	328.1	331.0	0.92	445	0.92	5	1.0	0.0	0.0	0.0	0
work-mcp1k-r2probe	289647	9	18255	1	1	0	0	STM	118.5	121.2	0.97	115	1.21	5	1.25	0.0	0.0	0.2	0
work-mcp1k-r2probe	290201	9	18255	1	1	0	0	STM	114.8	112.4	0.93	106	0.58	5	0.62	0.0	0.0	0.0	0
work-mcp1k-r2probe	290316	10	18255	1	1	0	0	STM	239.1	244.4	0.96	308	1.71	5	1.78	4.4	3.6	3.2	0
work-mcp1k-r2probe	290844	3	18255	1	1	0	0	STM	206.6	210.5	0.94	258	0.97	4	1.03	0.0	0.0	1.6	0
work-mcp1k-r2probe	292450	8	18255	1	1	0	0	STM	159.6	164.1	0.91	185	0.85	6	0.93	0.0	0.0	0.0	0
work-mcp1k-r2probe	292797	27	18255	1	1	0	0	STM	304.0	276.7	0.9	356	1.56	5	1.73	0.0	0.0	0.4	0
work-mcp1k-r2probe	314507	23	?	?	?	?	?	?	0.0	73.3	0.86	44	0.99	5	1.14	0.0	0.0	0.3	0
work-mcp1k-r2probe	315409	16	18255	1	1	0	0	STM	276.5	284.9	0.95	379	0.9	5	0.95	0.0	0.0	0.0	0
work-mcp1k-r2probe	317543	15	18255	1	1	0	0	STM	149.6	106.6	1.03	97	1.02	5	0.99	0.0	0.0	0.0	0
work-mcp1k-r2probe	319809	20	18255	1	1	0	0	STM	73.6	73.7	1.01	44	0.97	5	0.97	0.0	0.0	0.0	0
work-mcp1k-r2probe	321525	5	18255	1	1	0	0	STM	116.7	85.8	1.13	63	1.0	6	0.89	0.0	0.0	0.2	0
work-mcp1k-r2probe	321767	15	18255	1	0	0	0	nu-candidate	295.6	273.0	0.9	365	0.83	5	0.92	0.0	0.0	0.0	0
work-mcp1k-r2probe	346293	5	18255	1	1	0	0	STM	185.3	188.3	0.9	220	0.9	5	1.0	0.0	0.0	0.0	0
work-mcp1k-r2probe	350099	15	18255	1	1	0	0	STM	139.9	143.8	1.18	155	2.14	5	1.82	48.8	47.8	26.2	0
work-mcp1k-r2probe	350781	8	18255	1	1	0	0	STM	165.8	165.1	0.96	185	0.83	5	0.87	0.0	0.0	0.2	0
work-mcp1k-r2probe	353487	3	18255	1	1	0	0	STM	354.8	343.4	0.9	469	0.5	5	0.56	0.0	0.0	0.0	0
work-mcp1k-r2probe	353729	23	18255	1	1	0	0	STM	197.5	192.2	0.93	229	0.96	6	1.03	0.0	0.0	0.0	0
work-mcp1k-r2probe	386354	4	18255	1	1	0	0	STM	122.6	103.5	0.96	92	1.06	5	1.1	0.0	0.0	0.9	0
work-mcp1k-r2probe	386838	16	18255	1	1	0	0	STM	90.6	90.5	1.69	74	1.08	5	0.64	0.0	0.0	0.0	0
work-mcp1k-r2probe	387168	15	18255	1	1	0	0	STM	125.7	81.7	0.92	57	0.85	5	0.92	0.0	0.0	0.0	0
work-mcp1k-r2probe	388884	2	18255	1	1	0	0	STM	131.7	131.6	0.97	135	0.93	5	0.96	0.0	0.0	0.0	0
work-mcp1k-r2probe	390006	4	18255	1	1	0	0	STM	81.1	70.4	1.04	40	0.93	6	0.9	0.0	0.0	0.0	0
work-mcp1k-r2probe	390864	16	18255	1	0	0	0	nu-candidate	174.3	175.3	0.93	204	0.53	4	0.57	0.0	0.0	0.0	0
work-mcp1k-r2probe	391766	17	18255	1	0	0	0	nu-candidate	275.0	279.0	0.89	369	0.81	6	0.91	0.0	0.0	0.6	0
work-mcp1k-r2probe	392112	7	18255	1	1	0	0	STM	119.1	119.8	0.98	121	1.0	5	1.02	0.0	0.0	0.0	0
work-mcp1k-r2probe	392338	14	18255	1	1	0	0	STM	70.1	71.3	1.06	42	1.0	5	0.95	0.0	0.0	0.0	0
work-mcp1k-r2probe	394906	16	18255	1	1	0	0	STM	91.9	79.0	1.02	50	1.12	6	1.1	0.0	0.0	0.1	0
work-mcp1k-r2probe	395148	10	18255	1	1	0	0	STM	533.3	515.6	0.91	734	1.05	6	1.16	0.0	0.0	0.0	0
work-mcp1k-r2probe	397194	13	18255	1	1	0	0	STM	256.0	261.0	0.93	343	1.89	5	2.03	1.8	1.1	1.6	0
work-mcp1k-r2probe	397392	13	18255	1	1	0	0	STM	266.5	273.4	0.93	357	1.09	5	1.17	0.0	0.0	0.0	0
work-mcp1k-r2probe	398238	13	18255	1	1	0	0	STM	132.3	146.1	0.92	154	1.2	6	1.31	0.0	0.0	0.2	0
work-mcp1k-r2probe	399284	6	18255	1	1	0	0	STM	299.6	266.6	0.94	345	0.98	5	1.04	0.0	0.0	0.0	0
work-mcp1k-r2probe	400174	8	18255	1	1	0	0	STM	91.2	84.6	1.0	62	1.06	6	1.06	0.0	0.0	0.0	0
work-mcp1k-r2probe	401450	17	18255	1	1	0	0	STM	99.0	440.6	0.91	617	1.0	5	1.1	0.0	0.0	0.1	0
work-mcp1k-r2probe	402968	19	18255	1	1	0	0	STM	74.4	76.1	1.0	48	0.89	5	0.89	0.0	0.0	0.2	0
work-mcp1k-r2probe	404816	5	18255	1	1	0	0	STM	145.6	148.6	0.93	159	1.11	5	1.19	0.0	0.0	0.2	0
work-mcp1k-r2probe	405432	15	18255	1	0	0	0	nu-candidate	111.0	87.7	0.98	65	0.99	6	1.01	0.0	0.0	0.0	0
work-mcp1k-r2probe	407148	15	18255	1	0	0	0	nu-candidate	172.1	152.1	0.95	166	0.96	5	1.02	0.0	0.0	0.0	0
work-mcp1k-r2probe	409084	12	18255	1	1	0	0	STM	108.9	81.6	1.79	59	1.37	5	0.77	0.0	0.0	0.0	0
work-mcp1k-r2probe	412692	13	18255	1	1	0	0	STM	184.8	123.8	1.17	127	1.44	5	1.22	0.0	0.0	0.2	0
work-mcp1k-r2probe	486049	13	18255	1	1	0	0	STM	254.4	213.8	0.94	267	0.89	6	0.95	0.0	0.0	0.0	0
work-mcp1k-r2probe	486687	20	18255	1	0	0	0	nu-candidate	312.5	281.8	0.94	369	0.29	1	0.31	0.0	5.5	0.0	0
work-mcp1k-r2probe	486907	16	18255	1	1	0	0	STM	174.9	167.6	0.84	194	0.77	5	0.92	0.0	0.0	0.3	0
work-mcp1k-r2probe	487633	3	18255	1	1	0	0	STM	162.9	168.3	0.93	190	0.7	5	0.75	0.0	0.0	0.0	0
work-mcp1k-r2probe	489811	4	18255	1	1	0	0	STM	170.1	172.5	0.92	201	0.9	6	0.99	0.0	0.0	0.0	0
work-mcp1k-r2probe	492891	13	18255	1	1	0	0	STM	460.1	468.4	0.91	661	0.95	5	1.04	0.0	0.0	0.1	0
work-mcp2k-r2probe	47058	24	?	?	?	?	?	?	0.0	111.5	1.04	103	1.19	4	1.14	0.0	0.0	0.6	0
work-mcp2k-r2probe	49767	21	18255	1	1	0	0	STM	436.4	444.5	0.91	627	1.12	5	1.23	0.0	0.0	0.2	0
work-mcp2k-r2probe	49789	16	18255	1	1	0	0	STM	329.0	322.6	0.92	432	0.74	5	0.8	0.0	0.0	0.0	0
work-mcp2k-r2probe	50273	11	18255	1	1	0	0	STM	195.5	199.3	0.93	244	0.88	5	0.95	0.0	0.0	0.0	0
work-mcp2k-r2probe	51417	15	18255	1	1	0	0	STM	177.2	180.1	0.95	212	0.71	6	0.75	0.0	0.0	0.5	0
work-mcp2k-r2probe	53111	25	18255	1	1	0	0	STM	103.1	104.4	0.96	95	0.93	6	0.97	0.0	0.0	0.0	0
work-mcp2k-r2probe	54629	15	18255	1	0	0	0	nu-candidate	156.0	135.8	0.92	142	1.12	5	1.22	0.0	0.0	0.0	0
work-mcp2k-r2probe	54692	7	18259	1	1	0	0	STM	246.6	236.2	0.9	299	0.95	4	1.06	0.0	0.0	0.1	0
work-mcp2k-r2probe	54882	2	18255	1	1	0	0	STM	88.9	89.5	1.11	68	0.81	5	0.73	0.0	0.0	0.0	0
work-mcp2k-r2probe	56257	13	18255	1	1	0	0	STM	127.5	113.7	0.97	111	1.74	5	1.79	0.5	0.0	1.4	0
work-mcp2k-r2probe	66718	11	18255	1	1	0	0	STM	362.0	344.2	0.93	479	1.08	5	1.16	0.0	0.0	0.0	0
work-mcp2k-r2probe	69618	12	18255	1	1	0	0	STM	99.5	100.1	0.95	90	0.94	5	0.99	0.0	0.0	0.2	0
work-mcp2k-r2probe	69926	4	18255	1	1	0	0	STM	126.7	120.2	0.95	118	1.09	5	1.15	0.0	0.0	0.2	0
work-mcp2k-r2probe	70442	14	18255	1	1	0	0	STM	261.2	255.5	0.94	327	0.69	5	0.74	0.0	0.0	0.0	0
work-mcp2k-r2probe	70472	16	18255	1	0	0	0	nu-candidate	401.4	414.7	0.88	573	0.64	5	0.72	0.0	0.0	0.0	0
work-mcp2k-r2probe	70574	15	18255	1	1	0	0	STM	105.5	108.7	1.0	101	1.28	6	1.28	0.0	0.0	0.3	0
work-mcp2k-r2probe	70816	9	18255	1	1	0	0	STM	261.9	267.4	0.93	347	0.79	5	0.85	0.0	0.0	0.0	0
work-mcp2k-r2probe	71466	9	18255	1	1	0	0	STM	186.7	154.3	0.94	167	0.85	5	0.9	0.0	0.0	0.0	0
work-mcp2k-r2probe	71558	14	18255	1	1	0	0	STM	151.8	156.2	0.9	180	0.42	5	0.47	0.0	0.0	0.0	0
work-mcp2k-r2probe	72055	14	18255	1	0	0	0	nu-candidate	282.7	237.6	0.98	305	0.85	5	0.87	0.0	0.0	0.2	0
work-mcp2k-r2probe	72092	23	18255	1	1	0	0	STM	135.8	137.3	0.95	146	0.83	6	0.87	0.0	0.0	0.1	0
work-mcp2k-r2probe	72099	12	18255	1	0	0	0	nu-candidate	191.4	193.2	0.93	232	0.92	5	0.99	0.0	0.0	0.1	0
work-mcp2k-r2probe	72275	15	18255	1	0	0	0	nu-candidate	314.3	313.7	0.94	418	1.46	6	1.56	0.0	0.0	0.1	0
work-mcp2k-r2probe	73038	18	18255	1	1	0	0	STM	226.1	207.3	0.9	255	0.97	4	1.08	0.0	0.0	0.0	0
work-mcp2k-r2probe	73688	16	18255	1	0	0	0	nu-candidate	338.5	345.2	0.97	466	1.1	6	1.13	0.0	0.0	0.1	0
work-mcp2k-r2probe	73926	7	18255	1	1	0	0	STM	169.2	142.6	0.95	151	1.17	5	1.23	0.0	0.0	0.1	0
work-mcp2k-r2probe	74326	10	18255	1	0	0	0	nu-candidate	167.8	112.4	0.97	111	1.15	5	1.18	0.0	0.0	0.0	0
work-mcp2k-r2probe	74849	15	18255	1	1	0	0	STM	92.6	93.7	0.92	77	0.95	5	1.04	0.0	0.0	0.0	0
work-mcp2k-r2probe	75334	21	18255	1	1	0	0	STM	271.1	256.9	0.92	331	1.14	5	1.24	0.0	0.0	0.5	0
work-mcp2k-r2probe	76147	5	18255	1	1	0	0	STM	363.8	370.2	0.92	515	1.05	5	1.15	0.0	0.0	0.0	0
work-mcp2k-r2probe	76631	5	18255	1	1	0	0	STM	195.6	187.5	0.96	222	0.49	5	0.51	0.0	0.0	0.0	0
work-mcp2k-r2probe	76910	10	18255	1	1	0	0	STM	114.3	91.1	1.02	71	1.11	5	1.08	0.0	0.0	0.1	0
work-mcp2k-r2probe	77922	17	18255	1	1	0	0	STM	133.8	113.4	0.93	106	0.44	5	0.47	0.0	0.0	0.0	0
work-mcp2k-r2probe	78032	13	18255	1	1	0	0	STM	422.0	437.6	0.89	619	0.76	6	0.85	0.0	0.0	0.0	0
work-mcp2k-r2probe	79220	10	18255	1	1	0	0	STM	125.2	129.5	0.93	131	0.83	5	0.89	0.0	0.0	0.1	0
work-mcp2k-r2probe	79330	12	18255	1	1	0	0	STM	380.7	348.0	0.9	475	1.06	5	1.18	0.0	0.0	0.3	0
work-mcp2k-r2probe	79616	18	18255	1	0	0	0	nu-candidate	328.9	336.2	0.96	459	1.06	5	1.11	0.0	0.0	0.0	0
work-mcp2k-r2probe	79755	6	18255	1	1	0	0	STM	483.5	490.1	0.93	703	1.02	5	1.1	0.0	0.0	0.1	0
work-mcp2k-r2probe	80078	13	18255	1	1	0	0	STM	352.7	327.8	0.89	440	0.51	6	0.58	0.0	0.0	0.0	0
work-mcp2k-r2probe	81310	17	18255	1	1	0	0	STM	282.1	286.6	0.94	371	0.93	6	1.0	0.0	0.0	0.0	0
work-mcp2k-r2probe	82102	10	18255	1	1	0	0	STM	482.0	431.8	0.91	599	0.82	6	0.9	0.0	0.0	0.0	0
work-mcp2k-r2probe	82608	14	18255	1	1	0	0	STM	399.9	404.2	0.82	573	0.82	5	1.0	0.0	0.0	0.2	0
work-mcp2k-r2probe	92310	6	18255	1	1	0	0	STM	178.2	137.9	0.91	149	0.97	5	1.08	0.0	0.0	0.0	0
work-mcp2k-r2probe	93105	9	18255	1	0	0	0	nu-candidate	203.8	150.2	0.91	163	0.82	5	0.9	0.0	0.0	0.0	0
work-mcp2k-r2probe	93325	4	18255	1	1	0	0	STM	85.1	86.4	0.97	66	1.08	6	1.11	0.0	0.0	0.2	0
work-mcp2k-r2probe	95173	12	18255	1	1	0	0	STM	187.2	192.2	0.92	231	0.74	6	0.81	0.0	0.0	0.0	0
work-mcp2k-r2probe	95305	14	18255	1	1	0	0	STM	113.4	83.8	0.98	61	0.94	5	0.96	0.0	0.0	0.0	0
work-mcp2k-r2probe	95327	7	18255	1	1	0	0	STM	146.6	149.8	0.95	159	0.88	6	0.93	0.0	0.0	0.0	0
work-mcp2k-r2probe	95371	9	18255	1	1	0	0	STM	137.2	144.4	0.94	155	1.33	5	1.42	1.3	0.5	0.7	0
work-mcp2k-r2probe	95500	15	18255	1	1	0	0	STM	177.9	182.3	0.95	220	1.77	5	1.87	5.5	4.9	4.5	0
work-mcp2k-r2probe	95503	13	18255	1	1	0	0	STM	206.3	168.8	0.95	192	0.89	6	0.95	0.0	0.0	0.1	0
work-mcp2k-r2probe	95800	20	18259	1	1	0	0	STM	132.9	132.5	1.54	141	1.24	5	0.8	0.0	0.0	0.1	0
work-mcp2k-r2probe	96042	11	18259	1	1	0	0	STM	103.8	104.0	0.99	92	0.93	5	0.94	0.0	0.0	0.0	0
work-mcp2k-r2probe	96977	17	18255	1	1	0	0	STM	107.9	110.1	1.05	103	1.27	4	1.2	0.0	0.0	0.1	0
work-mcp2k-r2probe	98441	13	18255	1	1	0	0	STM	341.8	346.8	0.93	464	0.85	5	0.92	0.0	0.0	0.0	0
work-mcp2k-r2probe	98452	6	18255	1	0	0	0	nu-candidate	186.9	181.4	0.91	216	0.98	5	1.07	0.0	0.0	0.0	0
work-mcp2k-r2probe	98756	9	18255	1	1	0	0	STM	167.5	171.4	0.97	202	0.91	5	0.93	0.0	0.0	0.5	0
work-mcp2k-r2probe	98870	10	18255	1	1	0	0	STM	176.4	181.4	0.9	211	0.44	5	0.49	0.0	0.0	0.0	0
work-mcp2k-r2probe	99218	15	18255	1	1	0	0	STM	114.4	98.6	0.96	82	0.96	5	1.0	0.0	0.0	0.5	0
work-mcp2k-r2probe	100032	9	18255	1	1	0	0	STM	208.6	211.8	0.93	262	0.82	5	0.88	0.0	0.0	0.0	0
work-mcp2k-r2probe	100190	22	18255	1	1	0	0	STM	129.2	82.7	1.01	58	2.34	5	2.33	0.0	0.0	1.9	0
work-mcp2k-r2probe	100728	9	18259	1	1	0	0	STM	203.1	169.1	1.04	195	0.55	5	0.53	0.0	0.0	0.0	0
work-mcp2k-r2probe	101873	7	18255	1	1	0	0	STM	374.1	385.0	0.9	532	0.94	5	1.04	0.0	0.0	0.5	0
work-mcp2k-r2probe	102082	3	18255	1	1	0	0	STM	116.9	117.9	0.92	115	0.92	5	1.0	0.0	0.0	0.0	0
work-mcp2k-r2probe	102940	17	18255	1	1	0	0	STM	466.4	416.8	0.89	585	0.89	5	0.99	0.0	0.0	0.0	0
work-mcp2k-r2probe	104260	4	18255	1	1	0	0	STM	114.3	90.0	0.92	71	0.86	6	0.93	0.0	0.0	0.1	0
work-mcp2k-r2probe	105074	23	18255	1	0	0	0	nu-candidate	442.8	453.9	0.9	641	0.92	5	1.02	0.0	0.0	0.0	0
work-mcp2k-r2probe	157215	18	?	?	?	?	?	?	0.0	214.4	0.95	264	1.42	5	1.5	0.6	0.0	0.9	0
work-mcp2k-r2probe	157413	12	18259	1	1	0	0	STM	207.9	211.5	0.95	262	1.02	5	1.07	0.0	0.0	0.1	0
work-mcp2k-r2probe	158689	8	18259	1	1	0	0	STM	309.7	312.8	0.92	419	0.91	5	0.99	0.0	0.0	0.0	0
work-mcp2k-r2probe	159635	9	18259	1	1	0	0	STM	140.3	103.0	1.02	85	1.18	5	1.16	0.0	0.0	0.2	0
work-mcp2k-r2probe	162891	18	18259	1	1	0	0	STM	179.3	179.7	0.94	208	1.44	5	1.53	0.0	0.0	0.8	0
work-mcp2k-r2probe	164466	7	18259	1	1	0	0	STM	118.7	93.7	1.0	75	3.27	5	3.29	18.5	17.6	34.3	0
work-mcp2k-r2probe	165547	11	18259	1	1	0	0	STM	232.1	237.6	0.93	304	0.65	5	0.7	0.0	0.0	0.0	0
work-mcp2k-r2probe	166251	7	18259	1	1	0	0	STM	66.4	70.1	0.79	40	0.66	5	0.84	0.0	0.0	0.0	0
work-mcp2k-r2probe	166295	13	18259	1	1	0	0	STM	75.9	73.7	1.06	45	0.33	5	0.31	0.0	0.0	0.0	0
work-mcp2k-r2probe	166908	9	18259	1	1	0	0	STM	333.7	332.2	0.94	446	0.75	5	0.8	0.0	0.0	0.0	0
work-mcp2k-r2probe	167461	6	18259	1	1	0	0	STM	219.9	210.9	0.92	258	0.95	5	1.03	0.0	0.0	0.0	0
work-mcp2k-r2probe	167612	14	18259	1	1	0	0	STM	73.1	117.9	1.05	113	1.09	6	1.03	0.0	0.0	0.6	0
work-mcp2k-r2probe	168077	9	18259	1	1	0	0	STM	96.9	80.2	0.98	55	0.82	6	0.83	0.0	0.0	0.0	0
work-mcp2k-r2probe	168822	6	18259	1	1	0	0	STM	157.4	161.5	1.1	186	0.86	5	0.79	0.0	0.0	0.0	0
work-mcp2k-r2probe	171426	18	18259	1	1	0	0	STM	106.4	76.2	1.0	49	1.06	5	1.05	0.0	0.0	0.0	0
work-mcp2k-r2probe	172262	31	?	?	?	?	?	?	0.0	195.5	0.93	242	0.82	6	0.88	0.0	0.0	0.1	0
work-mcp2k-r2probe	172298	5	18259	1	1	0	0	STM	165.6	167.8	0.95	189	1.06	6	1.12	0.0	0.0	0.2	0
work-mcp2k-r2probe	172397	14	18259	1	1	0	0	STM	305.5	298.3	0.91	396	0.98	5	1.08	0.0	0.0	0.0	0
work-mcp2k-r2probe	173048	17	18259	1	1	0	0	STM	270.7	274.1	0.88	363	0.98	5	1.11	0.0	0.0	0.2	0
work-mcp2k-r2probe	173054	12	18259	1	1	0	0	STM	111.4	110.1	0.97	99	1.2	4	1.24	0.0	0.0	0.3	0
work-mcp2k-r2probe	173086	11	18259	1	1	0	0	STM	86.9	87.5	1.07	66	1.17	5	1.09	0.0	0.0	0.1	0
work-mcp2k-r2probe	173180	15	18259	1	1	0	0	STM	557.0	566.7	0.93	799	0.78	4	0.85	0.0	0.0	0.0	0
work-mcp2k-r2probe	173692	3	18259	1	1	0	0	STM	160.3	138.7	0.97	145	0.75	5	0.77	0.0	0.0	0.3	0
work-mcp2k-r2probe	173869	12	18259	1	1	0	0	STM	161.9	164.2	0.94	186	0.97	5	1.02	0.0	0.0	0.0	0
