event	sample	entry	run	pass	rule	adopted	class	dt0_us	A_side	A_t_raw_us	A_prompt_pe	A_pre_pe	A_onset	B_side	B_t_raw_us	B_prompt_pe	B_pre_pe	B_onset	hit_level_split_expected
169824	mcp1k	809	18259	rescue	beam-dominant	near	within-8us-veto	-4.469	0	-0.7482	3481	48	1	1	-5.2172	12319	4	1	yes
173450	mcp2k_p1	528	18259	rescue	new-path-beam	near	within-8us-veto	-1.804	1	-0.7550	301	239	0	0	-2.5590	65	1	0	no
173495	mcp2k_p1	100	18259	rescue	new-path-beam	near	same-time(no-light-loss)	-0.002	1	-0.7353	210	6	1	0	-0.7373	585	5	1	n/a (both flashes exist)
179369	mcp2k_p1	140	18259	rescue	new-path-beam	near	within-8us-veto	1.672	1	-0.7341	8277	5	1	0	0.9379	2962	354	1	yes
237798	mcp2k_p2	711	18259	rescue	new-path-beam	near	within-8us-veto	-1.174	1	0.4295	203	220	0	0	-0.7445	9236	6	1	yes
281165	mcp2k_p1	167	18255	rescue	new-path-beam	near	far-flash->13us(geom-first)	275.791	0	-0.7298	14988	0	1	1	275.0612	0	0	0	n/a (outside the 8 us veto)
287244	mcp2k_p2	401	18255	rescue	beam-dominant	near	within-8us-veto	2.017	0	-0.7534	2230	1	1	1	1.2636	304	333	0	yes
288952	mcp1k	227	18255	rescue	beam-dominant	near	within-8us-veto	-6.500	1	-0.7436	1653	13	1	0	-7.2436	245	2	1	yes
290938	mcp2k_p1	799	18255	rescue	beam-dominant	near	within-8us-veto	-2.167	0	1.4310	1476	346	1	1	-0.7360	4927	1	1	yes
317427	mcp2k_p1	354	18255	rescue	new-path-beam	near	far-flash->13us(geom-first)	108.223	1	0.4462	2855	183	1	0	108.6692	0	0	0	n/a (outside the 8 us veto)
319913	mcp2k_p1	370	18255	rescue	new-path-beam	near	far-flash->13us(geom-first)	28.138	1	-0.7459	816	4	1	0	27.3921	382	2	1	n/a (outside the 8 us veto)
352365	mcp1k	692	18255	rescue	longer-half	near	within-8us-veto	1.963	1	-0.7454	12	3	0	0	1.2176	5922	20	1	yes
389533	mcp2k_p2	610	18255	rescue	new-path-beam	near	same-time(no-light-loss)	0.006	1	-0.7562	204	6	1	0	-0.7502	1859	4	1	n/a (both flashes exist)
392200	mcp1k	453	18255	rescue	longer-half	far	within-8us-veto	2.430	1	-0.7350	140	6	1	0	1.6950	2593	28	1	yes
395003	mcp2k_p1	818	18255	rescue	longer-half	near	within-8us-veto	4.212	1	-0.7408	14	1	0	0	3.4712	10543	15	1	yes
395060	mcp1k	471	18255	rescue	new-path-beam	near	same-time(no-light-loss)	0.001	1	-0.7375	2403	6	1	0	-0.7365	948	3	1	n/a (both flashes exist)
395148	mcp1k	472	18255	rescue	longer-half	near	within-8us-veto	-1.455	1	0.7345	266	162	0	0	-0.7205	16399	2	1	yes
396761	mcp2k_p1	435	18255	rescue	longer-half	near	within-8us-veto	1.015	1	-0.7497	658	20	1	0	0.2653	210	297	0	yes
397498	mcp2k_p1	594	18255	rescue	longer-half	near	8-13us	12.768	1	-0.7465	53	7	0	0	12.0215	14375	5	1	n/a (outside the 8 us veto)
398115	mcp2k_p2	29	18255	rescue	new-path-beam	near	within-8us-veto	-1.328	1	0.5918	353	241	0	0	-0.7362	1050	1	1	yes
407798	mcp2k_p1	902	18255	rescue	new-path-beam	near	8-13us	-8.544	1	-0.7517	16085	42	1	0	-9.2957	5460	4	1	n/a (outside the 8 us veto)
