# doc pdvd/97 round 2 -- d97r2_video_picks.py on d103vflip; skipped after visual check: 039252_13/70,039252_9/103,039253_6/40,039349_10/66,039349_23/56,039349_53/48,039349_58/55,039349_59/60
cls	rank	key	tier	source	hand	ratio	contrast	muon_len	ke_best	ke_region	kink	mlen	conn	mdis	ncl	npieces	n_mgam	n_dots	n_mu	n_e	n_gamma	em_near	michel_near	gamma_near	sf_rows	sf_qneg	sf_holes	sf_dev1	sf_dev_p90	tf_rows	tf_qneg	tf_dev1	tf_dev_p90	tf_wig1	stop	mstart	pf	ev_who	evidence
forward	1	039349_56/38	0	record:owner (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.910	1.782	208.296	33.485	39.714	48.432	10.412	1	0.000	1	2	0	1	1	1	0	1	1	0	340	1	0	0.000	0.219	372	0	0.000	0.246	0.000	183.0,-19.8,210.4	183.0,-19.8,210.4	mu- 486 MeV(e- 33 MeV)	record:owner	
forward	2	039253_2/32	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.904	1.530	22.310	26.032	43.383	39.748	5.282	1	0.000	1	2	0	1	1	1	0	1	1	0	49	1	0	0.000	0.629	61	0	0.000	0.807	0.000	-290.0,146.9,11.1	-290.0,146.9,11.1	mu- 80 MeV(e- 26 MeV)	record:high	22.4 cm, entry 0.5 cm from the z face, stop 10.7 cm inside it. Clear Bragg rise, 6e4 at 20 cm to 1.0e5 at the last cm, on the muon reference curve. A 12.8 cm two-piece arm leaves the stop at 43 deg at MIP dQ/dx -- a muon at its own Bragg peak cannot continue at MIP, so the arm is a second particle, and 12.8 cm is the right range for a ~31 MeV electron. No dead region at the stop in any plane.
gamma	1	039349_67/78	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	1.016	1.992	148.448	20.938	25.248	38.932	6.937	1	0.000	1	1	2	0	2	2	0	2	1	0	238	0	0	0.029	0.727	284	0	0.018	0.768	0.004	318.6,92.6,112.0	318.6,92.6,112.0	mu- 252 MeV(mu- 139 MeV(e- 20 MeV), e- 4.17 MeV)	record:high	154 cm chain entering 0.3 cm from the z face and stopping 21.0 cm from the x (anode) face, inside the volume. The Bragg rise is clean and follows the reference curve the whole way: 5.5-6.5e4 plateau beyond s=15, 7-8e4 at s=8-11, 8.7-9.5e4 at s=4-6, 1.1-1.15e5 at s=2-3 and a top pair at 1.37-1.40e5 within the last 1.5 cm, and the range, dQ/dx and MCS momenta agree at 461/466/444 MeV/c with ambiguity 0.32. I ran the undershoot check explicitly, because the chain does offer a forward piece as the Michel: 75001, 9 points over 5.1 cm at a 45 degree kink from the stop vertex. It fails the undershoot on the load-bearing clause, which is charge - its mean is 43491 e/cm, below the 6.7e4 MIP line, and on the panel its points scatter between 1.9e4 and 1.03e5 with most of them at 2-3.5e4, whereas the undershoot piece is a 1-3 cm stub at 0.9-1.2e5 sitting straight ahead at cos_fwd above 0.85. Here cos_fwd is 0.70 and the piece is 5 cm long. Decisive on top of that, the muon already has its Bragg peak at 1.4e5 on its own last point and a muon cannot have two of those, so an arm leaving that peak at or below MIP is a second particle - the ordinary STM_MICHEL case. Five centimetres and 13.9 MeV is the right scale for a Michel, and the c, d and e azimuths all show it as a distinct blue arm breaking off the star at a visible angle. Past the stop there are also two detached 2-point specks: 214006 at 29.1 cm, cos_fwd 0.41, and 213005 at 48.5 cm, cos_fwd -0.05, both well clear of the muon body and both detached across a clean charge-free gap. Taking their 3-D directions from the stop, they sit 24 and 48 degrees off the Michel arm direction and only 29 degrees from each other, so they are clustered on the decay side rather than scattered around the ring, which the rubric makes gammas - charge is not a criterion for them. Michel plus gammas gives kind both.
gamma	2	039253_5/32	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/both	0.798	1.647	132.563	19.252	20.855	74.938	4.808	1	0.000	2	2	1	1	2	3	1	2	2	1	215	0	0	0.000	0.350	251	0	0.016	0.397	0.000	-320.4,-141.3,74.2	-320.4,-141.3,74.2	mu- 70 MeV(mu- 281 MeV(e- 19 MeV, gamma 0.70 MeV(e- 0.70 MeV)), e- 2.81 MeV)	record:high	A 134.0 cm chain entering 4.9 cm from the z face and ending 19.4 cm from the x (anode) face, in_fv 1 and accepted by the chain. The Bragg is as clean as any in my chunk and, crucially, it peaks AT the fit's last point rather than before it: 5.4e4 plateau from s=100 back to s=40, 6.5-8.5e4 at s=15-35, 8.5-9.0e4 at s=8-12, 9.9-1.05e5 at s=3-8, 1.077e5 at s=3.3 and 1.135e5 at s=2.6, and 1.442e5 at the last chain point at s=0.8, hugging the solid muon curve the entire climb. That single fact does most of the work, because it rules out the undershoot: the fit did not stop short, so the high-charge piece past the end cannot be the muon's own last centimetres. Because the two objects overlap at the vertex I did not trust my eye on which marker is which - I measured marker sizes on the raw PNG. Chain markers here are 5-7 px across, object markers 8-16. The 1.442e5 dark red point at s=0.8 is 5x5, so it is the muon's own last point; the 1.364e5 blue point sitting essentially on the origin is 8x8, so it is 32003's first point. Both readings I relied on are therefore confirmed rather than assumed. Past the stop, 32003 (8 points, 3.8 cm, mean 6.9e4, d 0.0-3.68, cos_fwd +0.25) leaves the shared stop vertex with a 72 deg kink and 32001 (4 points, 1.6 cm, mean 6.3e4, d 3.68-4.78, cos_fwd +0.37) continues it, together 5.4 cm and 21.4 MeV by the chain's reckoning. Their twelve large markers run down the negative axis from 1.364e5 at the vertex through 8.0-8.6e4 at s=-2.3 to -2.8, 6.9e4 at -0.2, 4.1e4 at -2.0 and 3.5e4 at -0.5, down to 2.6e4 near -4.8: falling as it goes out, which is the ordinary Michel signature. I tested this against the undershoot case properly rather than by eye, because the mean is above MIP: the undershoot wants a piece lying straight ahead at cos_fwd 0.85 or better, a couple of centimetres long, at 0.9-1.2e5, i.e. four to six times MIP. This piece is 76 deg off the muon's forward direction, and 6.9e4 is 1.27 x MIP - the charge is the load-bearing clause and it is nowhere near, so this is the ordinary case, not that one. The 1.364e5 opening point sits on the vertex the two objects share and is charge the muon's own Bragg blob contributes to; from 2 cm out the arm is at or below 8.6e4 and falling. Three faint specks lie past the stop in the forward hemisphere: 124009 (2 points, 1.5 cm, 5.0e3) at 26.1-26.7 cm and cos_fwd +0.12, 125010 (3 points, 1.1 cm, 6.1e3) at 37.9-38.5 cm and cos_fwd +0.05, and 126011 (2 points, 0.1 cm, 1.4e4) at 50.1 cm and cos_fwd +0.94. All three are isolated, compact, clear of the muon body line, inside the 60 cm ring and on the decay's side of the stop, and charge is explicitly not a criterion for them, so all three are gamma and the kind is both. In the c and e azimuths 124009 and 125010 line up along the arm's own direction; 126011 is the least secure of the three because it sits nearly straight ahead of the muon while the arm is about 80 deg off, but it is still past the stop, off the body and faint. The last row, 32007 (14 points, 7.6 cm, 7.5e3), sits 106-110 cm back at cos_fwd -1.0, on the body line at the far end: delta / other. f_meas is clean, with measured minus predicted flat along the track and the nearest dead lines 15 channels off in U and 45 in W.
perpendicular	1	039253_17/110	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_MICHEL/attached	0.901	1.715	84.835	20.395	26.323	101.996	10.025	1	0.000	1	1	0	0	2	1	0	1	1	0	140	0	0	0.000	0.388	166	0	0.000	0.478	0.000	320.7,301.7,75.0	320.7,301.7,75.0	mu- 206 MeV(mu- 37 MeV(e- 20 MeV))	record:high	85.8 cm chain entering 0.2 cm from the x face and stopping 19.2 cm inside it. The profile follows the solid muon curve from about 20 cm in: ~5.5e4 plateau out past 40 cm, 6.5-7e4 at 12-18, 8.0-9.0e4 at 3-8 and 1.05e5 and 1.20e5 in the last centimetre and a half, with the maximum at the fit's own last point, so the pin stays put. An arm of three pieces leaves that same point at a large angle -- the chain measures the kink at 102 degrees and puts 23.1 MeV in it -- made of 115007 (5 points, 2.3 cm, 42770 e/cm) touching the stop, then 115008 (9 points, 4.8 cm, 18740) and 115011 (17 points, 9.5 cm, 19662) continuing out to about 16 cm, with all three lying within 3 degrees of the same direction. The three azimuths show it directly: the amber muon body ends at the star and a separate teal-green arm runs off it sideways, and f_meas shows that arm as charge attached to the muon's last point in all three planes. That is a Michel: a muon at its own Bragg peak cannot carry on at three quarters of MIP and then fall to a third of it, and the arm's charge falls as it goes out, which is the ordinary Michel case and not the undershoot trap -- the tip is well below MIP, not the four-to-six times MIP that would make it the muon's own last centimetres. The three far 2-point specks go the other way: 540012 at 22.7 cm and 541013 at 35.4 cm both lie back along the muon body (cos_fwd -0.75 and -0.87, and their directions from the stop are within 30 degrees of the body direction), so they are body activity, and 542014 sits 50 cm out entirely sideways in a direction opposite the Michel arm, which is an unrelated direction round the ring, so all three are delta / other and the kind stays attached rather than both.
perpendicular	2	039253_11/118	0	owner (pdvd_stm_michel_own103v_verdicts.json)	STM_MICHEL/attached	0.874	1.523	40.200	9.085	24.584	65.176	6.655	1	0.000	1	1	1	0	1	1	0	1	1	0	76	0	0	0.000	0.434	84	0	0.024	0.451	0.000	305.0,259.6,245.9	305.0,259.6,245.9	mu- 124 MeV(e- 9.09 MeV)	record:owner	
dots	1	039252_17/40	0	new_agent:high (pdvd_stm_michel_smx11_verdicts.json)	STM_ONLY/detached dots	1.050	1.777	37.235	5.741	11.680	-1.000	2.493	0	9.835	1	1	0	1	2	1	1	1	1	1	56	2	0	0.000	0.358	67	0	0.000	0.404	0.000	-38.1,117.0,28.2	-44.5,112.6,22.2	mu- 102 MeV(mu- 33 MeV(gamma 5.74 MeV(e- 5.74 MeV)))	record:high	37 cm track in the bottom volume. The lower end of the chain (entry) is at x=-4.7, right at the cathode face, so the muon presumably crossed the cathode from the top volume, its upper part sitting in another cluster. It stops at (-38.1, 117.0, 28.2), 35 cm below the cathode, 27 cm from the z wall, 52 cm from the y=0 seam and 122 cm from the z seam. dx=-33 of a 35 cm chord (-0.95), so the fit end is the lower end. The dQ/dx profile climbs across the whole track: 1.5-4.7e4 at 25-37 cm near the cathode, 8-11e4 at 8-25 cm, then 1.3-1.65e5 over the last 5 cm, where it follows the muon reference curve. This is a clear Bragg rise judged within the bottom volume. Nothing is attached at the end. The only other object, 155004, is a compact 2.5 cm, 5-point piece (4.3e4) sitting 9.8-12.2 cm from the stop (cos_fwd +0.61). It is separated from the end by a visible charge-free gap in the d and e azimuths and in f_meas: its cells at slice ~2300 in U, V and W sit ~20 slices past the track last cells at ~2325. A detached compact piece at about 10 cm with a clean gap reads as a dot: gamma. No grey continuation of the track line past the end and no dead band at the end.
dots	2	039349_52/48	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_ONLY/detached dots	1.041	1.807	39.000	0.000	7.326	-1.000	0.000	0	-1.000	0	0	0	0	1	1	1	1	1	1	64	0	0	0.000	0.287	69	0	0.000	0.322	0.000	305.5,66.6,225.8	0.0,0.0,0.0	mu- 120 MeV(gamma 3.34 MeV(e- 3.34 MeV))	record:high	Short one, 38.9 cm, and a whole object - the wide and stop views show a single continuous spine from the entry circle to the star with no companion cluster and nothing that reads as a broken-off piece. It enters 0.4 cm through the anode face and stops 34.5 cm from that same anode face, contained by the numbers. Undershoot screen: no forward piece at the stop at all (n_stop_arms 0), so that failure mode is not in play. The profile is the cleanest Bragg in my chunk: a 5.5-6.0e4 plateau at s = 25-38, then 6.5-7.5e4 at s = 10-15, 8.4e4 at s = 8, 9.3-9.8e4 at s = 5-6, 1.15-1.20e5 at s = 3-4, 1.27e5 at s = 2 and 1.42e5 at s = 0.8, riding the muon reference curve point for point. The single last point at s = 0.1 sits at 1.08e5, a quarter below the peak - one terminal point low is ordinary scatter, not the sustained several-centimetre collapse that would mean the fit bridged a gap, so the pin stays where it is. Nothing is attached at or leaves the stop in any of the three azimuths: the star sits on a bare track end. Two drawn specks remain, both 2-point and 0.6 cm, and both roughly perpendicular to the muon at the stop. 164001 is 30.5 cm out at cos_fwd 0.04, isolated, compact, entirely clear of the muon body line, with a clean charge-free gap back to the stop, and it is what the chain calls its 3.3 MeV capture gamma - detached dot past the stop, so gamma, which makes the kind detached dots (per the rubric an isolated capture-gamma piece does not promote the verdict to STM_MICHEL). 165002 is 50.3 cm out at cos_fwd -0.01, and I computed the two specks directions from the stop: they point almost opposite ways (their unit vectors dot to -0.49), so this one is not part of any coherent decay-side family, it is a lone survey speck in an unrelated direction at the outer edge of the ring, which the rubrics faint-far-speck rule sends to delta / other. That is the one judgement call here and it does not change the kind either way. No dead band at the stop in any plane (U bands at 3360 and 3425 with the end at 3460, V at 7200/7290/7315 with the end at 7265, W at 11720/11780/11895 with the end at 11850).
bare	1	039253_4/78	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_ONLY/none	1.386	2.598	206.520	0.000	1.051	-1.000	0.000	0	-1.000	0	0	0	0	2	0	0	0	0	0	325	0	0	0.003	0.321	350	0	0.000	0.323	0.000	153.9,-288.6,82.6	0.0,0.0,0.0	mu- 431 MeV(mu- 82 MeV)	record:high	A 214.6 cm chain, 498.8 MeV by range with MCS agreeing at 467.7 (amb 0.09), entering 1.0 cm from the x face at the anode and ending 47.7 cm from the nearest (y) wall, in_fv 1; the chain accepts it as an STM. The dQ/dx panel is as clean as the best in this chunk: a 4.5-5.5e4 plateau from s=100 back to s=15 scattering about the flat solid muon curve, then a monotone climb that follows the curve all the way in - 6.5-7.2e4 at s=6-13, 8.9-9.3e4 at s=4-6, 1.03-1.09e5 at s=1.5-3, and 1.26e5 and 1.345e5 at the last two points, right in the 1.2-1.35e5 band and hugging the reference. There is no terminal dip whatever: the highest two points in the entire profile are the two nearest the origin, so neither failure mode applies and the pin stays exactly where the fit put it. This is the only item in my chunk with no non-chain object at all - the table has two rows and both are the muon's own fitted segments, 80002 spanning d 0-127.65 and 80005 spanning 127.65-201.16, both at cos_fwd about -1.0 as body segments must be. All three stop azimuths show the amber flow band running to the star and stopping there with nothing drawn beyond it: no arm, no dot, no speck, and no image-point halo past the end. The chain reports the same - n_stop_arms 0, n_dots 0, no capture gamma in the ring, 0 unfitted clusters - so there is nothing to weigh and the kind is none. f_meas is clean at the stop: it sits at U 2010, V 5805 and W 10120 with the nearest dead bands 40 to 90 channels away in every plane, and measured minus predicted is flat white along the whole track, so the Bragg is measured, not inferred.
bare	2	039349_8/52	0	record:high (pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json)	STM_ONLY/none	1.146	2.364	200.745	0.000	2.150	-1.000	0.000	0	-1.000	0	0	0	0	3	2	0	0	0	0	309	2	0	0.000	0.350	360	0	0.003	0.380	0.011	204.4,10.1,217.7	0.0,0.0,0.0	mu- 119 MeV(mu- 38 MeV(mu- 368 MeV, e- 2.87 MeV), e- 4.87 MeV)	record:high	206 cm of chain over a 195 cm chord, entering 0.1 cm from the anode x face at x 339.9 and stopping at (204.7, 10.3, 217.5), which is 80.9 cm from the nearest wall, 135 cm from the anode and 205 cm from the cathode plane, so the stop is deeply contained in every direction. The dQ/dx profile is the cleanest Bragg in this chunk: a 4.2-5.5e4 plateau from s = 100 in to about s = 40, then a steady climb, 4.5-6e4 at s = 40-25, 5.5-7.8e4 at s = 25-15, 7.4-9.5e4 at s = 15-4, and 1.08e5, 1.14e5, 1.15e5 and 1.10e5 on the last four points, which sit right on the overlaid muon reference curve and top out in the 1.2-1.35e5 band the rubric names for real stoppers. The climb is monotone over 40 cm with only the usual scatter, there is no terminal collapse and no dip in the last few centimetres, so the pin stays on the fit last point, and there is no short high-charge piece past the fit end either, so this is neither the overshoot nor the undershoot case. All three energy estimators agree at 479 MeV by range, 497 by dQ/dx and 453 by MCS with amb 0.02, which is what a genuine stopper of this length should give, and the chain agrees, is_stm 1. Nothing whatever sits past the stop: the object table has only the two chain segments, and the flow reports n_stop_arms 0, n_dots 0, no unfitted dot clusters and no capture gamma in the ring, which the three azimuths confirm, one clean unbranched track running into the star with empty space beyond. That makes it a stopping muon with no decay activity: STM_ONLY, kind none, both chain segments muon. The only caveat is a grey dead-channel band running immediately beside the track end in the V plane near channel 7200, but a track lost into a dead region would truncate at MIP rather than climb smoothly to twice the plateau, so I do not think it explains the profile.
