item	verdict	kind	connected	confidence	comment
mcp2k-480002-p028	YES	TRACK	NO	2	~300 cm track is the whole candidate image, unheld; green only two specks ~25 cm away
mcp2k-396521-p908	NO	FRAGMENT	NO	3	only two tiny specks a few cm across in an otherwise empty window
mcp2k-179369-p016	YES	SHOWER	YES	2	large multi-arm unheld structure at vertex, ~70 cm vertical arm plus arm continuing green
mcp2k-391756-p903	YES	TRACK	YES	2	L-shaped ~12 cm unheld segment at the vertex, green only at its far tip
mcp1k-283969-p011	NO	CROSSING-TRACK	YES	3	~400 cm straight track through the vertex, both ends at window edges
mcp2k-157215-p007	YES	TRACK	YES	2	~17 cm vertical segment continuing the candidate grey downward; nothing held in window
mcp2k-158227-p044	YES	TRACK	YES	3	~120 cm unheld track running from the vertex in -z, roughly continuing the short green track
mcp2k-405707-p018	YES	TRACK	YES	3	~300 cm unheld track leaving the vertex downward; green tracks go sideways and up
mcp2k-100245-p031	NO	CROSSING-TRACK	YES	3	~310 cm straight track through the vertex, continues far on both sides
mcp1k-401516-p014	YES	TRACK	YES	3	long unheld track leaving the vertex; green track goes the other way
mcp1k-284200-p052	NO	FRAGMENT	YES	2	small unheld clumps ~5 cm beside the vertex, offset in drift x from the green
mcp2k-237292-p902	NO	FRAGMENT	YES	2	one small ~5 cm clump plus a speck at the end of the green track, nothing extended
mcp2k-282909-p022	YES	SHOWER	YES	2	large sprawling unheld shower-like spray, tens of cm, around and beyond the vertex
mcp2k-480728-p906	NO	HALO	YES	2	red strand runs parallel and adjacent to the green arms at the vertex, offset a few cm
mcp1k-401252-p012	YES	SHOWER	YES	2	multi-strand unheld structure ~80 cm tall starting just right of the vertex
mcp2k-100728-p003	YES	TRACK	NO	2	~20 cm unheld patch of candidate image continuing a light-blue band; green blob ~12 cm below
mcp2k-98947-p049	NO	FRAGMENT	NO	2	half a dozen small clumps scattered over ~60 cm, not collinear, no coherent object
mcp2k-242814-p047	YES	SHOWER	YES	2	compact ~20 cm unheld bundle attached at the vertex, plus one far isolated red dot
mcp2k-49742-p024	NO	CROSSING-TRACK	YES	2	~330 cm straight track through the vertex, ~45 cm one side and ~290 cm the other
mcp1k-52085-p911	NO	HALO	YES	3	~12 cm unheld segment mid-way along a long green track, green continuous both sides
mcp2k-97033-p055	YES	TRACK	YES	2	~7 cm unheld collinear continuation past the end of the short green track from the vertex
mcp2k-481014-p002	YES	SHOWER	YES	2	~12 cm dense unheld patch at a kink of a light-blue track, abutting the candidate grey
mcp2k-166295-p910	YES	TRACK	YES	2	~12 cm unheld terminal segment of the green track right at the vertex
mcp2k-100728-p032	YES	TRACK	YES	2	~175 cm z-running track, the candidate's own unheld image; green only specks at its ends
mcp1k-491483-p029	NO	CROSSING-TRACK	YES	3	~450 cm straight track through the vertex, continues to both window edges
