# doc pdvd/98 -- per-candidate crop diagnostics and the two drift labels (d98_michel_crops.py)
# drift_tick = (tick*0.5 - cluster_t0_us - trigger_offset_us)*drift_speed/10, charge-weighted over the Z pixels;
# drift_fit = x_anode(W) - |x| over the role-3 fit points (353.10 PDHD / 341.55 PDVD)
det	key	apa	face	trigger_offset_us	drift_speed_mmus	cluster_t0_us	drift_tick	drift_fit	drift_fit_rms	drift_tick_sd	q_keep	q_overlap	frac_overlap	frac_lost	n_pix	n_cells3	n_pts3	n_pts1	c_center	t_center	c0	t0	inrange
pdvd	039349_47/32	3	1	-2239	1.481	2902	16.07	16.01	1.264	1.329	8.136e+05	4.736e+05	0.5821	0.4657	195	64	11	166	6015	1542	5887	1030	0
pdvd	039349_5/66	4	0	-2334	1.481	3403	271.1	271.4	0.7985	0.7602	2.549e+06	1.552e+06	0.6087	0.5735	246	134	23	720	8407	5801	8279	5289	1
pdvd	039349_52/33	4	0	-2361	1.481	2718	187.5	187.5	0.3541	0.5598	8.748e+05	1.96e+05	0.224	0.08482	179	55	11	323	8437	3246	8309	2734	1
pdvd	039349_53/48	5	1	-2360	1.481	2812	138.5	138.1	0.7376	0.9527	1.631e+06	4.387e+05	0.2689	0.1684	364	112	25	461	8679	2775	8551	2263	1
pdvd	039349_54/58	5	1	-2473	1.481	2669	135.2	134.5	1.505	1.356	1.185e+06	3.08e+05	0.2598	0.1954	341	103	22	302	8756	2218	8628	1706	1
pdvd	039349_56/38	5	0	-2384	1.481	3416	157.5	157.7	0.7771	0.9089	1.142e+06	2.769e+05	0.2426	0.07233	345	103	19	357	9054	4192	8926	3680	1
pdvd	039349_59/60	6	1	-2365	1.481	1700	246	243.6	2.349	2.447	1.11e+06	1.432e+05	0.129	0.09391	455	128	14	460	1.154e+04	1992	11410	1480	1
pdvd	039349_61/16	2	1	-2311	1.481	4043	137.4	137.1	0.9623	0.8071	1.308e+06	2.98e+05	0.2279	0.171	397	135	30	166	5390	5321	5262	4809	1
pdvd	039349_61/44	4	0	-2303	1.481	3824	211.6	210.3	2.842	2.356	1.09e+06	2.477e+05	0.2273	0.1445	316	97	18	367	8496	5900	8368	5388	1
pdvd	039349_61/45	4	1	-2303	1.481	2164	236.1	235.7	1.091	1.24	1.447e+06	2.954e+05	0.2042	0.1397	284	103	25	154	8130	2912	8002	2400	1
pdvd	039349_63/55	6	0	-2298	1.481	3405	203.6	203.6	0.3196	0.4623	9.751e+05	6.236e+05	0.6396	0.4808	112	41	16	288	1.132e+04	4965	11192	4453	1
pdvd	039349_64/45	5	0	-2423	1.481	4770	31.53	31	1.366	1.456	2.264e+06	9.191e+05	0.406	0.3694	373	140	144	68	8982	5118	8854	4606	0
pdvd	039349_64/66	6	1	-2423	1.481	2506	257.9	257.3	2.525	2.718	1.653e+06	3.646e+05	0.2205	0.1702	559	170	35	443	1.153e+04	3648	11397	3136	1
pdvd	039349_67/78	6	0	-2346	1.481	3119	20.8	21.34	0.8588	0.9417	1.135e+06	7.932e+05	0.6989	0.6363	127	61	9	259	1.134e+04	1827	11211	1315	0
pdvd	039349_77/59	7	1	-2339	1.481	4726	107.9	107.7	1.526	1.628	1.306e+06	6.766e+05	0.5181	0.4636	316	115	51	264	1.225e+04	6233	12117	5721	1
pdvd	039349_81/64	6	0	-2352	1.481	4542	45.4	45.46	1.047	1.23	1.863e+06	2.209e+05	0.1186	0.1014	721	189	31	79	1.136e+04	4993	11233	4481	0
pdvd	039349_82/48	7	0	-2265	1.481	3176	216.2	216.2	1.008	1.53	1.575e+06	3.251e+05	0.2065	0.1625	407	103	19	433	1.174e+04	4742	11609	4230	1
pdvd	039349_83/67	5	0	-2186	1.481	3542	171.4	171.1	2.001	2.018	1.59e+06	2.736e+05	0.1721	0.1329	474	139	31	294	9075	5028	8947	4516	1
pdvd	039349_9/50	5	1	-2214	1.481	2427	221.4	221.1	1.468	1.734	1.271e+06	2.864e+05	0.2252	0.146	486	150	22	379	8799	3417	8671	2905	1
pdvd	039252_0/98	0	0	-2504	1.481	2925	311.8	311.7	0.2845	0.4467	1.157e+06	3.752e+05	0.3244	0.2668	537	170	21	669	2442	5053	2314	4541	1
pdvd	039252_12/96	5	1	-2512	1.481	2101	168.1	166.4	2.437	0.8414	1.541e+06	8.071e+05	0.5236	0.3855	233	91	9	222	8678	1449	8550	937	1
pdvd	039252_13/69	6	0	-2469	1.481	4557	289.9	289.6	1.719	1.786	1.651e+06	8.43e+05	0.5106	0.3746	378	121	17	918	1.125e+04	8091	11118	7579	1
pdvd	039252_5/101	6	0	-2470	1.481	3327	234.5	233.7	1.364	1.912	1.859e+06	2.18e+05	0.1173	0.07955	824	198	74	335	1.131e+04	4881	11181	4369	1
pdvd	039252_5/129	3	0	-2496	1.481	3954	259.6	259.1	2.995	2.001	1.314e+06	3.297e+05	0.2509	0.1923	553	168	27	757	5604	6424	5476	5912	1
pdvd	039252_9/79	4	0	-2481	1.481	3732	329.1	329	0.5807	0.6483	9.225e+05	3.021e+05	0.3275	0.2588	286	92	15	339	8526	6948	8398	6436	1
pdvd	039253_9/120	3	0	-2504	1.481	3522	177.8	177.9	0.448	0.5151	1.068e+06	4.572e+05	0.428	0.3685	285	104	12	975	5589	4437	5461	3925	1
pdvd	039349_43/43	7	1	-2183	1.481	2218	24.97	24.86	0.6675	1.101	5.566e+05	5.076e+05	0.9121	0.8905	49	47	10	49	1.213e+04	407.9	12000	-104	0
pdvd	039349_5/54	5	0	-2334	1.481	3110	235.2	236.8	1.944	1.759	8.071e+05	3.289e+05	0.4075	0.03791	246	126	15	237	9117	4730	8989	4218	1
pdvd	039349_68/65	6	1	-2420	1.481	5038	30.33	29.9	0.9121	0.5831	7.719e+05	4.873e+05	0.6314	0.5363	134	58	9	57	1.149e+04	5645	11358	5133	0
pdvd	039349_70/54	6	1	-2370	1.481	2368	299	298.7	0.3254	0.4277	1.605e+06	6.317e+05	0.3937	0.3325	421	137	34	136	1.167e+04	4036	11547	3524	1
pdvd	039349_72/39	5	0	-2415	1.481	4453	48.9	49.54	3.333	3.761	1.434e+06	5.358e+05	0.3737	0.2609	466	133	22	595	9025	4736	8897	4224	0
pdvd	039349_72/40	4	1	-2415	1.481	4416	43.53	41.5	4.369	4.419	1.872e+06	4.377e+05	0.2338	0.1613	489	136	29	54	8096	4589	7968	4077	0
pdvd	039349_78/22	1	1	-2412	1.481	2255	166.9	166	0.9336	1.492	3.259e+06	5.819e+05	0.1786	0.2055	862	171	24	292	2760	1940	2632	1428	1
