event	main_id	verdict	quality	conf	reason
279951	14	nu	junk	high	10 drawn points in a 1 cm blob at (-98,194,113) just inside the FV top face, no steiner pc so no dQ/dx; nothing to judge
51865	11	nu	junk	high	only 19 drawn points in a 1.5 cm blob at (19,-124,347) with a few sparse grey dots around it; skeleton claims 87 cm over 6 fragments (~1.4 pts/cm), no steiner pc so no dQ/dx
280092	6	nu	clean	med	49 cm V with apex at (130,-189,40): dQ/dx is elevated to 80-151 ke/cm AT the apex while both ~25 cm arms sit at 40-70 ke/cm (flat MIP, no Bragg at either tip), so this reads as vertex activity, not a stopping end (alternative: the apex charge is the two arms double-counted where the fit passes through the kink); one arm reaches the bottom wall y=-199. Disagree with the STM tag, which fitted one 26 cm arm and dumped the other as a 21.7 cm 1.02-MIP leftover
280281	14	STM	clean	high	enters the downstream wall z=498.4 at (-41,-132) travelling 28 cm in z over a 54 cm path (crossing, not grazing) and stops at (-45,-177,470) with a strong Bragg to 280-338 ke/cm on a clean muon-shaped rise (ks1=0.063)
280281	8	nu	junk	high	46 points in a 2 cm blob sitting on the upstream wall at (171,65,1); no track to judge (TGM-tagged so the STM fit was skipped)
280598	15	nu	unclear	med	not one object: a closed loop in X-Y around (-125,157,478) plus a dense horizontal band at y=164-166 running out to the downstream wall z=501; dQ/dx has 2 high points at rr<1 then dives through zero to NEGATIVE at rr=4-7 (fit pathology), so no usable stopping evidence
280774	16	nu	unclear	med	dQ/dx sits at 85-318 ke/cm over the first 55 cm (1.5-6x MIP, far above the muon curve) and rises again at rr=90-96, so the charge scale is not muon-like anywhere; topology is a >120 deg kink at (-118,17,37) with a 50 cm arm to (-91,19,83) and a 40 cm arm reaching the upstream wall z=0.8
280972	7	nu	cosmic-like	high	494 cm cathode-crossing track with BOTH ends on boundaries - the downstream wall z=501 and a dense tangle at the bottom wall y=-199 near (25-70,z=90-190) - so it is through-going and nothing stopped; the rr<3 rise is inside that tangle (fit's own left dQ/dx=2.50 MIP). tgm=0, so TGM missed it
281095	20	STM	clean	high	469 cm cathode-crossing track entering the upstream wall z=2.6 at (-70,-12) - travel is mostly along +z so it crosses that face head-on - and stopping at (45,11,440) with a tight Bragg to 168-215 ke/cm (ks1=0.024)
281148	13	STM	clean	med	33 cm track entering the upstream wall z=0.8 at (-12,124) with a textbook Bragg to 186 ke/cm (ks1=0.014); caveat, the stopping end (-1.7,117,31) sits only 1.7 cm from the cathode x=0, so a cathode-broken continuation cannot be fully excluded, though the nearby grey points do not line up with this track
50787	6	nu	clean	high	vertex at (125,-104,497) just inside the downstream wall with a ~3 cm stub toward the wall plus a 47 cm prong whose end does show a Bragg to 175 ke/cm; the wall contact is GRAZING (the body runs parallel to z=497 over only 6 cm of z), so there is no entry and the object is not a stopping muon
281241	10	STM	clean	high	enters the upstream wall z=0.4 at (5.6,157), cathode-crosses and runs 184 cm to stop at (-41,192,172) with a clean Bragg to 220 ke/cm (ks1=0.038); nearly beam-aligned (+z) so likely an upstream/dirt muon, but geometrically an entering-and-stopping muon
281337	8	nu	junk	high	15 drawn points in a 1 cm blob at (-179,-144,42), isolated in the full-detector view; skeleton claims 45 cm from 36 points and there is no steiner pc, so no dQ/dx
281485	15	nu	junk	med	the main is 6-8 DISCONNECTED dense chunks spread over y=134-188, z=228-296 while hugging the anode x=-201 to -172 (clear empty gaps between them in Y-Z); not one physical object, and no STM fit exists (tagger stopped at a >120 deg mid-track kink)
52723	7	nu	clean	med	dQ/dx is flat 50-70 ke/cm from rr=3 out to rr=60 with only a 2 cm spike of 214-279 ke/cm (4-5x MIP) at rr<1.5 = dense blob, not a muon Bragg; that end also carries an 8 cm second prong at (92,29-34,450-457) while the 60 cm prong exits the downstream wall z=500
281507	8	nu	cosmic-like	med	enters the top wall y=199.8 at (-135,z=496) and runs 130 cm to (-82,130,420) where dQ/dx is only 40-65 ke/cm at rr<3 (no Bragg; the 100-186k points sit at rr=4 and rr=20-27) plus a 5-8 cm 1.5-MIP stub; the fit only passed on the com=15 variant
281527	14	nu	cosmic-like	med	enters the top wall y=200.0 at (92,z=351) and descends 240 cm to (156,55,313); dQ/dx never reaches the muon expectation at either end (max ~110 ke/cm at rr<2 against 168 expected, flat 40-70 over the middle 150 cm), so nothing stopped
281551	1	STM	unclear	low	HARD: 18 cm track crossing the top wall y=199.0 at (-166,z=186.5) with a proper Bragg-shaped rise along the green curve to 140-153 ke/cm (ks1=0.015), so I keep the STM call - but it runs at essentially constant z (dz=0.9 cm over 17.6 cm) which is the prolonged-W geometry, so length and charge are both suspect and an 18 cm (~50 MeV) entering muon is unusual
281557	23	nu	junk	high	15 drawn points in a 1.5 cm blob at (125,-196,285) just inside the FV bottom face; skeleton claims 32 cm from 47 points over 3 fragments and the round-1 fit gave <=3 points, so there is no dQ/dx
281595	20	nu	clean	high	a 2-3 cm stub at the interior end (-33,-66,197) spikes to 215-313 ke/cm (3-5.6x MIP, far ABOVE the muon maximum of 168) and collapses to 50-70 by rr=5-10 - proton-like, matching the fit's left dQ/dx=3.76 MIP over 2.8 cm - while the 330 cm MIP prong exits the downstream wall z=500 along +z (beam direction); same signature as the evt51051 reference
281632	8	STM	unclear	low	HARD: 49 cm track entering the upstream wall z=1.3 in the top corner (-63.5,197,1.3) and ending interior at (-50,179,42); dQ/dx rises ~4x along the track toward rr=0 (25-45 ke/cm at rr=40-48 up to 125-145 at rr=5-10), which is muon-shaped, BUT the whole profile sits 1.7-2x above the green curve and the last 2 cm are erratic (277k then 50k), so the charge scale is not trustworthy
281639	22	nu	unclear	low	no dQ/dx at all (tagger persisted no trajectory), so no stopping evidence exists; the 45 cm object touches the anode x=201.2 at (201,160,473) with its other end interior at (168,116,485), and the image shows two nearly parallel strands 3-4 cm apart over ~15 cm plus a vertical spike at z=481 = reconstruction pathology
281837	13	nu	clean	med	three prongs from a junction at (145,-130,195): a 130 cm prong to the bottom wall y=-199 at z=290, an 80 cm prong to (152,-55,225) ending in a hook, and a 40 cm arm to (129,-140,195); dQ/dx spikes to 250-290 ke/cm (4-5x MIP) at rr<2 and stays 1.5-2x above the muon curve over 50 cm, so the dense end is proton-like rather than a muon Bragg
281857	19	STM	clean	high	enters the upstream wall z=0.8 at (-96,-143), runs 113 cm and stops at (-129,-180,100) with a textbook Bragg to 228 ke/cm hugging the green curve (ks1=0.013)
281918	22	nu	junk	high	8 drawn points in a sub-cm blob at (115,-190,425), isolated in the full-detector view; no steiner pc so no dQ/dx, nothing to judge
