event	main_id	verdict	quality	conf	reason
409920	7	nu	weak	med	7 cm dense contained clump at (-44,-24,230), 155 cm clear of every DET_BOX face, so a muon that stopped here could never have entered - not STM by containment; featureless, no STM fit (tagger exited on fully-contained)
409920	9	nu	junk	high	11 drawn points in a 1 cm speck at (80,-55,328), 120 cm clear of every wall; nothing to judge
409942	17	STM	clean	med	enters the upstream wall at (105,3,-0.5), 41 cm, textbook Bragg to 220 ke/cm at rr=0.5 hugging the muon curve (ks1=0.037) at the contained end (81,-14,27); the tagger's "extra tracks" are two further prongs (15 cm and 7 cm) at the WALL end, i.e. at the entry not at the stop, so they do not spoil the STM reading
48301	13	STM	clean	high	single 130 cm track entering the upstream wall at (-47,-92,2.3), textbook Bragg to 190 ke/cm at rr=0.3 on the muon curve (ks1=0.010), broad charge spray at the stopping end (-94,-69,93) = Michel candidate
411152	6	nu	junk	high	6 drawn points in a sub-cm speck at (60,113,5.2), 4.3 cm inside the upstream wall; no steiner_pc, no track, nothing to judge
411460	6	nu	cosmic-like	med	flat 50-65 ke/cm down to rr=0 (max 84 ke/cm at rr=3, far below the muon curve) so nothing stopped; 13 cm of x travel with only 4.6 cm of z at y=196-200, i.e. running ALONG the top wall (grazing, not entering), plus a 6 cm vertical charge spray at x=-36.5 - a truncated fragment
48367	19	nu	cosmic-like	high	flat 50-60 ke/cm right down to rr=0 with a single 117 ke/cm point and no Bragg (all 8 evals fail); crosses the bottom wall at y=-199.1 and the other end just stops mid-detector at (-161,-91,172); dx=1 cm over 166 cm (isochronous, badly measured) with several detached horizontal streaks alongside
411790	13	nu	unclear	med	crosses the top wall at (136,199.9,65) but the dQ/dx is INVERTED - 75-141 ke/cm at rr 5-23 and only 34-42 ke/cm (below MIP) at rr 1.5-4.5, so the claimed stopping end carries the least charge and there is no Bragg; U-shaped 30 cm arc plus a 9 cm vertical spray at (126,190-200,74-78) reads shower/fragment-like. I disagree with the STM tag
412692	13	nu	clean	high	kink at (-163,-34,251) splits two segments with different ionisation: 65 cm at ~1 MIP exiting the anode x=-201.4, and 60 cm at ~2 MIP whose last 4 cm spikes to 200-308 ke/cm (3.5-5.5 MIP, far above the 168 muon curve; tagger's own left dQ/dx=4.09 MIP) = proton + muon vertex, not a muon Bragg
486049	13	STM	clean	high	enters the upstream wall at (-61,127,0.8), 215 cm, textbook Bragg 135-185 ke/cm hugging the muon curve at rr<1 (ks1=0.017), stops at (-107,171,200) with a 4 cm hook = Michel candidate
486687	20	nu	clean	med	flat 50-60 ke/cm down to rr=3 with no muon rise, then an abrupt 4-point spike to 205-310 ke/cm (3.7-5.5 MIP, far above the 168 curve) in the last 2 cm = proton-like stub at a vertex at (-135,151,150); the 272 cm MIP prong exits the anode x=-201.3. The tagger's own pass 0 said "proton end" and only passed on a poor ks1=0.150
486907	16	STM	clean	high	enters the top wall at (-86,199.7,472), descends 165 cm, Bragg 127 ke/cm 1.5 cm before the stop at (-76,40,442) matching the muon curve (ks1=0.021, res_L=16.6 cm), then a 14-16 cm segment at 1.07 MIP turning ~90 deg away = Michel electron; small delta-ray branch at y=74 mid-track
487633	3	STM	clean	high	enters the upstream wall at (-93,-2,0.8), single smooth 168 cm arc with no branches, Bragg 143-190 ke/cm at rr<1 on the muon curve (ks1=0.071), stops contained at (-18,97,107)
488139	14	nu	clean	med	141 cm cathode-crossing MIP prong with a 6 cm hook at 3.11 MIP at (-50,-45,427): dQ/dx spikes to 152-197 ke/cm over the last 3 cm then collapses to 35-45 ke/cm (below MIP) at rr 5-10, which is a stub not a muon Bragg tail; the other end stops 4 cm short of the downstream wall (z=496.1) and no end reaches a DET face, so nothing entered
489327	19	nu	unclear	med	the dQ/dx fit is pathological - values go NEGATIVE (-50k to 0 e/cm) all through rr 20-70 - so there is no usable stopping evidence; topologically an ~80 deg kink at (-85,85,140) joins a 380 cm prong that crosses the downstream wall z=499.4 to a 94 cm 0.73-MIP prong ending contained at (-145,29,150), i.e. two merged tracks or a vertex, not one stopping muon
48895	17	nu	cosmic-like	high	the STM tag is wrong here: flat 50-55 ke/cm right down to rr=0 (last point 28 ke/cm), no Bragg; the lower end exits the bottom wall y=-199.7 at (-150,350) and the upper end just stops mid-detector at (-165,-165,185). (Owner's own comment on this bundle: "Not STM")
489459	6	nu	junk	high	10 drawn points in a 1 cm speck at (138,71,5.5), 4.5 cm inside the upstream wall; no steiner_pc so no fit, and the skeleton's 74.1 cm / 80 pts has no visible track
489679	11	nu	junk	high	11 drawn points in a 1 cm speck at (-125,23,19.6), 18 cm clear of the upstream wall; no steiner_pc, nothing to judge
489811	4	STM	clean	high	crosses the anode x=201.3 at (201,139,330), single smooth 174 cm track with no branches, textbook Bragg 140-185 ke/cm hugging the muon curve at rr<1 (ks1=0.025), stops contained at (48,168,396)
51865	11	nu	junk	high	19 drawn points in a 1.5 cm clump at (19,-124,347) with a sparse grey dotted trail alongside; 6 fragments over the claimed 87 cm (1.4 pts/cm), no steiner_pc, no track to judge
490361	20	nu	unclear	med	no Bragg - dQ/dx at rr<5 scatters 18-100 ke/cm (mostly far BELOW the 100-168 muon curve) and collapses to 8-25 ke/cm at rr 10-12, so the fit is unusable and all 8 evals fail; a 3-way junction at (-177,-119,446) with a 21 cm branch and a broad 15 cm fan, main 39 cm prong reaching the anode x=-201.2
490581	6	nu	cosmic-like	high	flat 40-60 ke/cm right down to rr=0 (peak only 82 ke/cm, no Bragg, all evals fail r1=1.38); crosses the downstream wall at (171,-80,500.3) and the other end just stops mid-detector at (145,-2,296) - a truncated through-going track, the evt48895 pattern
490977	17	nu	cosmic-like	med	flat 44-76 ke/cm at rr<3 with no Bragg (rej dQ/dx eval, r1=1.29); the anode end x=201.2 crosses but the other end just stops at (140,-17,183) mid-detector at MIP charge = truncated, not stopped; single 76 cm track with no vertex structure
492649	20	nu	cosmic-like	med	crosses the top wall at (90,200,177) but the dQ/dx is flat 55-65 ke/cm from rr=2 out to 80 cm with only ONE point at 148 ke/cm at rr=0.3 - no rising Bragg trend and all 8 evals fail (r1=1.21) - so the lower end at (131,146,138) is truncated mid-detector
492891	13	STM	clean	high	460 cm track entering the upstream wall at (12,-34,2.6) (outside the FV), textbook Bragg 110-170 ke/cm hugging the muon curve at rr<3 (ks1=0.016, the best fit in this slice), stops at (196,-63,423) 5 cm short of the anode with the usual end-of-range bend 40 cm before the stop
492913	15	nu	cosmic-like	med	flat 44-69 ke/cm to rr=0, no Bragg (all 8 evals fail, r1=1.44); crosses the downstream wall at (3.5,-96,498.5) and the other end just stops at (-4.5,-137,455); the slope break at x=0 is the cathode join not a kink, and the dQ/dx dips to 15-30 ke/cm in the TPC1 stretch = charge artifact
493243	13	nu	cosmic-like	high	flat 40-72 ke/cm right down to rr=0, no Bragg (all 8 evals fail, r1=1.45, res_L=38 cm); crosses the bottom wall at (21,-198,138) and the other end just stops mid-detector at (155,-134,27); single smooth 225 cm track with no vertex structure
50787	6	nu	clean	high	vertex at (126,-106,497) just inside the downstream wall: 3.4 cm stub toward the wall plus a 47 cm prong at 1.30 MIP whose far end carries the Bragg (172-175 ke/cm at rr<1); the wall contact is GRAZING - only 6 cm of z over a 49 cm track, running parallel to the wall - so nothing entered through it. (Owner called this one a nu candidate, on its kinks)
52723	7	nu	clean	med	3-point spike to 213-278 ke/cm (4-5 MIP, far ABOVE the 168 muon curve) at rr<1 dropping straight to 70 ke/cm by rr=2 = an abrupt dense stub, not a muon Bragg which would rise over ~10 cm; an 8 cm hook leaves the same point (92,29,450) and the 60 cm MIP prong exits the downstream wall z=500.3, so this reads as a vertex
