# doc 61 sec 5d -- reconstruction/tagger pathologies the scan surfaced, served on :5012
# alongside the 62 claimed STM mistakes (scan-d59k/stm-disagreements.tsv).
# REPORTED, NOT FIXED.  class:
#   negative-dqdx      the STM dQ/dx fit returns NEGATIVE charge somewhere on the track
#                      (every row whose reason names it; excursions to -320 ke/cm)
#   dqdx-normalisation the WHOLE track sits 1.5-2x above the muon table with the correct
#                      SHAPE (mostly cathode-hugging / drift-parallel).  The scan had to
#                      invent a discriminator -- does the far end return to the 56 ke/cm
#                      MIP line? -- and it decides STM-vs-proton here.  NEEDS AN OWNER
#                      RULING: 281632/289343/386838/389962/409084 were called STM on it,
#                      59377/61313/63603/72828/168388/174488/285366/291345/404684 nu, and
#                      389544 is the counter-case (rises FASTER than a muon => proton).
#                      Curated by hand from the reason texts, not a regex.
#   upward-going-bragg near-bottom-wall objects whose Bragg forces an UPWARD-going muon:
#                      a real sub-population, or the fit mis-assigning which end exits
#   tgm-miss           both ends on boundaries (through-going) but tgm=0
#   cosmic-tag-in-beam an in-beam bundle that carries a TGM or LM tag.  These are NOT
#                      leaks: they are the one cosmic-tagged in-beam bundle of each of
#                      the 6 'mixed' events that sec 5a's keep rule retains on purpose
#                      (an event stays if ANY in-beam bundle is keepable).  Listed at the
#                      owner's request so the class can be eyeballed rather than trusted;
#                      all 6 are the complete class, not just the 3 the agents named.
#   tgm-miss-withdrawn the owner ruled the TGM tagger right: the object is MULTIPLE TRACKS,
#                      so 'both ends on boundaries' never meant one through-going particle
#   through-going-recheck  a 'nu' verdict whose REASON rests on a through-going reading while
#                      also naming a kink/tangle/prong.  The verdict stands (multi-track is
#                      still not a stopping muon); the cosmic-like QUALITY is what may be wrong
class	batch	event	main_id	flash_gid	t_us	len_cm	tagger	verdict	quality	conf	reason
negative-dqdx	batch2	347085	4	7	0.912	185.5	nu-candidate	nu	unclear	low	near-vertical y=199.7(top wall)->y=94 at essentially constant z=285 (dz~5 cm over 185 cm) = prolonged-W geometry, and the fitted dQ/dx oscillates into NEGATIVE values (-30 ke/cm) so no Bragg can be read; at rr=0 it is 50-60 ke/cm flat, nothing stopped
negative-dqdx	batch2	394532	8	1000000	1.452	101.0	nu-candidate	nu	unclear	low	dQ/dx is unphysically negative (down to -250 ke/cm over rr=8-25, tagger reports left dQ/dx=-0.56 MIP) so no stopping profile can be read; touches the anode x=201 at (-188,22), far end at x=173 mid-detector
negative-dqdx	batch2	399052	15	0	1.469	118.5	nu-candidate	nu	clean	med	3-prong vertex at (-128,-84,481): 28 cm arm to the downstream wall z=497, 27 cm arm to (-140,-59,486) with a charge blob, 45 cm arm to (-151,-109,460); no Bragg at any end (rr=0 sits at 50 ke/cm) and dQ/dx even goes negative near rr=50-55, a fit pathology worth noting
negative-dqdx	batch2	400504	6	1000004	0.994	96.3	nu-candidate	nu	unclear	med	L-shaped multi-branch object, corner at (43,67,443): a 60 cm arm reaches the downstream wall z=499 and an 80 cm near-vertical arm ends contained at (48,-13,455); dQ/dx is pathological (negative near rr=57 plus a smooth artificial arc over rr=60-95) and the fit's ks1=0.313 is the worst in the slice, so no Bragg claim is possible; tagger says "extra tracks"
negative-dqdx	batch2	489327	19	1	1.397	437.5	nu-candidate	nu	unclear	med	the dQ/dx fit is pathological - values go NEGATIVE (-50k to 0 e/cm) all through rr 20-70 - so there is no usable stopping evidence; topologically an ~80 deg kink at (-85,85,140) joins a 380 cm prong that crosses the downstream wall z=499.4 to a 94 cm 0.73-MIP prong ending contained at (-145,29,150), i.e. two merged tracks or a vertex, not one stopping muon
dqdx-normalisation	batch2	59377	7	3	1.584	76.2	STM	nu	unclear	med	I disagree with the STM tag: EVERY point sits 1.6-2x above the muon expectation (310 ke/cm at rr=0, still 110-150k at rr=10-25), i.e. a heavily-ionizing/proton-like profile, not a muon losing energy; the tagger's ks1=0.010 is shape-only and its own r1=0.51/r2=0.37 flag the factor 2. Note the excess ratio is FLAT (1.85 at rr=0.3, 1.97 at rr=5, 1.90 at rr=10, 1.83 at rr=26), which a uniform dx/normalization error would also produce - so this one is less securely proton than evt61313. Caveat: the 27 cm track is isochronous (x fixed at -143+-2) and touches the upstream wall z=2.9, so an inflated dx is the alternative reading
dqdx-normalisation	batch2	61313	18	6	0.942	39.6	STM	nu	unclear	med	I disagree with the STM tag: the whole 40 cm sits 1.7-2.1x above the muon expectation (283 ke/cm at rr=0, 150k at rr=10, 120k at rr=35) and the excess GROWS with residual range (1.7 -> 1.9 -> 2.0 -> 2.1), which a uniform dx error cannot produce - a ~250 MeV proton can; the tagger's ks1=0.041 is shape-only and its own r1=0.54/r2=0.41 flag the factor 2. Odd either way - a bare heavily-ionizing 40 cm track hanging off the anode plane x=-201.4 with no second prong; an inflated dx is the alternative reading
dqdx-normalisation	batch2	63603	13	1000007	1.306	117.1	nu-candidate	nu	unclear	low	drift-parallel bundle (dx=108 cm vs dy=22, dz=42) whose dQ/dx sits 2-3x above the muon curve over the whole last 50 cm and reaches 265 ke/cm at rr=0 -- not a muon Bragg; there is a cathode join gap at x=0, a top-wall touch at y=198.3 and a Y branch at (42,180,150), and dQ/dx is unreliable for drift-parallel tracks
dqdx-normalisation	batch2	72828	7	0	1.243	11.8	STM	nu	unclear	low	12 cm object touching the anode x=-201 in the bottom corner; dQ/dx is 160-256 ke/cm over the whole 10 cm, 2-4x ABOVE the muon expectation, so this is not a muon at all - the STM accept off 17 fit points (r1=0.54) looks wrong. Too short to read topology
dqdx-normalisation	batch2	168388	6	5	1.453	12.7	STM	nu	unclear	low	12 cm stub from the upstream wall (-184,28,1.3) to (-177,32,11); all 22 fit points sit at 130-275 ke/cm, 2-2.5x ABOVE the muon expectation over the whole length and never approach it, so this is not a muon - the STM accept looks like the same short-stub-at-a-wall failure mode as evt72828
dqdx-normalisation	batch2	174488	3	6	1.450	16.4	STM	nu	unclear	med	16 cm stub whose dQ/dx sits at 150-250 ke/cm over its WHOLE length (2.5-4x MIP, far above the muon curve) and rises only 1.7x from rr=15 to rr=1 (a muon rises 2.5x) = flat-and-high proton-like profile, not a muon Bragg; touches the upstream wall z=0.8; disagree with the STM tag
dqdx-normalisation	batch2	281632	8	7	1.133	54.5	STM	STM	unclear	low	HARD: 49 cm track entering the upstream wall z=1.3 in the top corner (-63.5,197,1.3) and ending interior at (-50,179,42); dQ/dx rises ~4x along the track toward rr=0 (25-45 ke/cm at rr=40-48 up to 125-145 at rr=5-10), which is muon-shaped, BUT the whole profile sits 1.7-2x above the green curve and the last 2 cm are erratic (277k then 50k), so the charge scale is not trustworthy
dqdx-normalisation	batch2	285366	13	1000001	1.102	95.1	STM	nu	cosmic-like	med	disagree with the STM tag: the dQ/dx does NOT rise in shape toward rr=0 - it is flat at 80-100 ke/cm (1.5-1.8x MIP) from rr=65 all the way in, and the last two real points (75-78 ke/cm at rr=1-2) are LOWER than the body, with only a single 520 ke/cm (9 MIP) outlier at rr=0.5 and a fitted peak below expectation (r1=0.73); so although the track crosses the anode at x=201.4 and its far end at (146,-77,486) is contained with a small clump, nothing is shown to stop there - truncated/broken end
dqdx-normalisation	batch2	289343	9	4	1.363	53.7	STM	STM	unclear	med	geometry is a stopping muon - enters the top wall at y=199.8 (x=-29.5,z=265), travels 20 cm in y and ends at (-5.5,179.5,305) with no charge continuing across the cathode (checked in ctx) - and the dQ/dx shape is the best in the slice (ks1=0.008); but the WHOLE 43 cm track sits ~1.8x above the muon curve (95-140 ke/cm body, 320 ke/cm at rr=0.5), which reads as a near-cathode charge over-correction (or, less likely, a proton) - the owner should look at the normalisation
dqdx-normalisation	batch2	291345	12	1000004	1.338	140.0	STM	nu	unclear	med	dQ/dx sits entirely ABOVE the muon curve along all 25 cm (110 ke/cm at rr=24 = 2 MIP, rising to 290 ke/cm at rr=0), which is proton-like and cannot be a particle entering from outside through the upstream wall z=1.1 that it touches; dx is likely mis-measured (near-horizontal, dy=4.5 over 25 cm) and the cluster length is quoted 140 cm vs 25 cm drawn; disagree with the STM tag
dqdx-normalisation	batch2	386838	16	6	1.383	90.6	STM	STM	clean	med	perfectly straight 91 cm track entering the upstream wall at (-50,-136,z=1.6) with 75 cm of z travel, and the dQ/dx SHAPE is a textbook muon Bragg (ks1=0.014) rising to 280 ke/cm at rr=0. Oddity to report: the whole curve is scaled ~1.8x high - its MIP plateau sits at 90-100 ke/cm instead of 56 - so the normalisation, not the shape, is off. Agrees with the tagger
dqdx-normalisation	batch2	389962	5	1000000	1.436	86.8	STM	STM	unclear	low	geometry and dQ/dx shape both read STM - reaches the upstream wall at z=-0.5 travelling +z and the charge rises along the muon curve to 330 ke/cm at rr=0 (ks1=0.017) - but the reconstruction is pathological and the owner should look: the object sits at essentially constant drift x=162.5 (dx=2.2 cm, isochronous) with a 20 cm-wide y ambiguity blob, the drawn extent is 33 cm against a claimed 86.8 cm, and the whole dQ/dx curve is inflated a uniform ~2x (MIP plateau at 110 instead of 56), consistent with an underestimated dx
dqdx-normalisation	batch2	404684	9	1000010	1.595	74.8	nu-candidate	nu	unclear	low	top end touches/exceeds the top wall (bbox y_hi=200.0 vs DET 199.31) and the 75 cm cathode crosser ends at (-10.5,141,344), but dQ/dx sits at ~1.8 MIP over the WHOLE length and spikes to 280 ke/cm at that end, far above the muon curve -- proton-like or a dx pathology, not a muon Bragg either way; agree with the tagger's rejection
dqdx-normalisation	batch2	409084	12	1000003	1.096	108.9	STM	STM	clean	med	crosses the upstream wall at (86,-48,-0.5) travelling +z, 82 cm, Bragg to 263 ke/cm at rr=0 (ks1=0.020) with a small detached blob at the stopping end (110,-20,70) = Michel candidate; caveat: dQ/dx sits ~1.8x above the muon table over the WHOLE range (90-100 ke/cm where flat MIP is 56) so the charge scale looks mis-set, but the shape is a clean Bragg
dqdx-normalisation	batch2	389544	13	4	1.941	46.7	STM	nu	clean	med	24 cm stub from (-58,-197,277) to (-61,-187,299); the dQ/dx starts at the MIP line (60 ke/cm at rr=28) and rises MUCH faster than the muon curve - 120 at rr=15 where the muon expects 62, 257 ke/cm at rr=0 vs the 165 muon maximum - i.e. proton-like, not a muon stop. Disagree with the tagger's STM (its ks1=0.026 tests shape only). Entry leg is weak too: the only boundary contact is y=-197.1, 2.2 cm above the bottom face, reached at a shallow 25 deg slope
upward-going-bragg	batch2	68956	13	1000002	2.010	468.1	STM	STM	clean	med	468 cm track crossing the bottom wall at (84,-199,41) and stopping at (165,43,374) -- the ctx frame shows no grey charge continuing past that end (the nearby greys are separate tracks with different slopes) -- with dQ/dx riding the green curve to 165-175 ke/cm at rr=0 (ks1=0.033); note it is UPWARD-going, so it must be a beam/dirt muon rather than a cosmic, which is why conf is med not high
upward-going-bragg	batch2	290729	12	4	1.552	114.6	nu-candidate	STM	unclear	med	crosses the bottom wall y=-198.8 steeply (dy=98 over 115 cm), Bragg to 199 ke/cm at rr=0 following the muon curve (105-130 ke/cm at rr=5, far below the ~300 ke/cm a proton would give) so the interior end at (-129,-105,105) really stopped; the tagger's kink@11 / 124 cm leftover is a ~7 cm end-of-range hard scatter, so I disagree with its nu-candidate label; caveat: this implies an upward-going muon
upward-going-bragg	batch2	291301	18	9	1.393	34.6	STM	nu	weak	low	THRESHOLD CALL, owner should re-check: 13 cm stub with a textbook stopping profile (214 ke/cm at rr=0 hugging the muon curve down to 55 ke/cm at rr=13) at its upper end (14 cm inside), and a lower tip at y=-196.4 = 2.9 cm from the bottom DET face, i.e. right at the edge of the ~3 cm crossing tolerance and 0.4 cm below the FV line; I call it not-entered because the drawn charge visibly stops on the FV line with clear separation from the wall, unlike evt290729/291768 whose points reach y=-198.8 - if that 2.9 cm counts as a crossing this becomes STM
upward-going-bragg	batch2	291768	18	1000012	1.604	14.8	STM	STM	unclear	low	15 cm near-vertical stub whose lower tip reaches the bottom wall y=-198.8 and whose upper end shows a smooth muon-curve Bragg 65->162 ke/cm, so entry+stop are formally satisfied; but dx=1.6 cm and dz=3.5 cm make this an isochronous single-collection-wire geometry drawn as a 4 cm-wide slab of 379 points, so dx and hence dQ/dx are ill-defined and the implied direction is upward-going - owner should look
upward-going-bragg	batch2	399042	14	9	1.410	138.7	STM	STM	clean	med	33 cm crossing the bottom wall y=-199.1 at (-52,273) with a Bragg to 195 ke/cm at rr=0 on the muon curve (ks1=0.022) at the upper end (-74,-179,259); the whole track sits above MIP = the last 33 cm of a stopping muon, which forces the upward-going reading (entry through the bottom wall); STM here is geometric (one end crosses, the other stops with Bragg), so the odd direction does not by itself demote it
tgm-miss-withdrawn	batch1	49951	16	1000003	1.983	94.8	nu-candidate	nu	cosmic-like	med	OWNER RULING 2026-07-26 (comment in nusel_labels/s61mis): "Not TGM, due to multiple tracks" -- the TGM-miss claim is WITHDRAWN, the tagger is right. Original scan claim kept for the record: NOT STM: enters the top wall y=200 at (172,63), kinks at (191,173,22), and BOTH arms reach the anode plane x=201 -> through-going, nothing stops. (tgm=0, so TGM missed it)
tgm-miss	batch2	173498	6	6	0.671	182.5	nu-candidate	nu	cosmic-like	high	through-going: one arm crosses the anode plane at (-201,151,366), the other exits the downstream wall at (-146,145,501), with a kink at (-175,142,340); dQ/dx is flat 40-60 ke/cm to rr=0, no Bragg. tgm=0, so TGM missed this two-boundary crosser. Near-constant y (dy=12 cm over 182 cm) with a +/-3 cm smear, so y is poorly measured [RECHECKED 2026-07-26 under the owner's multiple-tracks standard: the X-Z view is one polyline but it turns a sharp ~100 deg corner at (-175,142,340), which is exactly the two-tracks-joined shape the ruling names; a muon does not turn 100 deg. TGM-miss claim DOUBTFUL, needs the owner's eye]
tgm-miss	batch2	280972	7	2	1.349	493.7	nu-candidate	nu	cosmic-like	high	494 cm cathode-crossing track with BOTH ends on boundaries - the downstream wall z=501 and a dense tangle at the bottom wall y=-199 near (25-70,z=90-190) - so it is through-going and nothing stopped; the rr<3 rise is inside that tangle (fit's own left dQ/dx=2.50 MIP). tgm=0, so TGM missed it [RECHECKED 2026-07-26 under the owner's multiple-tracks standard: the second boundary contact is reached only through the dense tangle at the bottom wall, i.e. via OTHER tracks, not by this object's own end; the smooth curve itself ends at (48,-172,~160). TGM-miss claim WITHDRAWN in spirit -- treat as multiple tracks]
cosmic-tag-in-beam	batch2	70562	10	1000000	1.724	8.3	LM	nu	junk	high	12 drawn points in one 0.6 cm dot at (183,-100,5) plus a detached grey fragment 6 cm away; not one physical object and no fit. NB auto_label LM leaked into a sample that was supposed to have LM removed
cosmic-tag-in-beam	batch2	169598	2	3	0.265	251.8	TGM	nu	cosmic-like	high	straight 252 cm through-goer from the anode plane (-201,-2,356) to the top wall (-70,200,430) - crosses two boundaries, nothing stops. This is a TGM that leaked into a sample the doc-59 cut was supposed to have removed (auto_label TGM, no STM fit)
cosmic-tag-in-beam	batch2	174928	5	14	1.358	48.0	TGM	nu	junk	high	only 7 drawn points in a 1 cm blob at (-98,197,111) just inside the top wall; no track to judge (tagger called it TGM so the STM fit was skipped)
cosmic-tag-in-beam	batch2	280281	8	1000007	1.641	2.4	TGM	nu	junk	high	46 points in a 2 cm blob sitting on the upstream wall at (171,65,1); no track to judge (TGM-tagged so the STM fit was skipped)
cosmic-tag-in-beam	batch2	282952	7	9	0.206	5.6	TGM	nu	cosmic-like	med	5.6 cm 35-point clump wedged in the anode/downstream corner (x=-201.3, z=497-501, y=19-22), straddling two boundaries with no track body; no dQ/dx (STM skipped it as TGM) -- the TGM tag looks right to me, it is certainly not a stopping muon
cosmic-tag-in-beam	batch2	399382	15	1000005	1.572	31.4	TGM	nu	junk	high	15 drawn points in one 1x0.8x0.6 cm blob at (190,184,2.3) in the anode/upstream corner, no persisted trajectory and no dQ/dx; also note this row still carries auto_label "TGM lm" although the sample was meant to have TGM/LM removed
through-going-recheck	batch2	287654	12	8	1.374	95.6	nu-candidate	nu	unclear	med	two ~50 cm prongs meeting at (-6,56,460) right at the cathode, one running up in y at constant x (isochronous) and one crossing into TPC1 to (43,16,496), both ends stopping at z=496-497 near the downstream wall; dQ/dx at rr=0 is only 25-57 ke/cm (no Bragg) and the fit swings to -110 ke/cm mid-track, so this is a cathode-join/reco pathology, not a stopping muon [FLAGGED 2026-07-26: this 'nu' verdict is safe, but its REASON reads the object as one through-going cosmic while also naming a kink/tangle/prong; under the owner's multiple-tracks ruling the cosmic-like QUALITY may be wrong -- it could be over-merge (junk) or a real vertex]
through-going-recheck	batch2	348691	9	1000000	1.631	440.6	nu-candidate	nu	cosmic-like	high	440 cm object: 350 cm MIP prong exits the downstream wall z=500.3, two short prongs reach the bottom wall y=-196.8, third arm runs to the cathode x=6 - through-going, nothing stops; dQ/dx flat ~50 ke/cm over 280 cm with an unphysical -300 ke/cm excursion at rr~25 [FLAGGED 2026-07-26: this 'nu' verdict is safe, but its REASON reads the object as one through-going cosmic while also naming a kink/tangle/prong; under the owner's multiple-tracks ruling the cosmic-like QUALITY may be wrong -- it could be over-merge (junk) or a real vertex]
through-going-recheck	batch2	352365	12	2	0.722	218.9	nu-candidate	nu	cosmic-like	high	perfectly straight 219 cm track, no kink and no vertex anywhere; one end at the cathode x=-2.6 (partner half is in the other TPC), the other exits the bottom wall y=-199.4; dQ/dx flat 50-60 ke/cm right down to rr=0 => through-going, nothing stopped [FLAGGED 2026-07-26: this 'nu' verdict is safe, but its REASON reads the object as one through-going cosmic while also naming a kink/tangle/prong; under the owner's multiple-tracks ruling the cosmic-like QUALITY may be wrong -- it could be over-merge (junk) or a real vertex]
through-going-recheck	batch2	392200	27	0	0.683	102.0	STM	nu	cosmic-like	high	tagger's STM is wrong: dQ/dx is flat 47-62 ke/cm on the MIP line right down to rr=0 with no Bragg (the 125-133 ke/cm points are 17-27 cm from the end, which is why only the peak-20/off-3 variant passed). The object is a perfectly straight 102 cm line, no kink, with the bottom wall y=-199.0 at one end and the cathode x=-0.7 at the other => through-going with its other half in TPC1. Also dz=13.8 cm over 102 cm (prolonged w.r.t. the collection wires) [FLAGGED 2026-07-26: this 'nu' verdict is safe, but its REASON reads the object as one through-going cosmic while also naming a kink/tangle/prong; under the owner's multiple-tracks ruling the cosmic-like QUALITY may be wrong -- it could be over-merge (junk) or a real vertex]
through-going-recheck	batch2	282459	10	1000009	1.111	106.8	nu-candidate	nu	cosmic-like	high	90-degree V at apex (152,185,89): one 90 cm arm exits the anode x=201, the 20 cm arm ends at y=193 where GREY charge continues to the top wall y=200 (ctx) => through-going, and dQ/dx is flat 50-60 ke/cm to rr=0 with no Bragg [FLAGGED 2026-07-26: this 'nu' verdict is safe, but its REASON reads the object as one through-going cosmic while also naming a kink/tangle/prong; under the owner's multiple-tracks ruling the cosmic-like QUALITY may be wrong -- it could be over-merge (junk) or a real vertex]
