# doc 61 sec 5b -- batch 2: events 11-393 of the d59k scan set (393-event
# FC-cut set), scanned 2026-07-26 by 10 Claude sub-agents from the same
# evidence images the owner sees on :5011.  UNVALIDATED.
# verdict is STM|nu ONLY (a non-stopping-muon stays a neutrino candidate);
# quality = clean|weak|cosmic-like|junk|unclear qualifies it (doc 61 sec 1).
# t_us/len_cm/auto_label/flash_gid are joined from nusel-evt<ID>.tsv, not typed.
event	main_id	flash_gid	t_us	len_cm	auto_label	verdict	quality	conf	reason
59663	12	1000010	0.771	33.9	nu-candidate	nu	junk	high	8 drawn points in a 1 cm blob at (163,-166,457) with table len=33.9 cm; also a tagger pathology - info.json says the STM tagger evaluated this cluster but exited after the round-1 fit through a path that records no pass, so no trajectory was persisted
59685	6	1000001	1.664	147.2	nu-candidate	nu	clean	high	right-angle (92 deg) V at (143,-144,195): one 103 cm prong sits at 1.5-1.8 MIP along its whole length and spikes to 302 ke/cm at its tip (93,-151,284) = proton-like, the other 101 cm prong is flat 50-60k MIP and reaches the anode x=201; the dQ/dx steps between the two arms exactly at rr=103 = the kink, so this is a 2-prong vertex, not a muon Bragg
59723	13	2	0.679	158.0	STM	STM	weak	med	near-vertical 158 cm track crossing the top wall y=199.9 at (-95,172); dQ/dx rises over the last 12 cm to 192 ke/cm on the muon curve at the trajectory end (-107,104,146), where the track also folds back ~20 cm with piled-up charge = end-of-range scattering/Michel. Caveats: worst accepted ks1=0.131, a hole of 35-55k at rr=13-25 across the fold, and dz=28 cm over 158 cm (prolonged-W)
59863	15	1000008	0.715	210.5	STM	STM	clean	high	crosses the upstream wall at z=-0.5 (outside the detector box) at (112,85) - a beam-direction rock muon - and stops contained at (75,112,190) with a Bragg train from 170 ke/cm following the muon curve (ks1=0.016); the 13 cm 1.02-MIP leftover at the stopping end is a Michel candidate; ctx shows nothing continuing past the stop
59929	20	1000001	1.932	149.2	nu-candidate	nu	cosmic-like	high	flat 40-60 ke/cm over the whole 149 cm with the last points at 38-45k (below the MIP line) - no Bragg at all; perfectly straight, crosses the anode x=201.3 at (121,365) and simply ends mid-detector at (78,177,330) -> truncated (the tagger's own res_L=36 cm says it found no peak near the end)
60017	7	1000005	1.404	67.3	nu-candidate	nu	clean	med	the interior end at (166,114,360) spikes to 240 ke/cm over just 2 cm (4.3 MIP, far above the 165 ke/cm muon maximum) and the remaining 46 cm is flat 50-70k -> proton-like tip, not a muon Bragg (the tagger agrees: rej proton end); nearly horizontal along +z, the other end crosses the anode x=201
61093	6	12	1.818	31.6	STM	STM	clean	med	crosses the upstream wall z=1.3 at (-62,99) and folds 97 deg at (-46,87,20); dQ/dx decays smoothly from 125 ke/cm at the fold all the way to 56k at the wall end, i.e. a Bragg profile with the stopping point AT the fold, and the 10 cm beyond the fold averages 1.17 MIP = Michel; ctx shows an isolated object with nothing continuing
61313	18	6	0.942	39.6	STM	nu	unclear	med	I disagree with the STM tag: the whole 40 cm sits 1.7-2.1x above the muon expectation (283 ke/cm at rr=0, 150k at rr=10, 120k at rr=35) and the excess GROWS with residual range (1.7 -> 1.9 -> 2.0 -> 2.1), which a uniform dx error cannot produce - a ~250 MeV proton can; the tagger's ks1=0.041 is shape-only and its own r1=0.54/r2=0.41 flag the factor 2. Odd either way - a bare heavily-ionizing 40 cm track hanging off the anode plane x=-201.4 with no second prong; an inflated dx is the alternative reading
61351	17	1	1.919	373.6	nu-candidate	nu	cosmic-like	med	374 cm track crossing the anode x=-201.3 at (35,474); at the far end only 2-3 points reach 165 ke/cm and the profile is already flat 45-60k by rr=5 - no Bragg train at all (ks1=0.087) - so the end at (-63,-123,190) is truncated rather than a stop
61417	9	1000001	1.506	150.0	nu-candidate	nu	clean	high	82 deg V at (77,-85,387): a 25 cm prong at 2.71 MIP average spiking to 295 ke/cm at its tip (76,-67,404) = proton-like, plus a 150 cm flat-MIP prong exiting the downstream wall z=500.3; the elevated dQ/dx stops exactly at the kink (rr=25)
61997	12	1000003	0.462	123.0	STM	STM	clean	high	crosses the upstream wall at z=-0.5 (outside the detector box) at (185,157) and stops contained at (76,35,62) after 176 cm, with a Bragg train from 170 ke/cm down the muon curve over 25 cm (ks1=0.042); perfectly straight, ctx shows nothing continuing past the stop
62019	9	13	0.906	119.9	STM	STM	clean	high	crosses the top wall y=199.9 at (-121,431) and stops contained at (-103,133,445); dense textbook Bragg train from 188 ke/cm hugging the muon curve out to 25 cm (ks1=0.017); ctx shows an isolated object
62303	12	1000006	0.999	97.6	STM	STM	clean	med	crosses the upstream wall at z=-0.5 (outside the detector box) at (93,-89); dQ/dx rises to 110-120 ke/cm at rr=10-15 where the track stops, and the last 12 cm is a dense low-charge splay (0.73 MIP, points down to 15-40k) = Michel candidate rather than track; ctx shows nothing continuing past it
62459	10	1000001	0.730	194.3	nu-candidate	nu	cosmic-like	med	the only face reached is the top wall (y=200.1) and the fit's exit_L=4.6 cm puts its rr=0 charge peak (~170 ke/cm, with the dense red spray at y=182-200) 4.6 cm from that same wall -- a muon cannot stop at the wall it entered, so that peak is entry-region charge, not a Bragg; the far end runs 200 cm at flat 50-56 ke/cm (1.02 MIP leftover) and terminates 8 cm short of the anode at (193,66,463) = truncated
62473	12	1	0.587	64.4	STM	nu	unclear	low	17 cm hook hugging the anode: x only -201 to -193 while dz=17 cm, so the anode contact is grazing, not a traverse; only 38 fit points with dQ/dx scattered 34-185 ke/cm whose maximum sits at rr=7 cm and points at rr<2 span 34-117 ke/cm -- no clean Bragg, so I disagree with the STM tag
62495	16	1000003	0.583	113.1	nu-candidate	nu	unclear	med	re-grabbed with verified focus (909 pts drawn in pr): sharp V, apex at (75,153,29) mid-track, one 30 cm arm crossing the top wall y=199.5 and one ending inside at (66,134,52); dQ/dx overshoots the muon expectation ~2x (300 ke/cm at rr=0 where the table gives 165) and stays ~1.8x high over 30 cm, and the fit rejects on 33 cm of 2.33 MIP leftover past kink@90 -- reads as a vertex/heavy-ionizing end rather than a muon Bragg, so nu; unclear because a late-scatter stopping muon is still live
62613	17	1000000	1.041	301.4	nu-candidate	STM	clean	med	301 cm track crossing the upstream wall at (183,-130,z=-0.2) and ending at (198,104,160), 3.4 cm from the anode but running nearly parallel to it (dx=15.6 cm total) so that end is a stop, not an exit; dQ/dx follows the green curve from 165 ke/cm at rr=0 out to 30 cm and is flat MIP beyond -- I read the single 242 ke/cm end point as a delta/Michel, not the "proton end" the tagger rejected on
62943	24	6	1.796	74.3	STM	STM	clean	high	crosses the anode at x=-200.9 and travels 70 cm across in x, stopping at (-130,-33,235) far from every wall; dQ/dx hugs the green curve from ~130 ke/cm at rr=0 down to the MIP line at 60 cm
62979	11	1000002	1.677	152.5	STM	STM	clean	high	crosses the anode at x=201.2 (past the 201.05 face) with 118 cm of travel across x, stops at (83,108,446) deep inside; dQ/dx rises on the green curve to ~170 ke/cm at rr=0, flat 50-56 ke/cm beyond 40 cm
63097	1	14	1.123	1.0	nu-candidate	nu	junk	high	a single 1 cm blob of 14 drawn points at (-4,100,86) beside the cathode plus two stray grey specks; no track, no dQ/dx (no steiner_pc), flash PE 155 -- nothing to judge, so it stays a nu candidate
63163	6	1000004	1.881	198.8	nu-candidate	nu	clean	med	horizontal beam-aligned track (dy=11 cm over 199 cm) exiting the downstream wall at z=500.3, so a -z-going cosmic entry there is implausible; the interior end at (93,113,330) carries only a ~3 cm high-charge stub (1.74 MIP, points at 165-180 ke/cm) = vertex/proton stub, not a muon Bragg -- agree with the tagger's "proton end" but for the beam-direction reason
63493	15	1000018	1.804	4.0	nu-candidate	nu	junk	high	one 3.5 cm blob of 28 drawn points at (17,-26,250) with 4 fragments in the bundle and a stray grey diagonal; no track, no dQ/dx (no steiner_pc), flash PE 252 -- unjudgeable, stays a nu candidate
63515	1	2	1.303	81.9	STM	STM	clean	high	82 cm near-horizontal track crossing the upstream wall at z=0.8 (X-Z touches the z=0.85 line at x=-183) and stopping at (-192,-145,82); dQ/dx rides the green curve from 165-185 ke/cm at rr=0 out to 60 cm (ks1=0.013) with a charge spray near the stopping end -- a beam-direction stopping muon, not a cosmic, but STM all the same
63559	11	1000004	1.326	199.1	nu-candidate	nu	cosmic-like	high	crosses the top wall at y=200.0 (past the FV line) at (163,200,224) and the far end at (185,128,84) just stops mid-detector; dQ/dx is flat 45-56 ke/cm to rr=0 with the last points at 15-30 ke/cm and no approach to the 165 ke/cm green curve, so that end is truncated -- the tagger's "proton end"/PASS eval is meaningless here
63603	13	1000007	1.306	117.1	nu-candidate	nu	unclear	low	drift-parallel bundle (dx=108 cm vs dy=22, dz=42) whose dQ/dx sits 2-3x above the muon curve over the whole last 50 cm and reaches 265 ke/cm at rr=0 -- not a muon Bragg; there is a cathode join gap at x=0, a top-wall touch at y=198.3 and a Y branch at (42,180,150), and dQ/dx is unreliable for drift-parallel tracks
63669	5	2	1.994	195.8	nu-candidate	nu	weak	med	near-horizontal beam-aligned track (dy=9 cm over 196 cm) reaching the downstream wall at z=498; dQ/dx is flat 45-60 ke/cm from rr=10 out to 180 cm with only a 2-point bump to 130 ke/cm at rr<1, so the interior end at (-86,122,334) is not a Bragg stop; single featureless track, no vertex prongs
63947	11	1000011	1.813	51.6	nu-candidate	nu	junk	high	only 10 drawn points in a 1 cm blob at (72,-23,218) while the main claims 51.6 cm/30 pts (0.6 pts/cm) with the rest sparse grey dots; no dQ/dx (no steiner_pc), flash PE 726 -- nothing physical to judge
64409	8	1000000	0.534	177.0	nu-candidate	nu	unclear	low	dQ/dx panel is pathological -- the fit dives to -80 ke/cm between rr=10 and 55 and the data scatter 30-135 ke/cm with no clean Bragg; topology is a 17 cm prong touching the top wall y=200 at (82,200,325) plus a 130 cm arm to (33,106,433) and a broad red merge-fragment band at y~135
64475	23	1	0.550	340.4	STM	STM	clean	high	crosses the anode at x=-201.4 and travels 78 cm across in x, stopping at (-123,-153,26) with extra charge (Michel candidate) at that end; dQ/dx rides the green curve from ~165 ke/cm (one 245 ke/cm point) at rr=0 down to the MIP line by 40 cm
64591	17	2	0.890	267.0	nu-candidate	nu	unclear	low	enters the upstream wall at (-64,-38,2), runs 180 cm beam-aligned to a sharp ~40 deg kink at (-100,-24,178), then a 45 cm arm to (-138,-36,203); dQ/dx flat 50-60 ke/cm to rr=0 (no Bragg, nothing stopped) and the panel has a pathological -65 ke/cm excursion near rr=40 -- 1 MIP on both sides of the kink reads like two merged tracks
64613	3	6	1.677	59.1	nu-candidate	nu	junk	high	only 10 drawn points in a 1 cm blob at (-78,1,41) against a claimed 59 cm/29 pts main (0.5 pts/cm); no dQ/dx (no steiner_pc) -- nothing physical to judge
64959	19	1000007	1.186	87.0	nu-candidate	nu	cosmic-like	high	enters at the upstream-wall/top-wall corner (16,197,z=-0.2) and the dQ/dx is flat 47-60 ke/cm right down to rr=0 with no approach to the green 165 ke/cm, so the interior end at (57,137,48) is truncated rather than a Bragg stop
65018	2	7	1.624	28.5	nu-candidate	nu	junk	high	13 drawn points in a 1 cm blob at (-62,28,92) with only grey specks ~12 cm away; claimed main 28.5 cm/19 pts, no dQ/dx (no steiner_pc) -- nothing physical to judge
65025	16	1000009	1.469	51.0	nu-candidate	nu	cosmic-like	med	crosses the bottom wall at y=-198.9 (39,-199,398) and runs 51 cm up to (49,-173,424); dQ/dx sits at or below the 56 ke/cm MIP line the whole way with the last points at 12-30 ke/cm, i.e. no Bragg -- the upper end is truncated
65053	6	4	0.643	143.2	nu-candidate	nu	unclear	low	dQ/dx is broken here: it dives to ~0-5 ke/cm at rr=10-13 and rr=27 and is only ~55 ke/cm (MIP) at rr<2, so no Bragg can be established; geometry is an anode entry at x=-201.4 (with the last 8 cm running flat along the anode at y=86) down to a dense hook at (-140,42,295)-(-147,32,280)
65053	9	1000004	0.735	46.0	nu-candidate	nu	cosmic-like	med	flat 45-62 ke/cm right to rr=0, no Bragg; one end crosses the upstream wall at z=1.3 and the other stops 1.3 cm from the cathode x=0 at (1.3,-136,45) -- an un-joined cathode crossing, so the track is truncated rather than stopped
65267	15	11	1.958	11.1	nu-candidate	nu	weak	low	an 11 cm dense stub from (-77,-192,436) to (-69,-198,440) whose low end is 1.6 cm from the bottom wall; only 15 fit points, dQ/dx is one 113 ke/cm point at rr=0 and then flat ~50 ke/cm, well below the green curve -- no Bragg and too short to say more
65295	13	1000005	0.992	70.4	nu-candidate	nu	cosmic-like	high	crosses the downstream wall at z=500.3 while running 4-7 cm from and parallel to the anode (dx=4.4 cm over 70 cm); dQ/dx is flat 47-65 ke/cm right to rr=0 with no rise toward the green 165 ke/cm, so the interior end at (196,-32,448) is truncated
65647	12	4	0.551	149.4	STM	STM	clean	med	drawn points stop 6 cm short of the anode (x lo=-194.8) but grey charge appears to continue toward the x=-201 line and the track travels 126 cm across x, so I read it as an anode entry; the far end curls to a stop at (-69,148,394) and the dQ/dx rides the green curve to ~170-185 ke/cm at rr=0 (ks1=0.027) -- the entry is the weak link, not the Bragg
66329	2	6	0.759	42.0	STM	STM	clean	high	crosses the anode at x=-201.4 with 25 cm of travel across x, stopping at (-176,147,72) well inside; dQ/dx follows the green curve from rr=30 in to 150 ke/cm at rr=1 with one 218 ke/cm last point (delta ray above the 165 ke/cm expectation)
66624	4	4	0.624	135.5	STM	STM	clean	high	crosses the top wall at y=199.7 and drops 129 cm to a stop at (-86,71,205) where a red charge spray (Michel candidate) sits; textbook Bragg riding the green curve to 155-205 ke/cm at rr=0 (ks1=0.019), flat MIP beyond 60 cm
66646	14	9	1.923	21.3	nu-candidate	nu	clean	med	21 cm object crossing the downstream wall at z=499 whose other end carries a ~4 cm spike to 270 ke/cm (3.5-5x MIP, far ABOVE the 165 ke/cm muon curve) with only MIP charge behind it -- proton-like stub at a vertex, not a muon Bragg
66712	11	1000006	1.999	85.7	nu-candidate	nu	unclear	low	the long prong crosses the downstream wall at z=500.3, but a straight transverse arm from (58,115,485) to (71,148,470) cuts through the track at (67,132,459) and looks like a merged crossing track rather than a vertex prong; dQ/dx shows no Bragg (55 ke/cm at rr=0 with dropouts to 15-25 ke/cm at rr=2-5)
66822	13	3	1.246	254.7	STM	STM	clean	high	255 cm track crossing the upstream wall at z=0.8 (x=-110) and curving to a stop at (-94,81,249) deep inside; dQ/dx rides the green curve to 170-192 ke/cm at rr=0 (ks1=0.013) and is flat 45-56 ke/cm beyond 20 cm
67152	19	1000009	1.172	32.1	nu-candidate	nu	junk	high	11 drawn points in a 1 cm blob at (37,-42,447) plus a sparse grey diagonal; the main claims 32 cm from 93 pts in 5 fragments (2.9 pts/cm) and there is no steiner_pc/dQ/dx -- not one physical object
67394	18	1000005	0.635	148.6	nu-candidate	nu	unclear	low	multi-piece object: a near-vertical prong touching the top wall at (59,200,405), a second vertical charge band at x=53-55 (y 165-197) and a ~100 cm arm out to (82,171,481); dQ/dx is only 50-75 ke/cm (MIP) at rr=0 and the fit oscillates between -45 and +40 ke/cm = pathological panel, so nothing can be shown to have stopped
67746	10	1000005	1.618	171.7	nu-candidate	nu	clean	high	vertex at (71,37,330) with a few-cm stub spiking to 318 ke/cm (about 6x MIP, far ABOVE the 165 ke/cm muon curve) = proton-like, plus a 170 cm MIP prong exiting the downstream wall at z=499 along +z (beam direction) -- the 51051-style nu topology, agree with the tagger's "proton end"
68054	18	6	1.436	74.1	STM	STM	clean	high	crosses the upstream wall at (6.5,-130,1.0), crosses the cathode at x=0 and stops at (-24,-111,68) with a small detached charge blob (Michel candidate) there; dQ/dx rides the green curve to 153-175 ke/cm at rr=0 (ks1=0.016), MIP by 30 cm; the x=0 break is the cathode join, not a kink
68648	15	5	1.371	116.5	nu-candidate	nu	clean	med	the interior end at (-63,-152,387) carries a 2.5 cm stub at 3.6 MIP spiking to 237 ke/cm (above the 165 ke/cm muon curve) = proton-like, and an 8 cm side prong sits at (-56,-168,414); the 116 cm MIP prong runs +z and leaves through the bottom wall y=-199 (last 5 cm grazing along it) -- vertex structure, not a muon Bragg
68956	13	1000002	2.010	468.1	STM	STM	clean	med	468 cm track crossing the bottom wall at (84,-199,41) and stopping at (165,43,374) -- the ctx frame shows no grey charge continuing past that end (the nearby greys are separate tracks with different slopes) -- with dQ/dx riding the green curve to 165-175 ke/cm at rr=0 (ks1=0.033); note it is UPWARD-going, so it must be a beam/dirt muon rather than a cosmic, which is why conf is med not high
68978	18	1000005	1.910	153.9	nu-candidate	nu	unclear	low	crosses the top wall at (67,200,169) but the other end, 5 cm from the cathode at (5,82,87), carries an 11 cm segment at 3.4 MIP spiking to 298 ke/cm -- about 2x the 165 ke/cm muon expectation, i.e. proton-scale, so "top-wall entry + muon stop" is not coherent; either a nu vertex with a proton stub and an exiting muon, or charge inflated by the near-cathode join
69066	3	1	1.766	130.6	STM	STM	clean	high	crosses the anode at x=-201.2 (past the FV line) with 66 cm of travel across x, stopping at (-135,164,400) well inside; dQ/dx rides the green curve to 160-205 ke/cm at rr=0 (ks1=0.015) and is flat 50-60 ke/cm beyond 20 cm
69308	10	1000007	0.545	1.1	nu-candidate	nu	junk	high	13 drawn points in a 1 cm blob at (167,140,420) and nothing else in frame; claimed main 1.1 cm/20 pts, flash PE 109 (low-energy unjudgeable), no dQ/dx (no steiner_pc)
70562	8	5	0.960	1.0	nu-candidate	nu	junk	high	8 drawn points in a single 1 cm dot at (-164,69,469), >100 cm from every wall; no track and no dQ/dx fit (no steiner_pc), nothing to call STM on
70562	10	1000000	1.724	8.3	LM	nu	junk	high	12 drawn points in one 0.6 cm dot at (183,-100,5) plus a detached grey fragment 6 cm away; not one physical object and no fit. NB auto_label LM leaked into a sample that was supposed to have LM removed
71046	19	4	0.784	191.4	nu-candidate	nu	clean	med	vertex at (-85,124,346) with a ~2.5 cm stub at 4.2 MIP - dQ/dx spikes to 250-300 ke/cm, well ABOVE the muon curve = proton-like - plus a 190 cm flat-MIP prong running +z that exits the downstream wall at z=498
71266	15	1000007	0.687	94.6	nu-candidate	nu	cosmic-like	med	dQ/dx sits flat on the 56 ke/cm MIP line all the way to rr=0 (only one 218 ke/cm outlier), no Bragg; straight featureless 95 cm track exits the downstream wall z=500 and the other end simply stops at (94,152,440)
71486	6	2	1.807	232.0	STM	STM	clean	med	crosses the anode plane at (-201,96,108) and runs 232 cm to (-24,130,221) where it curls up over the last 10 cm; dQ/dx climbs along the muon curve to ~140 ke/cm with the peak displaced ~12 cm from the fitted end (res_L=12.1)
71530	15	5	0.818	66.9	STM	STM	clean	med	crosses the anode plane x=-201 at (-201,52,280) with dx=31 cm across it (an entry, not grazing) and stops at (-170,49,297); dQ/dx tracks the muon curve up to ~113 ke/cm at rr<4. Only 327 of 604 pts drawn
72256	9	6	1.031	75.4	nu-candidate	nu	clean	high	vertex at (-16,53,443): an ~11 cm stub whose dQ/dx runs 130-307 ke/cm, 2-4x ABOVE the muon curve = proton-like, plus a 67 cm MIP prong heading +z and down that exits the downstream wall z=500
