# doc 61 sec 5c -- the STM tagger mistakes the hand scan claims, served on :5012.
# direction: misidentified = tagger tagged STM, scan says not a stopping muon;
#            missed        = tagger left it untagged, scan says it IS a stopping muon.
# UNVALIDATED -- this file is the list to check, not a result.
direction	batch	event	main_id	flash_gid	t_us	len_cm	tagger	verdict	quality	conf	reason
misidentified	batch2	172596	15	8	1.359	59.2	STM	nu	unclear	low	dQ/dx is flat MIP 47-60 ke/cm over the last 12 cm down to rr=0, which by the flat-to-rr=0 rule means nothing stopped at the fitted end, and the only peak sits 14 cm inward reaching just 130 ke/cm against the 165 benchmark - so I disagree with the STM accept (its weakest, ks1=0.106 res_L=13.8). Alternative reading the owner should check: the trajectory changes direction at exactly that peak (-29,178,14) and the 12 cm beyond it could be a MIP Michel, which would make it a real STM off the upstream wall z=1.9
misidentified	batch2	174488	3	6	1.450	16.4	STM	nu	unclear	med	16 cm stub whose dQ/dx sits at 150-250 ke/cm over its WHOLE length (2.5-4x MIP, far above the muon curve) and rises only 1.7x from rr=15 to rr=1 (a muon rises 2.5x) = flat-and-high proton-like profile, not a muon Bragg; touches the upstream wall z=0.8; disagree with the STM tag
misidentified	batch2	175428	17	9	0.623	121.2	STM	nu	cosmic-like	low	HARD: 42 cm near-vertical track entering the top wall y=200 at z=456, interior end (-38,180,492); dQ/dx only creeps 55->80 ke/cm and the last 3 cm FALL to 43-48 (below MIP) with no 165 ke/cm peak, and the STM tag needed the off=3 fit variant to pass, so I read the end as truncated; also the skeleton claims 121 cm while only ~42 cm is drawn
misidentified	batch2	277958	13	1000008	0.964	34.2	STM	nu	unclear	med	inverted profile: dQ/dx peaks at 110-143 ke/cm at rr=8-11 and COLLAPSES to 30-57 ke/cm over the last 6 cm, so nothing stopped at rr=0; 30 cm S-curved track crossing the upstream wall z=0.8 at (33,-89); the STM tag came from the short-track peak-5 fit variant
misidentified	batch2	278662	1	3	0.678	269.0	STM	nu	cosmic-like	med	disagree with the STM tag: dQ/dx is flat 45-60 ke/cm from rr=2 out to rr=250 and only 1-2 points at rr<2 rise (148k), i.e. an endpoint blob not a Bragg profile, and it only passed on the com=15 eval variant; the track exits the bottom wall y=-199.7 at z=307 and its other end just stops at (-172,-83,100)
misidentified	batch2	280092	6	1000006	1.551	49.2	STM	nu	clean	med	49 cm V with apex at (130,-189,40): dQ/dx is elevated to 80-151 ke/cm AT the apex while both ~25 cm arms sit at 40-70 ke/cm (flat MIP, no Bragg at either tip), so this reads as vertex activity, not a stopping end (alternative: the apex charge is the two arms double-counted where the fit passes through the kink); one arm reaches the bottom wall y=-199. Disagree with the STM tag, which fitted one 26 cm arm and dumped the other as a 21.7 cm 1.02-MIP leftover
misidentified	batch2	282715	14	1000004	0.834	501.2	STM	nu	cosmic-like	high	500 cm straight track from (140,187,85) -- grey charge continues from there to the top wall -- to the downstream wall z=497.6 at (8,-68); dQ/dx dead flat 45-60 ke/cm to rr=0 with NO Bragg, so the tagger's STM accept is wrong (same failure mode as evt48895): through-going cosmic
misidentified	batch2	283463	14	8	0.812	86.2	STM	nu	junk	med	two 5-10 cm clumps hugging the upstream wall z=1-14 at (-68,50) and (-63,42) joined by an L-shaped 40-point fit; dQ/dx is 30-55 ke/cm (BELOW the MIP line) at rr=0 with no Bragg, so the tagger's STM accept (ks1=0.188, r1=2.39) is fitting a fragment
misidentified	batch2	285366	13	1000001	1.102	95.1	STM	nu	cosmic-like	med	disagree with the STM tag: the dQ/dx does NOT rise in shape toward rr=0 - it is flat at 80-100 ke/cm (1.5-1.8x MIP) from rr=65 all the way in, and the last two real points (75-78 ke/cm at rr=1-2) are LOWER than the body, with only a single 520 ke/cm (9 MIP) outlier at rr=0.5 and a fitted peak below expectation (r1=0.73); so although the track crosses the anode at x=201.4 and its far end at (146,-77,486) is contained with a small clump, nothing is shown to stop there - truncated/broken end
misidentified	batch2	285443	7	3	1.105	178.9	STM	nu	unclear	med	disagree with the STM tag: dQ/dx is pathological (negative values over rr=15-40, 130-315 ke/cm spikes at rr=45-57) and the last 10 cm sit at 40-50 ke/cm, i.e. below MIP with no Bragg; track reaches the downstream wall z=500.8 but the cluster also holds a disconnected red blob at y=60-90,z=415-430
misidentified	batch2	285795	11	1000010	0.852	66.1	STM	nu	unclear	med	disagree with the STM tag: at the claimed stopping end dQ/dx COLLAPSES to 5-25 ke/cm over the last 4 cm instead of rising, with a 100-165 ke/cm spike 25 cm back; the z=-0.5 end does cross the upstream wall but the far end at (137,-100,50) shows no Bragg, so nothing is demonstrated to stop
misidentified	batch2	289832	10	1000003	0.629	214.2	STM	nu	cosmic-like	med	flat 40-58 ke/cm over the whole last 28 cm to rr=0 with a charge dip to 20 ke/cm exactly at the cathode x=0, so no Bragg; 214 cm featureless straight cathode crosser entering the downstream wall z=500 and ending mid-detector at x=-13; the STM tag is not supported by the panel
misidentified	batch2	290294	12	1000008	1.752	28.2	STM	nu	weak	med	last 2 cm spike to 250-298 ke/cm, well ABOVE the 168 ke/cm muon expectation = proton-like, not a muon Bragg, and a short branch sits at that same end; only 38 fit points over 28 cm; disagree with the STM tag
misidentified	batch2	291301	18	9	1.393	34.6	STM	nu	weak	low	THRESHOLD CALL, owner should re-check: 13 cm stub with a textbook stopping profile (214 ke/cm at rr=0 hugging the muon curve down to 55 ke/cm at rr=13) at its upper end (14 cm inside), and a lower tip at y=-196.4 = 2.9 cm from the bottom DET face, i.e. right at the edge of the ~3 cm crossing tolerance and 0.4 cm below the FV line; I call it not-entered because the drawn charge visibly stops on the FV line with clear separation from the wall, unlike evt290729/291768 whose points reach y=-198.8 - if that 2.9 cm counts as a crossing this becomes STM
misidentified	batch2	291345	12	1000004	1.338	140.0	STM	nu	unclear	med	dQ/dx sits entirely ABOVE the muon curve along all 25 cm (110 ke/cm at rr=24 = 2 MIP, rising to 290 ke/cm at rr=0), which is proton-like and cannot be a particle entering from outside through the upstream wall z=1.1 that it touches; dx is likely mis-measured (near-horizontal, dy=4.5 over 25 cm) and the cluster length is quoted 140 cm vs 25 cm drawn; disagree with the STM tag
misidentified	batch2	315409	16	1000006	1.759	276.5	STM	nu	cosmic-like	med	276 cm track entering the upstream wall z=-0.2, but at rr=0-5 the dQ/dx is 55-70 ke/cm (MIP) with a single 183 ke/cm outlier and the last 40 cm scatters 12-135 ke/cm - no monotone Bragg, so the interior end at (186,40,263) is not a demonstrated stop; the track is also near-horizontal (y confined to 24-45 cm over 276 cm) and smoothly arcs, a badly-measured geometry; disagree with the STM tag
misidentified	batch2	315849	10	0	0.920	91.3	STM	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 15-85 ke/cm with the last cm at 40-67 ke/cm, no Bragg (the ks1=0.008 backward pass is a fluke on a flat profile); geometrically BOTH ends sit on the upstream wall z=0.8-1 with z never exceeding 7.5 cm over a 91 cm path - the track runs in the plane of the wall, so it never entered through it (evt50787 grazing rule)
misidentified	batch2	321107	13	3	0.755	226.9	STM	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 45-60 ke/cm right down to rr=0 (35-63 ke/cm at the end) with no Bragg, and the far tail drops to 20-30 ke/cm; 227 cm track from the top wall (-125,199.8,255) to (-132,157,32) truncated mid-detector; nearly isochronous (dx=8.4 cm over 227 cm) with an enormous ghost fan in Y-Z
misidentified	batch2	321371	18	1000002	0.950	308.7	STM	nu	cosmic-like	high	the STM tag is wrong: dQ/dx is flat 40-70 ke/cm right down to rr=0 where it drops to 13-20 ke/cm (charge deficit, not a Bragg); a perfectly straight 309 cm track from the top wall (91.5,199.7,158) to (61.5,-98.5,124.6) with zero end-of-range scattering, i.e. a high-momentum through-going muon whose lower half is missing 100 cm above the bottom wall
misidentified	batch2	349241	15	11	2.003	137.1	STM	nu	unclear	med	tagger says STM, I disagree on the entry: the whole object lives in a 6 cm slab z=2.5-8.8 running parallel to the upstream wall (dz=6.3 cm over a nominal 137 cm), the evt50787 grazing pattern, and it never travels across the wall. Bragg itself is real (200 ke/cm at rr=0 on the green curve). Also a length pathology - drawn extent is only ~53 cm and the constant-z plane is prolonged-W
misidentified	batch2	353223	15	5	1.072	67.6	STM	nu	clean	high	tagger's STM is wrong here: dQ/dx is FLAT at 40-50 ke/cm (BELOW the 56 MIP line) from rr=0 out to rr=13, no Bragg at all. Topology is a V with apex at (-12,-152,481) whose 29 cm and 40 cm arms both run out through the downstream wall z=500; the 100 ke/cm humps at rr=30-50 are the cathode x=0 join
misidentified	batch2	389544	13	4	1.941	46.7	STM	nu	clean	med	24 cm stub from (-58,-197,277) to (-61,-187,299); the dQ/dx starts at the MIP line (60 ke/cm at rr=28) and rises MUCH faster than the muon curve - 120 at rr=15 where the muon expects 62, 257 ke/cm at rr=0 vs the 165 muon maximum - i.e. proton-like, not a muon stop. Disagree with the tagger's STM (its ks1=0.026 tests shape only). Entry leg is weak too: the only boundary contact is y=-197.1, 2.2 cm above the bottom face, reached at a shallow 25 deg slope
misidentified	batch2	390028	5	6	1.986	23.1	STM	nu	unclear	low	only 23 cm total: a V with apex at (-188,-135,96), a 2.8 cm arm at 1.41 MIP and a fan of short streaks radiating from the apex, with the far end on the anode plane x=-201.3. The dQ/dx does NOT Bragg at the tip - the two rr<1 points are 39 and 45 ke/cm, below the MIP line, and the 128 ke/cm maximum sits at rr=3. Disagree with the tagger's STM; too short and too structured, most likely an anode-truncated fragment
misidentified	batch2	392184	18	9	0.997	59.6	STM	nu	clean	med	tagger's STM is wrong on the dQ/dx: at rr=0 (the tip of a 13 cm arm at (-167,68,453)) the charge is 83-101 ke/cm and then DROPS to 37-55 over rr=2-11 - no Bragg - while the 160 ke/cm maximum sits 13-18 cm away at the ~90 deg bend (-180,64,456); the tagger only made it fit by using peak-offset 27. The anode contact x=-201.4 is real but nothing stopped at the end
misidentified	batch2	392200	27	0	0.683	102.0	STM	nu	cosmic-like	high	tagger's STM is wrong: dQ/dx is flat 47-62 ke/cm on the MIP line right down to rr=0 with no Bragg (the 125-133 ke/cm points are 17-27 cm from the end, which is why only the peak-20/off-3 variant passed). The object is a perfectly straight 102 cm line, no kink, with the bottom wall y=-199.0 at one end and the cathode x=-0.7 at the other => through-going with its other half in TPC1. Also dz=13.8 cm over 102 cm (prolonged w.r.t. the collection wires)
misidentified	batch2	392558	2	4	1.197	7.6	STM	nu	weak	low	8 cm object touching the upstream wall z=1.3 at (-140,-165) with dQ/dx from 149 ke/cm at rr=0 down to only 77 ke/cm (1.4 MIP) at its far end: there is NO minimum-ionizing segment anywhere on it, so nothing shows a long track came in and slowed, and a heavily-ionizing stub at the wall fits equally well; disagree with the tagger's STM (14 fit points)
misidentified	batch2	393542	22	1000006	1.839	48.5	STM	nu	cosmic-like	med	tagger's STM is wrong: enters the top wall y=199.9 at (67,56) but the last 5 cm sit at 30-70 ke/cm, at/below the 56 MIP line, with the only bump at rr=7-9, so nothing stopped; 20 cm clipper hugging the top wall
misidentified	batch2	394906	16	1000006	0.810	91.9	STM	nu	cosmic-like	med	tagger's STM (ks1=0.032) rests on nothing: dQ/dx sits at 50-65 ke/cm on the MIP line down to rr=0 with no Bragg; enters the upstream wall z=-0.5 at (154,25) and the 16 cm J-hook at the far end is 1.12 MIP, i.e. cut off not stopped
misidentified	batch2	401824	4	10	2.041	15.3	STM	nu	clean	med	tagger's STM is wrong: this 16 cm stub sits 1.5-2x ABOVE the muon curve along its whole length and spikes to 285-325 ke/cm (5-6 MIP) at the stopping tip (-71,177,12), the proton signature of the evt51051 reference, not a muon Bragg; the other end lies on the upstream wall z=1.3
misidentified	batch2	402330	1	5	1.472	56.3	STM	nu	clean	med	disagree with the tagger's STM (its worst accepted fit, ks1=0.173): the last 8 cm run 140-290 ke/cm, far ABOVE the muon curve, and the end (-67,-169,79) carries a 6 cm charge fan = proton/hadronic vertex activity, not a muon Bragg; the 37 cm prong reaches the bottom wall y=-199 at (-80,82)
misidentified	batch2	403958	3	0	1.793	67.4	STM	nu	unclear	low	hard call: 60 cm from the anode x=-201.2 at (22,156) to (-144,19,139), but the dQ/dx only reaches 97 ke/cm (1.7 MIP) at rr=0 instead of the ~165 a muon stop needs, and the last 15 cm run at constant z=139 (prolonged-W geometry, the documented truncation signature), so the "stop" is not established; the tagger needed off=3 to pass
misidentified	batch2	409458	8	4	1.814	6.7	STM	nu	weak	low	only 6.7 cm long / 9 fit points, a 5 cm blob sitting on the upstream wall (z=1.3); dQ/dx falls 173->45 ke/cm over 5 cm but the wall end is at or below MIP, impossible for a muon with 6 cm of range left, so this is a wall-truncated fragment not an identifiable stopping muon - I disagree with the STM tag
misidentified	batch2	409546	8	1	0.936	82.0	STM	nu	unclear	med	21 cm stub from the anode x=-201.4 to a dense blob at (-188,36,486); dQ/dx is NOT a muon Bragg - a 2-point spike of 230k and 450k e/cm (4-8 MIP, far above the 168 green curve) with the profile RISING with residual range (37-57 at rr 1-4, 100-130 at rr 5-20), so the trajectory/direction is unreliable; 8 fragments over the claimed 82 cm. I disagree with the STM tag
misidentified	batch2	411790	13	1000007	1.266	47.6	STM	nu	unclear	med	crosses the top wall at (136,199.9,65) but the dQ/dx is INVERTED - 75-141 ke/cm at rr 5-23 and only 34-42 ke/cm (below MIP) at rr 1.5-4.5, so the claimed stopping end carries the least charge and there is no Bragg; U-shaped 30 cm arc plus a 9 cm vertical spray at (126,190-200,74-78) reads shower/fragment-like. I disagree with the STM tag
missed	batch2	57661	18	1000005	1.818	124.0	nu-candidate	STM	clean	med	dense Bragg train following the muon curve from 180 ke/cm at rr=0 over 30 cm, stopping end contained at (162,100,154); the other end crosses the top wall y=197.6; the tagger's "long leftover" rejection comes from a spurious 6 cm kink 2 cm below the wall - the 125 cm "leftover" IS the muon. ctx shows no charge continuing past the stopping end. Caveat: dz=19 cm over 124 cm (prolonged-W geometry)
missed	batch2	59085	3	6	1.778	35.8	nu-candidate	STM	clean	med	textbook Bragg: smooth 8-point train from 196 ke/cm at rr=0 down the muon curve, stopping contained at (-10,185,49); the other end crosses the top wall y=199.9 at z=72. The tagger's nu-candidate label is an artifact - it kinked out 3.3 cm below the wall and called the muon a 25.9 cm leftover with a degenerate ks=0.000 (only 5 peak points). ctx shows an isolated object with no charge past the stop; extra blob at (z=54,y=192) = delta/Michel
missed	batch2	62613	17	1000000	1.041	301.4	nu-candidate	STM	clean	med	301 cm track crossing the upstream wall at (183,-130,z=-0.2) and ending at (198,104,160), 3.4 cm from the anode but running nearly parallel to it (dx=15.6 cm total) so that end is a stop, not an exit; dQ/dx follows the green curve from 165 ke/cm at rr=0 out to 30 cm and is flat MIP beyond -- I read the single 242 ke/cm end point as a delta/Michel, not the "proton end" the tagger rejected on
missed	batch2	169598	18	1000004	1.514	85.8	nu-candidate	STM	unclear	low	textbook Bragg to 190 ke/cm riding the green curve at the interior end (86,160,190), so something stopped there. The entry is the problem: the only boundary contact is the top wall y=200 at (158,199.5,186) where the bundle runs ~10 cm ALONG the wall, and the ctx view shows an un-merged grey cosmic passing right through (155-161,186-196) - so that entry piece may not belong to this particle. STM if the entry is real, nu if it is a mis-merge; I lean STM but the owner should decide
missed	batch2	282217	9	1000000	2.024	405.6	nu-candidate	STM	clean	med	405 cm track entering the anode x=201 at (78,391) and stopping at (5,51,40) near the cathode; dQ/dx follows the muon curve up over the last 30 cm to 170-285 ke/cm at rr=0; I disagree with the tagger's reject ("long leftover 30.5 cm at 2.35 MIP") -- that leftover IS the bent Bragg end; ctx confirms the fitted path itself reaches x=200 and no grey continues past the stopping end
missed	batch2	283229	6	1000001	1.854	212.1	nu-candidate	STM	clean	med	172 cm track entering the anode x=201 at (67,207) and stopping at (86,-20,118) well inside; dQ/dx climbs along the muon curve to 165-185 ke/cm at rr<2 and a short low-charge spray hangs off the stopping end (Michel candidate); I disagree with the tagger's dQ/dx-eval reject (ks1=0.067 is only marginal); ctx: the fitted path itself reaches the anode, nothing grey continues past the stop
missed	batch2	284103	8	1000000	0.747	161.8	nu-candidate	STM	clean	med	165 cm track entering the anode x=201.4 at (-105,338) and stopping at (161,33,268) with 100-165 ke/cm at rr<3 on the muon curve; a thin 12 cm arm hangs off the stopping end (the tagger's "extra tracks") and reads as a Michel rather than a proton stub -- the Michel/proton call is the one soft spot; ctx: the black path itself reaches the anode and no grey continues past the stop
missed	batch2	284145	11	1000000	1.626	270.8	nu-candidate	STM	clean	med	240 cm track entering the anode x=201 at (27,278) and stopping at (55,-22,440) inside, with a textbook Bragg to 170-185 ke/cm (ks1=0.017); the tagger's "extra tracks" reject comes from two pieces merged in AT the anode plane (a 55 cm arm and a 20 cm stub), both far from the stopping end; ctx: the fitted path (not just the fragments) reaches x=200, and no grey continues past (55,-22,440)
missed	batch2	285929	13	2	0.855	282.8	nu-candidate	STM	unclear	low	283 cm cathode crosser entering the anode at x=-201.4 and ending at (11,51,225) with a steep rise to 200-300 ke/cm confined to the last 3 cm (above the muon curve, r1=1.2-1.6, so read as a Bragg overshoot rather than a 5-12 cm proton stub); but the fit has negative dQ/dx over rr=15-25 and the last 10 cm are the joined TPC1 piece past the cathode, so the Bragg may be a cathode-join artifact - tagger called it nu on the dQ/dx eval
missed	batch2	286906	9	2	1.539	141.6	nu-candidate	STM	weak	med	141 cm single track entering the anode plane at x=-201.2 (y=152,z=383) and ending at (-103,192,295) with a steep rise to 240-280 ke/cm in the last 1-2 cm; the overshoot above the 165 ke/cm muon curve (and a 2.6 cm 3.4 MIP leftover) is why the tagger failed the eval, but geometry + rise still read as a stopping muon
missed	batch2	288859	9	1000000	1.823	328.1	nu-candidate	STM	weak	med	328 cm track crossing the downstream wall at z=500.3 (x=188,y=144) and ending at (168,35,200) where dQ/dx lands on the green muon curve (170 ke/cm at rr=0.5, 127 at 1.5); weak because the last 30 cm scatter 90-170 ke/cm above the curve, the fit leaves res_L=27 cm and calls it a proton end, and a ~10 cm branch sits ~30 cm from that end
missed	batch2	290201	9	5	0.600	114.8	nu-candidate	STM	clean	high	enters the top wall y=199.8 travelling across it (dy=98 over 115 cm), single track, textbook Bragg rising along the muon curve to 175-193 ke/cm at rr=0 with a dense blob at the stopping end (-140,104,440) = Michel candidate; tagger called nu-candidate (rej: dQ/dx eval), I disagree
missed	batch2	290729	12	4	1.552	114.6	nu-candidate	STM	unclear	med	crosses the bottom wall y=-198.8 steeply (dy=98 over 115 cm), Bragg to 199 ke/cm at rr=0 following the muon curve (105-130 ke/cm at rr=5, far below the ~300 ke/cm a proton would give) so the interior end at (-129,-105,105) really stopped; the tagger's kink@11 / 124 cm leftover is a ~7 cm end-of-range hard scatter, so I disagree with its nu-candidate label; caveat: this implies an upward-going muon
missed	batch2	319809	20	1000009	1.540	73.6	nu-candidate	STM	clean	high	enters the top wall y=199.6 at (41.5,200,380) travelling across it (dy=70 over 74 cm), textbook monotone Bragg following the muon curve from 56 ke/cm at rr=20 up to 168-185 ke/cm at rr=1, with a charge spray at the stopping end (57,137,403) = Michel candidate; the last two bins at 216-235 ke/cm are what made the tagger say "proton end", but the 20 cm body is exactly muon-shaped
missed	batch2	387850	17	1000008	1.265	128.9	nu-candidate	STM	unclear	med	I disagree with the nu-candidate label: the dominant 128 cm track enters the top wall at (196,y=200.1,82) and stops at (152,151,183) with a clean Bragg to 190 ke/cm at rr=0 (the tagger's own eval PASSED; it rejected only on "extra tracks"). But the bundle also contains a second, near-parallel piece lying in the constant-drift plane x=153 (y 152-198, z 100-175) - an isochronous over-merge/ghost signature - so the cluster is not one object and the owner should look
missed	batch2	397920	8	1000002	1.975	272.3	nu-candidate	STM	clean	med	disagree with the tagger's dQ/dx rejection: 270 cm collinear track entering the downstream wall z=500 at (185,-2.5) and ending at (36,10,270) far from every face, with a Bragg rise to 185 ke/cm at rr<2 (last 6.5 cm at 2.4 MIP) that is only ~10% above the muon curve, not the 250-300 ke/cm of a proton stub, and no stub at an angle
missed	batch2	405432	15	1000003	1.570	111.0	nu-candidate	STM	clean	med	enters the anode x=201.2 at (201,83,118), 88 cm MIP track, textbook Bragg to 165 ke/cm at rr=0 (ks1=0.058) at (163,112,46) with a broad diffuse ~19 cm spray there = Michel candidate; the tagger's "extra tracks" rejection is that Michel, so I disagree with the nu-candidate label
missed	batch2	409942	17	1000006	1.961	54.3	nu-candidate	STM	clean	med	enters the upstream wall at (105,3,-0.5), 41 cm, textbook Bragg to 220 ke/cm at rr=0.5 hugging the muon curve (ks1=0.037) at the contained end (81,-14,27); the tagger's "extra tracks" are two further prongs (15 cm and 7 cm) at the WALL end, i.e. at the entry not at the stop, so they do not spoil the STM reading
