arm	evt	cid	run	subrun	stm	tgm	fc	label	length	ex	ey	ez	sx	sy	sz	chord	cos_y	rejected
work-mcp1k-d94probe	284145	11	18255	1	0	0	0	nu-candidate	270.8	201.1	27.2	275.2	56.7	-22.0	439.6	224.4	-0.22	0
work-mcp1k-d94probe	284367	4	18255	1	1	0	0	STM	43.1	-78.4	48.1	0.8	-78.4	72.2	35.0	41.8	0.575	0
work-mcp1k-d94probe	285080	19	18255	1	1	0	0	STM	321.6	-201.4	128.0	352.0	21.6	-102.2	347.1	320.5	-0.718	0
work-mcp1k-d94probe	285185	21	18255	1	1	0	0	STM	141.9	201.2	-1.5	22.2	138.8	40.2	131.0	132.2	0.316	0
work-mcp1k-d94probe	285421	16	?	?	?	?	?	?	0.0	-32.1	-147.0	1.6	-38.2	-142.6	10.8	11.9	0.368	0
work-mcp1k-d94probe	285467	27	?	?	?	?	?	?	0.0	18.5	1.2	3.0	22.6	-1.8	40.1	37.4	-0.081	0
work-mcp1k-d94probe	285795	11	18255	1	1	0	0	STM	66.1	164.9	-93.4	0.1	157.3	-105.3	50.7	52.5	-0.226	0
work-mcp1k-d94probe	285999	22	18255	1	1	0	0	STM	38.5	-200.2	92.1	302.4	-179.7	79.8	312.3	25.9	-0.476	0
work-mcp1k-d94probe	286065	3	18255	1	1	0	0	STM	237.8	-165.7	199.5	350.5	-133.1	-10.3	455.3	236.8	-0.886	0
work-mcp1k-d94probe	286329	14	18255	1	1	0	0	STM	113.0	90.3	199.6	371.5	107.0	164.6	392.0	43.9	-0.798	0
work-mcp1k-d94probe	286631	7	18255	1	1	0	0	STM	243.0	201.2	48.8	36.1	112.1	112.7	210.2	205.8	0.311	0
work-mcp1k-d94probe	287007	12	18255	1	1	0	0	STM	127.5	201.1	133.0	388.6	125.1	69.0	392.8	99.5	-0.643	0
work-mcp1k-d94probe	287181	14	18255	1	1	0	0	STM	61.0	164.1	51.8	0.2	131.7	64.2	48.5	59.5	0.208	0
work-mcp1k-d94probe	288358	7	18255	1	1	0	0	STM	355.3	93.9	-101.3	0.2	147.0	-37.1	270.3	282.7	0.227	0
work-mcp1k-d94probe	288397	13	18255	1	1	0	0	STM	80.2	35.5	199.5	369.1	41.3	190.7	372.9	11.2	-0.784	0
work-mcp1k-d94probe	288639	12	?	?	?	?	?	?	0.0	-155.8	35.0	0.9	-151.6	6.9	74.5	78.9	-0.356	0
work-mcp1k-d94probe	288859	9	18255	1	0	0	0	nu-candidate	328.1	187.9	142.3	500.1	168.8	37.1	200.8	317.8	-0.331	0
work-mcp1k-d94probe	288864	2	18255	1	1	0	0	STM	29.3	-185.1	199.7	164.4	-182.5	194.4	172.8	10.3	-0.521	0
work-mcp1k-d94probe	289295	15	18255	1	1	0	0	STM	75.2	-28.6	199.4	372.2	-44.8	172.2	378.0	32.2	-0.845	0
work-mcp1k-d94probe	289343	9	18255	1	1	0	0	STM	53.7	-29.2	199.4	265.0	-6.3	179.5	304.7	50.0	-0.398	0
work-mcp1k-d94probe	289647	9	18255	1	1	0	0	STM	118.5	195.5	199.5	253.2	176.5	157.9	361.3	117.3	-0.355	0
work-mcp1k-d94probe	290201	9	18255	1	1	0	0	STM	114.8	-80.9	199.7	442.7	-139.8	107.2	440.3	109.7	-0.843	0
work-mcp1k-d94probe	290316	10	18255	1	1	0	0	STM	239.1	-201.4	-52.2	39.7	-48.7	-39.7	223.0	238.8	0.052	0
work-mcp1k-d94probe	290844	3	18255	1	1	0	0	STM	206.6	-66.4	-148.1	1.7	43.8	-92.2	165.5	205.2	0.272	0
work-mcp1k-d94probe	291345	12	18255	1	1	0	0	STM	140.0	62.1	92.6	1.3	81.8	96.3	14.8	24.2	0.151	0
work-mcp1k-d94probe	291768	18	18255	1	1	0	0	STM	14.8	58.1	-198.4	460.9	57.6	-184.8	463.1	13.8	0.986	0
work-mcp1k-d94probe	292450	8	18255	1	1	0	0	STM	159.6	-137.9	39.9	0.9	-155.5	70.5	155.5	158.6	0.193	0
work-mcp1k-d94probe	292797	27	18255	1	1	0	0	STM	304.0	85.4	12.2	0.5	-25.9	170.6	185.8	268.0	0.591	0
work-mcp1k-d94probe	314507	23	?	?	?	?	?	?	0.0	105.3	10.6	0.0	53.9	-15.0	41.4	70.8	-0.361	0
work-mcp1k-d94probe	315409	16	18255	1	1	0	0	STM	276.5	121.2	42.4	0.5	184.8	39.6	263.1	270.3	-0.01	0
work-mcp1k-d94probe	315849	17	?	?	?	?	?	?	0.0	-188.9	166.3	0.9	-196.1	165.8	18.9	19.4	-0.024	0
work-mcp1k-d94probe	317543	15	18255	1	1	0	0	STM	149.6	-201.4	-70.8	467.6	-174.3	-29.4	375.6	104.4	0.396	0
work-mcp1k-d94probe	318335	6	18255	1	1	0	0	STM	18.8	-164.0	-13.6	1.0	-169.4	-17.3	10.1	11.2	-0.329	0
work-mcp1k-d94probe	319809	20	18255	1	1	0	0	STM	73.6	42.1	199.1	380.6	56.7	132.8	402.8	71.4	-0.928	0
work-mcp1k-d94probe	321525	5	18255	1	1	0	0	STM	116.7	-201.4	2.1	295.4	-189.6	54.2	360.1	83.9	0.62	0
work-mcp1k-d94probe	321767	15	18255	1	0	0	0	nu-candidate	295.6	152.9	199.8	382.1	-16.5	94.4	207.7	265.0	-0.398	0
work-mcp1k-d94probe	346293	5	18255	1	1	0	0	STM	185.3	-150.1	22.3	500.8	-169.3	-86.5	353.1	184.4	-0.59	0
work-mcp1k-d94probe	349241	15	18255	1	0	0	0	nu-candidate	137.1	-112.9	-131.0	2.7	-112.5	-98.5	8.2	32.9	0.986	0
work-mcp1k-d94probe	350099	15	18255	1	1	0	0	STM	139.9	86.6	-193.7	500.1	25.6	-152.1	385.0	136.7	0.304	0
work-mcp1k-d94probe	350781	8	18255	1	1	0	0	STM	165.8	69.9	54.1	0.4	183.5	111.0	101.8	162.6	0.35	0
work-mcp1k-d94probe	351617	20	?	?	?	?	?	?	0.0	-175.3	199.4	248.1	-168.3	176.6	239.6	25.3	-0.901	0
work-mcp1k-d94probe	351815	25	18255	1	1	0	0	STM	53.5	-126.1	199.4	369.2	-117.4	174.3	414.6	52.7	-0.477	0
work-mcp1k-d94probe	353487	3	18255	1	1	0	0	STM	354.8	-53.8	0.4	3.4	-41.8	-8.5	335.9	332.8	-0.027	0
work-mcp1k-d94probe	353729	23	18255	1	1	0	0	STM	197.5	-129.9	22.8	0.9	-195.5	-97.7	131.0	189.1	-0.637	0
work-mcp1k-d94probe	386354	4	18255	1	1	0	0	STM	122.6	124.3	60.9	0.1	164.5	124.0	69.6	102.1	0.618	0
work-mcp1k-d94probe	386794	15	18255	1	1	0	0	STM	77.0	200.0	41.4	249.1	174.2	65.0	262.9	37.7	0.628	0
work-mcp1k-d94probe	386838	16	18255	1	1	0	0	STM	90.6	-49.7	-136.4	1.9	-95.5	-158.1	76.0	89.8	-0.242	0
work-mcp1k-d94probe	387168	15	18255	1	1	0	0	STM	125.7	-164.1	199.4	389.9	-132.7	126.5	398.3	79.9	-0.913	0
work-mcp1k-d94probe	388884	2	18255	1	1	0	0	STM	131.7	-200.7	133.6	144.6	-125.1	176.7	240.7	129.6	0.332	0
work-mcp1k-d94probe	389544	13	18255	1	1	0	0	STM	46.7	-58.4	-196.2	277.3	-61.1	-188.2	298.0	22.3	0.358	0
work-mcp1k-d94probe	389962	5	18255	1	1	0	0	STM	86.8	163.2	-86.8	0.2	162.3	-83.4	32.1	32.1	0.105	0
work-mcp1k-d94probe	390006	4	18255	1	1	0	0	STM	81.1	39.4	87.8	0.4	35.8	111.7	64.8	68.8	0.347	0
work-mcp1k-d94probe	390028	5	18255	1	1	0	0	STM	23.1	-201.2	-123.9	100.8	-188.6	-135.8	96.9	17.8	-0.672	0
work-mcp1k-d94probe	390864	16	18255	1	0	0	0	nu-candidate	174.3	-201.4	-57.2	289.5	-98.6	-191.9	252.2	173.4	-0.776	0
work-mcp1k-d94probe	391766	17	18255	1	0	0	0	nu-candidate	275.0	122.9	-25.6	0.2	4.2	-60.9	243.6	273.1	-0.129	0
work-mcp1k-d94probe	392112	7	18255	1	1	0	0	STM	119.1	-105.6	11.9	1.0	-140.3	1.4	113.1	117.8	-0.089	0
work-mcp1k-d94probe	392184	18	18255	1	1	0	0	STM	59.6	-201.4	98.7	420.5	-180.2	64.6	455.8	53.5	-0.639	0
work-mcp1k-d94probe	392200	6	18255	1	1	0	0	STM	58.4	-201.2	-143.8	335.7	-186.1	-132.2	343.3	20.5	0.567	0
work-mcp1k-d94probe	392338	14	18255	1	1	0	0	STM	70.1	-89.1	199.4	172.0	-87.4	133.4	190.4	68.6	-0.963	0
work-mcp1k-d94probe	393542	22	18255	1	1	0	0	STM	48.5	67.1	199.9	55.9	51.3	192.3	56.5	17.6	-0.432	0
work-mcp1k-d94probe	394488	2	18255	1	1	0	0	STM	41.1	-106.1	131.8	1.1	-104.9	145.0	16.9	20.7	0.64	0
work-mcp1k-d94probe	394906	16	18255	1	1	0	0	STM	91.9	153.9	24.6	1.1	175.4	-4.4	69.5	77.3	-0.375	0
work-mcp1k-d94probe	395148	10	18255	1	1	0	0	STM	533.3	-166.0	199.4	57.1	28.2	-46.9	449.9	502.7	-0.49	0
work-mcp1k-d94probe	397194	13	18255	1	1	0	0	STM	256.0	-68.1	76.2	1.0	-135.4	-15.2	229.9	255.5	-0.358	0
work-mcp1k-d94probe	397392	13	18255	1	1	0	0	STM	266.5	-11.8	27.5	3.1	-79.7	32.8	259.9	265.8	0.02	0
work-mcp1k-d94probe	397568	19	18255	1	1	0	0	STM	125.5	-41.5	113.1	1.1	-46.4	119.8	62.5	61.9	0.109	0
work-mcp1k-d94probe	398238	13	18255	1	1	0	0	STM	132.3	-24.3	199.7	306.4	75.4	112.6	360.3	142.9	-0.609	0
work-mcp1k-d94probe	398722	10	18255	1	1	0	0	STM	41.9	201.4	-108.5	298.0	194.0	-115.0	317.0	21.4	-0.303	0
work-mcp1k-d94probe	399042	14	18255	1	1	0	0	STM	138.7	-52.0	-198.8	272.3	-73.5	-179.0	259.0	32.1	0.616	0
work-mcp1k-d94probe	399284	6	18255	1	1	0	0	STM	299.6	200.9	-70.2	284.1	13.1	-6.1	456.9	263.2	0.243	0
work-mcp1k-d94probe	400174	8	18255	1	1	0	0	STM	91.2	165.9	199.8	236.3	153.7	118.4	240.6	82.4	-0.988	0
work-mcp1k-d94probe	401450	17	18255	1	1	0	0	STM	99.0	-120.0	67.6	1.0	-57.5	-32.3	413.7	429.2	-0.233	0
work-mcp1k-d94probe	401824	4	18255	1	1	0	0	STM	15.3	-64.4	186.4	0.9	-70.8	177.5	11.3	15.1	-0.586	0
work-mcp1k-d94probe	402484	21	?	?	?	?	?	?	0.0	61.4	32.1	0.4	76.6	22.6	25.6	31.0	-0.308	0
work-mcp1k-d94probe	402968	19	18255	1	1	0	0	STM	74.4	-16.7	-78.6	3.0	-25.3	-147.8	26.4	73.6	-0.941	0
work-mcp1k-d94probe	403958	3	18255	1	1	0	0	STM	67.4	-198.1	21.3	155.3	-144.5	19.3	138.8	56.1	-0.036	0
work-mcp1k-d94probe	404816	5	18255	1	1	0	0	STM	145.6	151.2	-146.1	0.2	169.4	-194.8	134.7	144.1	-0.338	0
work-mcp1k-d94probe	405432	15	18255	1	0	0	0	nu-candidate	111.0	201.4	82.8	117.1	162.1	112.4	46.3	86.2	0.343	0
work-mcp1k-d94probe	407148	15	18255	1	0	0	0	nu-candidate	172.1	201.2	84.2	239.8	140.7	101.4	103.4	150.2	0.114	0
work-mcp1k-d94probe	409084	12	18255	1	1	0	0	STM	108.9	86.8	-48.3	0.2	108.8	-25.6	74.7	80.9	0.281	0
work-mcp1k-d94probe	411790	13	18255	1	1	0	0	STM	47.6	135.9	199.6	65.1	128.4	190.3	77.0	16.9	-0.551	0
work-mcp1k-d94probe	412692	13	18255	1	1	0	0	STM	184.8	-201.4	-13.3	202.8	-150.0	-41.4	306.1	118.8	-0.237	0
work-mcp1k-d94probe	486049	13	18255	1	1	0	0	STM	254.4	-61.3	127.7	1.0	-106.3	171.1	199.7	208.3	0.208	0
work-mcp1k-d94probe	486687	20	18255	1	0	0	0	nu-candidate	312.5	-201.3	-13.1	357.7	-135.7	150.4	149.2	272.9	0.599	0
work-mcp1k-d94probe	486907	16	18255	1	1	0	0	STM	174.9	-86.1	199.2	471.8	-76.0	42.0	442.3	160.3	-0.981	0
work-mcp1k-d94probe	487633	3	18255	1	1	0	0	STM	162.9	-92.5	-1.2	1.2	-18.5	96.9	107.1	162.3	0.605	0
work-mcp1k-d94probe	489811	4	18255	1	1	0	0	STM	170.1	200.8	139.6	330.1	48.2	168.1	396.5	168.8	0.169	0
work-mcp1k-d94probe	490361	20	18255	1	0	0	0	nu-candidate	94.3	-201.0	-95.6	465.0	-176.7	-120.1	444.8	40.0	-0.613	0
work-mcp1k-d94probe	492891	13	18255	1	1	0	0	STM	460.1	11.0	-34.2	3.1	195.6	-63.2	422.5	459.1	-0.063	0
work-mcp2k-d94probe	47036	12	18259	1	1	0	0	STM	102.3	59.4	150.8	0.0	67.5	137.5	24.2	28.8	-0.461	0
work-mcp2k-d94probe	47058	24	?	?	?	?	?	?	0.0	-4.5	197.2	190.7	-14.4	90.8	170.9	108.6	-0.979	0
work-mcp2k-d94probe	49767	21	18255	1	1	0	0	STM	436.4	-16.7	-79.8	496.3	26.3	-62.7	69.4	429.4	0.04	0
work-mcp2k-d94probe	49789	16	18255	1	1	0	0	STM	329.0	-99.1	3.3	1.1	-194.1	72.5	293.9	315.5	0.219	0
work-mcp2k-d94probe	49877	21	18255	1	1	0	0	STM	24.9	201.1	-56.0	224.2	193.2	-50.6	244.9	22.9	0.236	0
work-mcp2k-d94probe	50273	11	18255	1	1	0	0	STM	195.5	-69.0	-102.6	1.7	-106.6	-140.2	188.5	194.3	-0.194	0
work-mcp2k-d94probe	51417	15	18255	1	1	0	0	STM	177.2	52.9	-151.8	0.1	140.6	-123.1	150.0	176.0	0.163	0
work-mcp2k-d94probe	53111	25	18255	1	1	0	0	STM	103.1	-150.6	-16.7	1.0	-108.7	55.8	59.1	102.0	0.711	0
work-mcp2k-d94probe	54629	15	18255	1	0	0	0	nu-candidate	156.0	-56.5	66.5	1.5	42.8	110.7	76.8	132.3	0.334	0
work-mcp2k-d94probe	54692	7	18259	1	1	0	0	STM	246.6	-17.8	95.8	1.5	-32.0	149.4	223.2	228.5	0.235	0
work-mcp2k-d94probe	54882	2	18255	1	1	0	0	STM	88.9	-73.3	199.2	34.5	-90.9	114.2	37.7	86.9	-0.979	0
work-mcp2k-d94probe	55770	10	18259	1	1	0	0	STM	68.7	174.4	-198.4	216.8	159.2	-136.1	195.3	67.6	0.921	0
work-mcp2k-d94probe	56257	13	18255	1	1	0	0	STM	127.5	58.7	-156.4	0.1	-16.5	-161.9	81.1	110.7	-0.05	0
work-mcp2k-d94probe	56862	8	18255	1	1	0	0	STM	23.1	64.6	-198.9	47.6	83.1	-193.6	58.1	22.0	0.244	0
work-mcp2k-d94probe	57764	7	18255	1	1	0	0	STM	14.8	-140.8	-198.9	389.7	-135.1	-191.2	399.3	13.6	0.565	0
work-mcp2k-d94probe	58787	11	18255	1	1	0	0	STM	67.3	-130.3	-20.6	0.9	-125.1	-5.6	16.5	22.3	0.673	0
work-mcp2k-d94probe	66718	11	18255	1	1	0	0	STM	362.0	-201.2	-155.7	500.7	-179.9	-27.6	196.3	331.0	0.387	0
work-mcp2k-d94probe	69072	10	18255	1	1	0	0	STM	20.1	5.0	-197.0	251.4	12.1	-186.8	266.8	19.8	0.514	0
work-mcp2k-d94probe	69618	12	18255	1	1	0	0	STM	99.5	128.0	117.2	0.3	159.3	192.7	54.0	97.8	0.773	0
work-mcp2k-d94probe	69926	4	18255	1	1	0	0	STM	126.7	-55.8	-131.6	1.8	-48.5	-102.5	113.5	115.6	0.251	0
work-mcp2k-d94probe	70124	18	18255	1	1	0	0	STM	84.3	31.0	198.4	377.6	32.9	169.2	430.0	60.0	-0.486	0
work-mcp2k-d94probe	70442	14	18255	1	1	0	0	STM	261.2	-201.2	-89.4	75.2	-138.3	-181.5	296.9	248.1	-0.371	0
work-mcp2k-d94probe	70472	16	18255	1	0	0	0	nu-candidate	401.4	-85.0	199.4	469.3	-90.0	-195.6	402.3	400.7	-0.986	0
