sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
mcp1k	18259	1	169620	spanned	13	458	9	201.8	7	0.7	12	11	1.8	0.85	-0.7	0.89	13001	13001	0	0	13	13	3.33	56	53	53	0.01	53	1	13	13	17.44	163.8	53.9	0	1	+	49.98	157.38	32.36	0	49.98	25761	50228	0.513
mcp1k	18259	1	169824	one-sided	10	429	7	206.7	3	1.73	0	9											2.58	53	44	53	2.38	32	0	10	19	1.73	-114.8	107.8	0	1	+	57.92	-142.84	114.9	0	57.92			
mcp1k	18259	1	172656	spanned	10	494	15	262.6	12	0.53	14	12	1.8	0.99	-0.65	0.85	10006	10006	0	0	211	211	1.97	67	56	67	0.11	67	1	10	10	0.53	148.1	122.0	0	1	-	80.31	199.91	78.02	0	80.31	46181	49914	0.925
mcp1k	18259	1	173234	spanned	10	413	9	233.1	7	1.0	12	10	2.4	1.18	-1.09	1.0	10001	10001	0	0	13	13	2.61	69	45	45	0.77	44	1	10	10	24.78	121.6	334.1	0	1	-	-76.25	58.86	336.53	0	76.25	29305	48521	0.604
mcp1k	18255	1	276836	spanned	11	474	11	236.7	9	0.92	9	10	2.4	0.98	-0.92	1.27	11003	11003	0	0	13	13	3.03	35	48	48	0.05	48	1	11	11	59.88	-22.6	323.6	0	1	-	131.23	-53.62	296.08	0	131.23	20961	48518	0.432
mcp1k	18255	1	280972	spanned	7	1358	52	511.4	32	0.7	18	18	1.8	1.0	-0.7	0.8	7001	7001	0	0	13	13	2.85	121	79	79		0	1	7	7	12.18	-194.0	172.4	0	1	+	46.28	-172.97	87.82	0	46.28	42939	50094	0.857
mcp1k	18255	1	281595	spanned	20	575	5	326.4	2	0.67	34	30	3.0	2.3	-0.67	1.25	20001	20001	0	0	13	13	2.64	94	74	74	0.14	74	1	20	20	21.83	-129.7	359.8	0	1	+	-32.66	-68.56	197.59	0	32.66	43451	48342	0.899
mcp1k	18255	1	284013	spanned	8	294	15	146.9	12	0.8	16	13	2.4	1.71	-0.8	0.89	8004	8004	0	0	11	11	3.54	65	58	58	0.02	58	1	8	8	7.76	-104.8	179.8	0	1	+	-46.29	-177.11	257.44	0	46.29	35991	51872	0.694
mcp1k	18255	1	285531	spanned	15	431	5	221.8	2	0.74	22	21	2.4	1.45	-0.74	1.17	15001	15001	0	0	2212	2212	3.12	167	92	92	0.16	90	1	15	15	17.42	-31.5	466.7	0	1	-	18.73	1.49	388.42	0	18.73	66118	74306	0.89
mcp1k	18255	1	285929	spanned	13	552	5	288.7	2	0.46	27	13	1.2	0.35	-0.68	0.46	13002	13002	0	0	211	211	1.76	69	79	79		0	1	13	13	0.89	58.2	216.8	0	2	0-	-11.92	66.2	208.43	0	11.92	66210	106693	0.621
mcp1k	18255	1	285971	spanned	7	501	7	274.6	4	0.66	15	17	1.8	1.02	-0.83	0.66	7005	7005	0	0	13	13	2.39	87	78	78	0.23	66	1	7	7	2.14	-24.5	271.3	0	2	+0	-123.17	-17.85	96.06	0	123.17	43862	51298	0.855
mcp1k	18255	1	286241	spanned	11	527	9	288.0	7	0.65	60	41	2.4	1.98	-0.7	0.65	11000	11000	0	0	13	13	3.45	125	94	94	0.12	94	1	11	11	16.04	130.3	96.5	0	2	0+	16.76	132.18	93.5	0	16.76	45425	46922	0.968
mcp1k	18255	1	286400	spanned	11	602	11	338.3	8	0.76	18	19	2.26	1.27	-0.76	1.11	11003	11003	0	0	211	211	4.82	99	84	84		0	1	11	11	2.16	-164.2	56.4	1	2	0-	-2.16	-164.16	56.4	0	2.16	28043	49718	0.564
mcp1k	18255	1	287654	eroded	12	241	13	96.0	7	2.21	77	9	6.26	2.35	-3.07	2.74	12003	44025	1	1	11	11	2.84	173	49	49	9.21	0	1	12	12	2.74	58.4	459.3	0	1	+	-8.13	58.13	463.49	0	8.13			
mcp1k	18255	1	288952	one-sided	2	552	5	312.2	3	1.73	22	0											1.46	90	79	79	1.16	79	0	2	14	1.73	-89.5	146.2	1	1	-	-1.73	-89.55	146.24	0	1.73			
mcp1k	18255	1	289559	spanned	14	294	6	166.4	2	0.51	30	20	3.0	2.19	-0.76	1.29	14001	14001	0	0	13	13	2.42	171	117	117	0.8	16	1	14	14	0.51	8.7	360.2	0	1	-	-2.51	12.81	354.8	0	2.51	65193	49807	1.309
mcp1k	18255	1	289832	spanned	10	372	3	208.7	2	0.52	23	19	3.0	2.66	-0.88	0.52	10000	10000	0	0	13	13	6.05	126	67	67	0.16	67	1	10	10	6.99	96.3	311.5	0	1	-	85.77	132.76	500.01	0	85.77	23221	49512	0.469
mcp1k	18255	1	292384	spanned	19	752	11	460.5	7	0.63	23	27	2.4	2.03	-0.65	0.63	19004	19004	0	0	13	13	2.86	123	103	103	0.05	103	1	19	19	9.29	3.4	79.7	0	3	0++	19.2	13.93	52.22	0	19.2	50511	49755	1.015
mcp1k	18255	1	292643	spanned	105	547	23	184.3	14	0.8	13	30	2.4	0.81	-1.46	0.8	18000	18000	1	1	11	11	2.85	61	75	75	0.16	75	1	18	18	1.48	-16.5	71.0	0	1	+	-13.07	-29.39	54.78	0	13.07	47087	51002	0.923
mcp1k	18255	1	313979	spanned	12	488	3	272.9	0	1.05	19	19	2.4	0.94	-1.05	1.16	12001	12001	0	0	13	13	3.15	88	77	77	0.12	72	1	12	12	17.39	-38.2	271.1	0	3	0--	-18.01	-38.39	269.12	0	18.01	38355	48346	0.793
mcp1k	18255	1	315497	eroded	24	618	6	243.9	1	0.47	69	53	4.44	2.8	-1.54	1.89	24005	16000	0	0	11	11	3.28	65	110	110	5.0	0	1	16	16	0.47	199.0	257.2	0	1	-	-5.41	196.55	164.35	0	5.41			
mcp1k	18255	1	316729	spanned	8	287	12	140.7	9	0.77	15	18	1.8	0.48	-0.96	0.77	8005	8005	1	1	11	11	1.9	71	90	90	0.11	76	1	8	8	4.06	-66.9	194.8	0	2	+0	-67.55	9.48	191.29	0	67.55	64541	61907	1.043
mcp1k	18255	1	348691	eroded	9	964	40	382.9	19	3.32	11	0	25.78	6.61	-18.13	6.78	15054	9028	0	1	11	11	3.13	62	60	60	5.05	0	1	7	7	3.32	-142.4	227.1	0	1	-	14.07	-132.87	180.41	0	14.07			
mcp1k	18255	1	349549	spanned	12	649	39	100.2	15	0.52	22	32	1.8	1.1	-0.52	0.91	12011	12011	0	0	2212	2212	1.68	100	146	146	0.18	54	1	12	12	1.89	-23.6	240.4	0	2	++	2.75	-78.08	110.97	0	2.75	48537	47403	1.024
mcp1k	18255	1	350297	spanned	18	441	7	252.8	4	0.91	17	15	2.4	1.39	-0.91	1.04	18001	18001	0	0	13	13	2.86	123	59	59	0.15	59	1	18	18	10.38	95.9	433.8	0	1	0	-120.07	76.16	220.04	0	120.07	54904	58905	0.932
mcp1k	18255	1	352233	spanned	6	265	12	128.7	11	0.46	11	10	1.2	0.15	-0.46	0.73	6000	6000	0	0	13	13	3.58	41	46	46	0.06	46	1	6	6	24.92	70.3	494.8	0	1	-	-64.65	106.99	455.34	0	64.65	18921	53088	0.356
mcp1k	18255	1	353223	spanned	15	128	5	62.4	2	0.56	24	20	2.4	2.07	-0.56	0.65	15009	15009	0	0	2212	2212	3.9	120	110	110	0.05	110	1	15	15	6.88	-122.3	498.8	0	1	0	-11.57	-153.06	480.77	0	11.57	57674	98423	0.586
mcp1k	18255	1	353751	spanned	10	292	6	159.8	2	0.79	12	12	1.8	0.77	-0.84	0.79	10001	10001	0	0	2212	2212	2.33	60	54	54	0.1	54	1	10	10	22.04	14.3	82.3	0	2	--	-22.06	17.47	82.3	0	22.06	44119	57236	0.771
mcp1k	18255	1	392200	one-sided	27	261	8	102.5	5	1.06	14	0											2.82	99	46	46	0.42	46	0	27	15	1.06	-151.5	439.9	0	1	-	-89.7	-198.93	426.54	0	89.7			
mcp1k	18255	1	392552	spanned	12	422	9	237.3	8	0.78	17	19	2.4	1.58	-0.78	1.03	12000	12000	0	0	13	13	3.28	95	82	82	0.11	82	1	12	12	18.64	-29.7	178.0	0	1	+	-130.25	-185.93	294.23	0	130.25	46639	47030	0.992
mcp1k	18255	1	395610	spanned	22	697	11	199.3	3	0.6	30	28	1.8	1.26	-0.69	0.6	22000	22000	0	0	13	13	1.78	98	91	91		0	1	22	22	7.41	100.5	185.4	0	2	0+	7.95	101.13	183.86	0	7.95	50078	48707	1.028
mcp1k	18255	1	395654	spanned	15	360	3	197.4	1	0.57	28	28	1.8	1.19	-0.57	0.79	15001	15001	0	0	13	13	2.98	112	115	115	0.09	115	1	15	15	4.86	129.2	179.8	0	2	0+	19.88	151.91	137.39	0	19.88	51037	47300	1.079
mcp1k	18255	1	398690	one-sided	18	543	21	1.4	15	2.81	0	24											3.29	173	136	173	1.85	62	0	17	8	2.81	29.5	216.7	1	1	+	2.81	29.47	216.73	0	2.81			
mcp1k	18255	1	399118	spanned	15	604	18	149.4	5	0.51	100	55	3.0	2.58	-0.57	0.97	16036	16036	0	0	2212	2212	4.31	100	377	377	1.53	57	1	9	9	0.51	64.3	286.3	0	1	-	-87.72	172.41	268.42	0	87.72	72762	86126	0.845
mcp1k	18255	1	404244	spanned	12	267	20	130.4	15	0.48	15	13	3.0	1.52	-0.48	2.1	12001	12001	1	1	11	11	3.48	100	46	46	0.25	46	1	12	12	12.04	54.6	335.7	0	1	+	26.58	79.49	292.1	0	26.58	38298	52629	0.728
mcp1k	18255	1	404684	spanned	9	138	2	77.9	0	0.73	30	29	3.0	2.47	-0.73	0.97	9001	9001	1	1	11	11	2.45	229	77	77	0.04	77	1	9	9	10.08	141.2	342.8	0	1	0	11.87	195.73	302.49	0	11.87	59016	87760	0.672
mcp1k	18255	1	406796	eroded	9	200	16	59.7	12	1.84	7	9	4.66	2.24	-2.25	1.84	9017	17021	0	0	13	13	3.65	34	50	50	1.46	42	1	9	9	1.84	-155.7	114.3	0	1	+	-53.51	-154.92	85.34	0	53.51			
mcp1k	18255	1	407280	spanned	16	660	7	352.5	1	0.77	22	23	2.4	1.81	-0.81	0.77	16003	16003	0	0	13	13	3.75	79	78	78	0.21	78	1	16	16	13.2	-50.9	378.0	0	1	0	-94.67	-157.0	51.88	0	94.67	27428	54422	0.504
mcp1k	18255	1	409634	spanned	27	228	18	43.8	7	0.45	50	63	1.2	0.73	-0.45	0.5	21007	21007	1	1	11	11	1.51	342	174	174		0	1	21	21	0.84	175.3	231.0	0	2	0-	96.4	151.16	266.18	0	96.4	44333	47533	0.933
mcp1k	18255	1	492913	spanned	15	107	2	49.8	1	0.46	53	52	2.4	2.2	-0.51	0.46	15000	15000	0	0	13	13	4.92	138	58	58	0.09	58	1	15	15	2.93	-96.3	498.0	1	1	0	2.93	-96.25	498.03	0	2.93	47242	50976	0.927
nuecc48	18409	1	214469	spanned	16	982	77	189.3	31	0.53	11	11	1.2	0.06	-0.67	0.53	16038	16038	0	0	2212	2212	2.16	71	60	60		0	1	16	16	31.57	3.2	301.2	1	2	0-	-31.57	3.16	301.19	0	31.57	47169	87681	0.538
nuecc48	18279	1	267597	split	5	736	78	153.9	50	0.62	23	31	3.02	1.86	-1.06	1.31	12053	5039	0	0	11	11	1.94	76	146	146			1	5	5	0.62	-92.1	450.9	0	2	--	80.36	-128.77	369.99	0	80.36	54508	39688	1.373
nuecc48	18255	1	437699	eroded	11	660	50	103.9	22	0.59	0	16	164.29	96.17	-70.48	62.72	17025	98082	0	0	11	11	1.68	90	92	90	1.65	70	0	11	3	0.59	180.6	350.9	0	1	+	109.85	-149.4	155.41	0	109.85			
