# pr150 vertex scan score: 110 scannable items, picks for 110, missing 0; picks written at {'picks-0.json': '2026-09-18 23:53:54', 'picks-1.json': '2026-09-18 23:57:41', 'picks-2.json': '2026-09-18 23:54:59', 'picks-3.json': '2026-09-18 23:51:57', 'picks-4.json': '2026-09-18 23:54:50', 'picks-5.json': '2026-09-18 23:51:55', 'picks-6.json': '2026-09-18 23:55:14', 'picks-7.json': '2026-09-19 00:01:08'}
sample	event	role	class	A_pick	A_conf	A_d_truth	A_d_main	B_pick	B_conf	B_d_truth	B_d_main	B_d_Amain	A_d_Bmain	reco_A	reco_B
mcp2k	281781	mover	UNRESOLVED	101130	likely	56.09	55.94	101128	likely	57.11	26.38	56.95	24.21	0.29	45.35
mcp2k	283568	calib	CALIB-AGREE	18002	certain	0.45	0.01							0.45	
mcp2k	321015	mover	UNRESOLVED	16002	certain	6.81	22.34	16002	certain	6.61	0.01	22.54	0.43	28.95	6.61
mcp2k	321169	mover	UNRESOLVED	16001	likely	5.77	13.34	25012	likely	11.66	10.85	20.12	4.99	19.00	1.15
mcp2k	321235	calib	CALIB-DISAGREE	11005	unclear	195.71	195.51							0.26	
mcp2k	322707	mover	CONFIRMS-LABEL	11002	certain	0.16	0.00	11003	certain	0.22	37.03	0.14	36.94	0.16	37.00
mcp2k	323369	mover	UNRESOLVED-missing-arm		unclear									235.09	
mcp2k	347824	calib	CALIB-DISAGREE	24004	likely	6.37	7.06							1.00	
mcp2k	350354	mover	UNRESOLVED	18001	likely	1.05	4.31	18001	likely	0.80	61.97	4.51	61.80	5.22	62.58
mcp2k	355106	mover	UNRESOLVED	7000	likely	352.89	0.00	7001	unclear	1.41	0.01	353.16	353.17	352.89	1.41
mcp2k	392891	mover	UNRESOLVED-missing-arm	16000	unclear	220.95	221.62							0.98	
mcp2k	394407	mover	CONFIRMS-LABEL	18004	likely	0.01	313.48	18008	likely	0.39	0.00	313.56	0.38	313.47	0.39
mcp2k	395573	calib	CALIB-AGREE	10002	certain	0.54	0.01							0.54	
mcp2k	396816	mover	UNRESOLVED	18002	likely	9.40	23.05	26013	likely	344.00	340.85	336.81	3.89	32.30	12.34
mcp2k	396829	mover	UNRESOLVED	17004	unclear	69.85	69.85	27000	unclear	83.88	25.34	83.88	65.79	0.00	66.49
mcp2k	400185	mover	UNRESOLVED	26006	likely	113.16	113.16	26008	likely	113.16	55.99	113.16	55.97	0.00	62.85
mcp2k	406367	mover	UNRESOLVED-missing-arm	12000	likely	0.76	0.00							0.77	
mcp2k	406631	mover	UNRESOLVED	62030	unclear	174.91	32.89	62028	unclear	174.98	174.93	32.80	174.85	206.10	0.06
mcp2k	408326	calib	CALIB-AGREE	21003	certain	0.33	0.01							0.34	
mcp2k	409052	mover	UNRESOLVED-missing-arm	17000	unclear	159.87	159.87							0.00	
mcp2k	474612	mover	UNRESOLVED	5001	unclear	21.78	21.78	5003	certain	18.55	0.00	18.55	4.14	0.00	18.55
mcp2k	479650	mover	UNRESOLVED	71057	unclear	8.14	32.87	71065	unclear	15.10	0.00	33.65	10.11	25.87	15.10
mcp2k	481014	mover	UNRESOLVED		unclear				unclear						123.01
mcp2k	499423	mover	UNRESOLVED		unclear			11000	likely	43.50	0.00	26.54		17.42	43.49
# classes: CALIB-AGREE 4, CALIB-DISAGREE 2, CONFIRMS-LABEL 11, REGRESSION 6, REGRESSION-b-agrees 2, UNRESOLVED 28, UNRESOLVED-missing-arm 10
