item	verdict	kind	connected	confidence	comment
mcp2k-98947-p049	NO	FRAGMENT	NO	2	half a dozen small scattered clumps over ~50 cm; no coherent line or bundle
mcp1k-283969-p011	NO	CROSSING-TRACK	UNSURE	2	~400 cm track spanning the full y range ~20 cm from the vertex; one cosmic among many
mcp2k-174771-p041	NO	CROSSING-TRACK	UNSURE	2	straight ~120 cm track passing ~8 cm from the vertex, continuing on both sides
mcp2k-100728-p003	NO	NOISE	UNSURE	2	lattice-patterned blob patch at the x~202 drift boundary, ~20 cm; not a track
mcp2k-395597-p909	NO	HALO	YES	2	~14 cm of unheld charge hugging the green track at the vertex; width, not a prong
mcp1k-49951-p057	NO	FRAGMENT	YES	2	two small ~4 cm clumps at the tips of the green arms at the x~202 boundary
mcp1k-351639-p001	NO	NOISE	UNSURE	2	lattice-patterned patch at the x~202 boundary, ~15 cm, merging into a blue cluster
ncpi0-180801-p905	NO	HALO	YES	1	dense ~15 cm patch of unheld charge inside the green shower near the vertex
mcp2k-94942-p038	YES	TRACK	YES	3	~150 cm straight prong starting exactly at the vertex, entirely unheld
mcp2k-398225-p021	YES	TRACK	YES	2	~260 cm unheld track leaving the vertex downward to the y=-200 boundary
