sample	event	nflash	nclus	n_noflash	n_correct	n_wrong	n_oob	note
mcp1k	65691	12	45	0	8	37	0	
mcp1k	65788	13	37	0	28	9	0	
mcp1k	65942	9	28	0	12	16	0	
mcp1k	65999	16	92	0	70	22	0	
mcp1k	66043	15	51	0	21	30	0	
mcp1k	66087	7	28	0	11	17	0	
mcp1k	66118	14	49	0	23	26	0	
mcp1k	66272	13	51	0	26	25	0	
mcp1k	66329	17	47	0	30	17	0	
mcp1k	66338	15	52	0	33	19	0	
mcp1k	66461	13	22	0	12	10	0	
mcp1k	66571	18	45	0	24	21	0	
mcp1k	66615	19	75	0	34	41	0	
mcp1k	66624	9	81	0	42	39	0	
mcp1k	66646	19	48	0	33	15	0	
mcp1k	66712	15	75	0	25	50	0	
mcp1k	66822	11	53	0	20	33	0	
mcp1k	66954	14	72	0	41	31	0	
mcp1k	67108	10	38	0	16	20	2	
mcp1k	67152	17	80	0	52	26	2	
mcp1k	67394	16	60	0	24	33	3	
mcp1k	67746	12	38	0	30	8	0	
mcp1k	67922	10	74	0	9	65	0	
mcp1k	67988	14	43	0	23	20	0	
mcp1k	68054	11	50	0	36	12	2	
mcp1k	68362	17	51	0	24	27	0	
mcp1k	68428	13	31	0	15	16	0	
mcp1k	68516	11	40	0	23	17	0	
mcp1k	68648	14	68	0	20	48	0	
mcp1k	68714	19	68	0	55	13	0	
mcp1k	68956	9	39	0	20	19	0	
mcp1k	68978	12	51	1	29	21	0	
mcp1k	69000	9	52	0	17	35	0	
mcp1k	69066	7	41	0	16	25	0	
mcp1k	69286	12	63	0	13	50	0	
mcp1k	69308	10	24	0	8	16	0	
mcp1k	70562	6	23	0	11	12	0	
mcp1k	70980	17	44	0	20	22	2	
mcp1k	71046	16	57	0	31	26	0	
mcp1k	71178	17	82	1	45	36	0	
mcp1k	71222	13	65	0	45	20	0	
mcp1k	71266	20	83	0	35	48	0	
mcp1k	71288	18	46	0	16	30	0	
mcp1k	71376	10	26	0	14	10	2	
mcp1k	71486	14	55	0	23	32	0	
mcp1k	71530	16	103	0	25	78	0	
mcp1k	71640	10	70	0	64	6	0	
ncpi0	18625	13	130	0	37	93	0	
ncpi0	21073	12	69	0	50	19	0	
ncpi0	37112	12	85	0	47	34	4	
ncpi0	56982	12	93	0	70	20	3	
ncpi0	71372	16	140	0	125	15	0	
ncpi0	84229	12	71	0	18	53	0	
ncpi0	105946	11	60	0	55	5	0	
ncpi0	114446	19	67	0	38	29	0	
ncpi0	142421	15	112	0	40	72	0	
ncpi0	180801	19	115	1	64	50	0	
ncpi0	259542	16	136	0	25	111	0	
ncpi0	285567	10	123	0	53	70	0	
ncpi0	314838	15	121	0	70	51	0	
ncpi0	359980	17	81	0	20	61	0	
ncpi0	399860	19	78	0	43	35	0	
ncpi0	463565	15	117	0	31	86	0	
ncpi0	506114	13	99	0	26	73	0	
ncpi0	506746	18	79	0	15	64	0	
ncpi0	521075	13	96	0	68	26	2	
nuecc48	388	15	100	0	69	31	0	
nuecc48	10550	10	65	0	22	43	0	
nuecc48	30504	6	71	1	15	55	0	
nuecc48	38856	12	71	0	42	29	0	
nuecc48	42280	13	106	0	19	85	2	
nuecc48	46363	14	89	0	68	21	0	
nuecc48	52672	13	87	0	79	8	0	
nuecc48	54095	13	99	0	26	73	0	
nuecc48	69314	16	73	0	52	21	0	
nuecc48	74544	11	55	0	19	35	1	
nuecc48	81597	13	122	0	63	59	0	
nuecc48	90055	16	151	0	81	70	0	
nuecc48	111412	19	75	0	32	43	0	
nuecc48	116962	14	72	0	47	24	1	
nuecc48	122660	11	64	0	59	4	1	
nuecc48	131357	16	112	1	63	46	2	
nuecc48	137238	20	146	0	47	99	0	
nuecc48	138009	19	69	0	49	17	3	
nuecc48	163543	15	74	0	65	9	0	
nuecc48	168596	13	132	0	89	43	0	
nuecc48	172230	17	69	0	45	22	2	
nuecc48	174637	10	49	1	37	10	1	
nuecc48	196649	10	68	0	55	13	0	
nuecc48	214469	15	108	0	70	38	0	
nuecc48	219295	19	91	0	40	51	0	
nuecc48	234638	11	95	0	12	83	0	
nuecc48	235435	19	42	0	32	10	0	
nuecc48	239794	17	106	0	99	7	0	
nuecc48	246579	15	86	0	70	16	0	
nuecc48	256587	15	135	0	105	30	0	
nuecc48	267597	10	107	0	96	11	0	
nuecc48	268067	12	70	0	35	33	2	
nuecc48	268784	21	79	0	14	65	0	
nuecc48	269774	12	109	0	14	95	0	
nuecc48	271851	17	142	0	91	50	1	
nuecc48	342199	15	74	0	46	28	0	
nuecc48	350186	19	120	0	66	54	0	
nuecc48	360535	20	102	0	74	28	0	
nuecc48	389538	10	80	0	51	29	0	
nuecc48	400474	12	110	0	32	78	0	
nuecc48	422851	11	85	0	71	14	0	
nuecc48	423981	17	96	0	29	64	3	
nuecc48	433451	18	132	0	117	15	0	
nuecc48	437699	12	120	0	21	99	0	
nuecc48	444187	18	79	0	45	34	0	
nuecc48	447477	16	78	0	21	57	0	
nuecc48	469665	11	71	0	19	51	1	
nuecc48	489330	13	56	0	31	25	0	
