# BLIND scan sheet -- doc pdhd/stm-tagger-chain sec 13
# Gate on retile_wrapped_channel_activity.  Doc sec 12 measured that this knob
# raises the Steiner terminal ceiling 3.6x (0.134 -> 0.484 eligible points) and
# is the only knob that moves the sec 8.6 coverage number.  This scan decides
# whether the STM verdicts it moves get BETTER.
#
# Population: run 029107, 30 events, all 224 clusters whose STM verdict differs
# between the knob off and on (of 2246 verdicts, 10.0%).  130 gain the tag, 94
# lose it.  The (event, cluster) key sets of the two arms are identical, so the
# knob changes no cluster partition -- only the Steiner stage.
#
# The arms' verdicts are NOT here.  They are in pdhd_retile_scan_key.tsv, which
# should stay closed until the labels are in.
#
# QUESTION, per cluster, from the RAW CHARGE alone: does this track enter the
# detector and STOP inside it, or does it pass through / exit?
#   label = STM      enters and stops inside the active volume
#           THRU     through-going, or exits any face (incl. anode / cathode)
#           UNCLEAR  cannot tell -- fragment, too sparse, overlapping, ambiguous
#
# Please do NOT switch on steiner_graph / steiner_terminals / stm_fit /
# stm_tagged while labelling.  Those layers differ between the arms and would
# reveal which arm you are seeing.  The clustering and dead-area layers are
# byte-identical between the arms (verified by member hash), so raw charge is
# genuinely blind.
#
# STRATA -- please label BOTH, they answer different questions:
#   A  npts >= 200  (n=174 of 224)  do the knob's changes on real tracks improve?
#   B  npts <  200  (n= 50 of 224)  the knob's new tags are 47 gain / 3 lose on
#                                   these, i.e. 36% of ALL its gains are on small
#                                   clusters.  Are those real stoppers, or is it
#                                   manufacturing STM tags on fragments?  This is
#                                   the half most likely to argue against the knob.
# tranche 1 = rows 1-63 (A: 20 gain + 20 lose; B: 20 gain + all 3 lose).
# Coordinates are cm.  PDHD active volume x -358..358, y 7.6..606, z 0.2..462.
scan_id	stratum	tranche	event	cluster	npts	length_cm	cx	cy	cz	xlo	xhi	ylo	yhi	zlo	zhi	label	notes
104	A	2	7	34	8559	394.7	-195.2	530.5	289.9	-238.3	-149.8	404.6	596.2	95.8	461.6		
105	A	2	7	50	1767	260.6	-333.2	515.7	391.2	-352.1	-308.6	379.7	605.8	321.0	447.8		
106	A	2	8	32	6543	414.9	-266.7	462.5	165.7	-351.8	-152.0	278.2	604.6	35.0	274.7		
107	A	2	8	42	5071	476.9	-242.3	377.3	185.7	-322.1	-159.2	164.0	605.7	141.3	220.6		
108	A	2	8	45	327	97.1	-300.7	526.1	175.9	-318.2	-285.8	502.5	591.0	104.4	205.7		
109	A	2	8	52	2704	225.7	-245.5	58.3	274.9	-351.9	-152.1	11.1	126.7	264.1	312.1		
110	B	2	8	123	34	47.9	43.9	29.3	444.2	27.5	59.7	7.9	47.9	428.0	457.0		
111	B	2	9	5	20	3.7	-122.2	589.2	121.9	-124.2	-120.8	587.7	590.3	121.7	122.2		
112	A	2	9	115	2090	226.0	268.5	519.1	249.1	215.7	329.1	419.9	601.3	185.8	297.4		
113	A	2	9	124	4406	620.9	182.3	302.1	353.7	97.7	275.4	7.9	605.4	288.6	393.5		
114	A	2	10	49	675	96.2	-205.7	61.0	126.9	-218.2	-196.1	28.7	106.0	98.1	164.3		
115	A	2	10	51	556	93.6	-69.1	47.9	171.1	-79.6	-59.1	7.7	78.5	137.5	199.0		
116	B	2	10	58	103	170.1	-94.8	26.5	437.2	-173.8	-1.4	10.0	66.4	398.8	462.1		
117	A	2	10	124	5547	310.0	138.2	540.2	319.5	96.1	183.8	437.7	605.8	189.8	459.6		
118	A	2	10	128	5236	613.9	115.2	256.3	180.5	53.5	191.5	7.9	601.0	126.5	228.1		
119	A	2	10	135	664	84.3	339.3	41.7	79.3	305.3	352.0	7.9	82.3	61.6	154.8		
120	A	2	10	139	7190	446.0	163.5	204.6	399.8	95.0	175.7	8.5	440.2	338.0	461.1		
121	A	2	11	25	4512	427.5	-194.3	161.7	121.8	-286.9	-95.6	18.4	319.8	1.0	239.3		
122	A	2	11	29	247	22.6	-1.7	364.6	186.1	-5.3	-0.3	354.6	377.2	179.5	194.2		
123	A	2	11	83	2811	302.8	308.4	446.8	64.7	241.1	352.1	324.2	585.2	1.0	133.8		
124	A	2	11	90	7946	309.4	150.3	187.2	100.3	136.3	163.1	70.3	280.6	3.8	235.0		
125	A	2	11	107	10828	493.6	-17.2	474.2	248.1	-74.5	29.2	361.8	605.8	30.6	450.1		
126	A	2	12	21	275	182.9	-30.5	209.4	51.2	-33.2	-23.1	129.1	275.9	1.0	109.9		
127	A	2	12	46	4107	420.4	-221.5	200.7	293.9	-351.9	-87.2	33.6	385.6	216.1	410.8		
128	A	2	12	48	401	116.6	-106.4	423.6	211.4	-110.1	-32.3	391.3	485.4	188.8	233.9		
129	A	2	12	98	5969	348.3	25.7	467.1	367.8	0.2	91.9	356.2	602.9	208.9	450.1		
130	A	2	12	103	6376	674.0	231.1	302.9	329.3	133.8	351.9	7.8	605.8	190.2	453.0		
131	A	2	12	108	6714	486.3	12.2	382.2	400.1	6.4	80.5	115.4	595.8	364.3	450.1		
132	A	2	12	118	654	57.0	189.6	467.3	446.1	170.0	205.9	451.4	490.0	428.2	461.6		
133	A	2	12	127	9371	678.1	-59.5	364.1	150.3	-273.2	146.0	118.3	593.6	23.4	274.2		
134	A	2	12	129	3682	428.9	35.6	314.1	390.3	-87.4	131.7	115.3	491.2	333.9	453.5		
135	A	2	12	130	2598	349.8	-3.6	468.5	422.6	-86.3	92.4	312.5	605.6	356.1	457.8		
136	B	2	13	15	19	2.7	-350.6	547.9	425.9	-351.4	-349.8	546.9	549.4	425.6	426.1		
137	A	2	13	36	6771	542.6	-139.1	389.1	183.6	-297.8	-0.2	202.7	605.8	92.4	302.6		
138	A	2	13	108	1971	214.5	49.3	131.2	56.2	0.7	99.0	11.1	203.3	23.5	86.3		
139	A	2	13	116	517	101.0	104.4	532.4	454.9	69.7	115.7	466.6	557.4	434.5	460.7		
140	A	2	13	118	9903	634.4	-54.8	384.3	233.0	-188.4	67.4	201.5	569.8	7.6	462.1		
141	B	2	14	22	8	1.8	-351.5	132.0	136.3	-351.9	-351.3	131.5	133.1	135.5	136.7		
142	A	2	14	24	2727	200.2	-168.2	569.0	150.5	-221.6	-161.1	528.8	605.8	43.6	237.3		
143	A	2	14	26	14341	462.9	-89.4	360.4	247.7	-157.4	-52.4	291.8	421.0	10.0	450.1		
144	B	2	14	28	125	120.5	-290.9	18.3	448.0	-349.9	-229.5	10.5	55.9	431.4	461.9		
145	A	2	14	90	1234	101.2	115.8	227.2	426.8	85.3	150.2	198.1	259.9	403.6	451.2		
146	A	2	14	107	1207	122.2	50.8	180.9	33.5	2.3	66.6	92.5	201.5	1.0	65.6		
147	A	2	14	119	4743	587.1	-87.0	253.0	406.2	-241.2	94.7	11.1	500.1	334.1	443.8		
148	A	2	15	41	3146	476.9	-226.5	305.5	59.0	-351.7	-102.1	107.7	513.6	46.9	83.8		
149	A	2	15	58	10100	485.5	-282.9	424.5	323.6	-339.6	-212.8	212.7	606.0	175.8	462.2		
150	B	2	15	142	35	76.5	318.7	48.7	371.6	313.9	329.0	20.8	85.2	351.2	392.1		
151	A	2	15	152	6384	506.4	-58.1	342.0	321.4	-233.4	100.2	156.3	516.8	182.9	458.7		
152	B	2	16	31	16	4.2	-351.0	72.0	115.8	-352.0	-350.1	69.4	73.5	115.5	115.9		
153	A	2	16	66	2873	228.2	-334.0	497.3	188.7	-352.0	-315.4	383.8	605.8	165.8	224.2		
154	A	2	16	91	8153	650.2	290.2	328.2	118.7	262.4	343.1	7.9	605.8	2.4	264.6		
155	A	2	16	97	11360	611.4	77.4	321.9	222.9	24.9	140.0	117.9	516.6	0.5	459.8		
156	A	2	16	129	4897	400.0	-8.5	390.7	85.7	-38.1	22.8	181.5	545.2	6.7	169.1		
157	A	2	17	40	10584	620.9	-157.7	268.9	262.0	-219.7	-104.0	15.7	604.6	188.7	418.2		
158	A	2	17	44	1446	182.4	-299.7	557.9	436.3	-346.0	-178.0	522.8	588.2	365.3	462.1		
159	A	2	17	49	21028	620.8	-98.3	279.0	152.1	-143.9	-66.4	58.5	601.8	19.9	340.8		
160	A	2	17	113	3442	373.8	234.9	112.0	118.3	128.5	351.9	9.1	267.6	23.5	213.2		
161	A	2	17	115	2124	182.6	150.3	515.3	193.8	108.7	241.7	418.5	605.0	128.9	251.7		
162	B	2	17	124	21	46.4	13.5	23.7	432.1	2.2	22.3	21.3	26.0	414.1	455.8		
163	A	2	18	28	309	50.4	-207.9	16.4	145.3	-215.8	-199.1	7.6	48.9	123.6	152.2		
164	A	2	18	34	1266	130.3	-69.8	580.5	201.8	-112.0	-0.4	455.0	606.0	165.1	254.6		
165	A	2	18	36	5073	381.0	-31.0	428.0	78.5	-65.6	-0.4	221.1	599.4	3.8	114.2		
166	A	2	18	127	3007	293.3	207.2	283.1	82.0	168.3	240.5	167.6	404.2	1.0	164.4		
167	A	2	18	131	6395	479.0	24.2	414.7	117.9	0.4	58.7	190.3	606.0	0.5	255.7		
168	A	2	18	133	14622	514.7	235.1	159.8	195.1	172.9	311.3	7.6	336.2	1.0	398.3		
169	A	2	18	143	2837	246.7	46.0	474.4	282.7	1.9	79.7	360.5	600.9	244.8	318.3		
170	B	2	20	17	91	25.0	-56.4	29.2	44.0	-58.5	-53.8	18.7	39.1	36.3	50.4		
171	A	2	20	39	958	107.4	-33.5	211.7	27.5	-65.7	-0.4	168.3	273.2	1.8	80.5		
172	A	2	20	63	6221	515.2	-252.3	393.3	348.8	-334.6	-173.8	165.7	605.3	233.0	462.1		
173	A	2	20	136	4820	271.7	70.9	455.6	268.2	39.0	91.9	329.8	599.8	234.5	312.6		
174	A	2	21	50	291	335.4	-190.0	20.2	447.5	-352.0	-16.6	8.0	60.7	429.0	462.2		
175	A	2	21	54	1069	202.3	-308.2	126.2	372.8	-351.9	-229.0	22.9	186.8	325.9	435.2		
176	A	2	21	58	6338	458.7	-233.9	217.7	298.3	-306.3	-163.8	73.5	366.2	137.0	461.6		
177	A	2	21	108	362	94.3	92.6	566.3	235.1	49.0	97.5	499.4	589.0	188.4	238.8		
178	B	2	21	110	99	94.7	105.9	50.1	425.2	87.6	166.8	9.0	68.0	394.0	458.4		
179	B	2	21	122	11	43.6	336.4	54.5	445.3	325.2	349.5	52.6	57.0	425.7	461.6		
180	A	2	22	27	3337	261.6	-74.0	483.7	208.4	-146.6	-30.9	380.2	604.6	147.6	274.2		
181	A	2	22	34	1841	170.8	-72.9	544.9	183.1	-128.3	-18.9	485.0	605.8	157.9	212.0		
182	A	2	22	40	2571	227.0	-85.5	503.9	337.3	-152.2	-61.4	404.1	594.3	299.1	443.8		
183	B	2	22	52	33	49.4	-316.2	14.5	445.8	-344.7	-297.1	10.3	32.3	427.1	454.1		
184	A	2	22	107	6496	574.7	289.8	347.4	305.1	211.9	351.8	106.7	558.1	125.7	461.1		
185	A	2	22	119	518	52.5	63.5	251.9	441.5	21.1	71.8	228.9	279.0	418.5	452.7		
186	B	2	22	120	12	47.7	337.9	24.6	424.7	333.1	350.4	14.1	54.5	410.8	429.5		
187	A	2	22	122	1797	265.7	118.1	475.3	398.5	56.2	163.4	350.9	595.8	322.4	409.8		
188	A	2	23	27	3910	285.0	-290.3	118.6	129.0	-352.0	-230.7	8.3	231.1	62.2	194.2		
189	A	2	23	28	302	45.3	-124.8	17.5	16.1	-130.1	-116.3	7.9	46.7	9.6	59.0		
190	A	2	23	55	508	83.1	-119.5	297.8	444.1	-131.9	-105.7	230.9	312.2	436.6	447.2		
191	A	2	23	106	5225	450.0	256.6	186.5	100.8	172.7	322.1	7.9	392.0	2.4	247.1		
192	A	2	24	19	794	82.1	-321.8	219.4	439.3	-352.0	-301.6	190.4	255.1	434.3	446.1		
193	B	2	24	94	176	74.6	235.1	43.5	188.7	227.6	274.6	7.9	62.7	169.6	221.2		
194	A	2	24	104	715	92.4	36.7	238.1	441.1	1.2	67.1	199.4	258.2	384.2	460.6		
195	A	2	24	111	6325	715.0	-144.3	332.6	225.8	-319.9	80.8	24.1	606.0	174.4	302.5		
196	A	2	25	40	7387	451.0	-101.0	317.8	183.7	-227.3	-0.4	204.7	449.7	1.0	332.7		
197	A	2	25	41	15489	600.7	-213.7	306.8	179.9	-223.3	-177.0	10.8	605.0	126.5	233.6		
198	A	2	25	48	3121	339.8	-124.0	137.2	238.9	-246.9	-10.2	7.6	260.8	232.7	271.8		
199	A	2	25	54	2187	128.9	-258.4	552.3	264.3	-262.4	-252.9	491.8	605.8	237.3	300.0		
200	A	2	25	84	7007	418.6	68.8	391.6	311.6	1.1	202.5	301.8	509.8	76.0	457.8		
201	A	2	25	118	2411	294.9	42.2	122.8	77.7	-82.3	134.1	19.9	233.8	61.3	87.8		
202	A	2	25	120	7716	584.4	-1.1	416.5	375.7	-212.8	250.1	245.0	558.2	279.5	461.6		
203	A	2	26	28	22580	678.5	-104.7	318.0	281.0	-208.2	-49.0	8.3	601.2	127.0	462.2		
204	B	2	26	42	7	3.0	-15.3	575.7	73.5	-16.1	-14.8	574.2	576.6	72.8	74.6		
205	A	2	26	43	1091	82.7	-39.4	569.4	41.9	-71.8	-21.7	529.4	605.5	12.0	92.0		
206	A	2	26	87	816	93.4	80.7	593.8	39.7	32.7	125.0	577.3	605.8	12.7	56.7		
207	A	2	26	118	6271	496.7	9.9	417.0	326.1	-83.1	121.7	219.6	605.8	211.1	450.1		
208	B	2	27	122	27	76.9	262.0	36.3	437.6	221.7	286.0	16.5	53.2	425.7	449.6		
209	B	2	27	124	20	42.1	231.4	23.9	269.2	229.9	232.4	7.9	34.8	256.0	288.8		
210	A	2	27	125	743	106.3	44.9	586.4	357.9	39.2	69.5	502.8	605.9	333.4	368.1		
211	A	2	27	126	4377	603.6	-63.4	336.8	141.0	-216.1	70.3	60.3	593.0	87.5	156.2		
212	A	2	27	127	6952	661.9	-99.2	352.8	241.2	-311.7	136.2	132.7	593.4	166.6	353.8		
213	A	2	28	27	17374	211.3	-97.1	425.4	124.3	-116.1	-74.2	291.8	575.4	9.1	216.3		
214	A	2	28	28	5688	472.7	-163.3	204.4	136.7	-218.4	-121.6	8.3	377.4	6.1	288.8		
215	A	2	28	85	1658	256.8	299.8	119.6	134.0	245.2	348.0	7.9	239.9	112.8	153.8		
216	A	2	28	106	470	87.7	7.5	35.3	417.2	0.3	23.0	13.1	89.3	390.2	431.1		
217	A	2	28	109	7645	600.4	9.9	386.2	269.1	-116.9	40.4	118.1	599.4	87.5	439.5		
218	A	2	29	32	506	83.1	-114.1	576.0	68.1	-128.0	-71.6	531.3	595.0	57.5	79.0		
219	A	2	29	35	4086	486.0	-157.2	404.7	213.4	-271.1	-20.2	171.6	605.4	176.8	253.6		
