half	tag	runNo	subRunNo	eventNo	event	stratum	b1_cm
test	vtxscan-prod0813	18255	1	469665	evt469665	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18255	1	489330	evt489330	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18259	1	42280	evt42280	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18259	1	52672	evt52672	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18259	1	54095	evt54095	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18259	1	74544	evt74544	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18259	1	111412	evt111412	vtxscan-prod0813/miss	48.6097
test	vtxscan-prod0813	18259	1	131357	evt131357	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18264	1	137238	evt137238	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18269	1	342199	evt342199	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813	18279	1	267597	evt267597	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18304	1	38856	evt38856	vtxscan-prod0813/miss	30.1063
test	vtxscan-prod0813	18306	1	256587	evt256587	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18313	1	81597	evt81597	vtxscan-prod0813/ok	0.0000
dev	vtxscan-prod0813	18342	1	30504	evt30504	vtxscan-prod0813/miss	100.7866
test	vtxscan-prod0813	18355	1	400474	evt400474	vtxscan-prod0813/ok	0.7414
test	vtxscan-prod0813	18409	1	214469	evt214469	vtxscan-prod0813/ok	0.0000
test	vtxscan-prod0813-mc	31	88	5	evt5	vtxscan-prod0813-mc/ok	0.0000
test	vtxscan-prod0813-mc	32	10	13	evt13	vtxscan-prod0813-mc/ok	0.0000
test	vtxscan-prod0813-mc	32	10	14	evt14	vtxscan-prod0813-mc/miss	108.7668
dev	vtxscan-prod0813-mc	32	10	16	evt16	vtxscan-prod0813-mc/miss	2.0424
test	vtxscan-prod0813-mc	713	74	31	evt31	vtxscan-prod0813-mc/miss	5.6342
test	vtxscan-prod0813-mc	713	74	34	evt34	vtxscan-prod0813-mc/ok	0.0000
test	vtxscan-prod0813-mc	713	74	36	evt36	vtxscan-prod0813-mc/miss	8.3802
test	vtxscan-prod0813-mc	713	74	45	evt45	vtxscan-prod0813-mc/miss	5.1150
dev	vtxscan-prod0813-mcp1k	18255	1	48367	evt48367	vtxscan-prod0813-mcp1k/miss	55.4503
dev	vtxscan-prod0813-mcp1k	18255	1	48895	evt48895	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	49951	evt49951	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	50303	evt50303	vtxscan-prod0813-mcp1k/miss	22.4695
test	vtxscan-prod0813-mcp1k	18255	1	50831	evt50831	vtxscan-prod0813-mcp1k/miss	6.8426
test	vtxscan-prod0813-mcp1k	18255	1	51051	evt51051	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	51513	evt51513	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	52085	evt52085	vtxscan-prod0813-mcp1k/miss	104.1903
test	vtxscan-prod0813-mcp1k	18255	1	52657	evt52657	vtxscan-prod0813-mcp1k/miss	98.6974
test	vtxscan-prod0813-mcp1k	18255	1	52723	evt52723	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	53361	evt53361	vtxscan-prod0813-mcp1k/miss	121.9927
test	vtxscan-prod0813-mcp1k	18255	1	53427	evt53427	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	54175	evt54175	vtxscan-prod0813-mcp1k/miss	182.2510
test	vtxscan-prod0813-mcp1k	18255	1	54341	evt54341	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	54351	evt54351	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	55539	evt55539	vtxscan-prod0813-mcp1k/miss	180.6430
dev	vtxscan-prod0813-mcp1k	18255	1	55595	evt55595	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	55627	evt55627	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	55715	evt55715	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	56211	evt56211	vtxscan-prod0813-mcp1k/miss	6.2224
test	vtxscan-prod0813-mcp1k	18255	1	56243	evt56243	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	56463	evt56463	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	57441	evt57441	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	57485	evt57485	vtxscan-prod0813-mcp1k/miss	45.5014
test	vtxscan-prod0813-mcp1k	18255	1	57575	evt57575	vtxscan-prod0813-mcp1k/miss	285.1628
test	vtxscan-prod0813-mcp1k	18255	1	57661	evt57661	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	57883	evt57883	vtxscan-prod0813-mcp1k/miss	1.4649
test	vtxscan-prod0813-mcp1k	18255	1	57903	evt57903	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	58321	evt58321	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	58345	evt58345	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	58607	evt58607	vtxscan-prod0813-mcp1k/miss	3.4545
dev	vtxscan-prod0813-mcp1k	18255	1	58653	evt58653	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	58717	evt58717	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	59003	evt59003	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	59025	evt59025	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	59085	evt59085	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	59093	evt59093	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	59179	evt59179	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	59247	evt59247	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	59261	evt59261	vtxscan-prod0813-mcp1k/miss	83.3430
dev	vtxscan-prod0813-mcp1k	18255	1	59335	evt59335	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	59371	evt59371	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	59553	evt59553	vtxscan-prod0813-mcp1k/miss	7.6668
test	vtxscan-prod0813-mcp1k	18255	1	59685	evt59685	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	59899	evt59899	vtxscan-prod0813-mcp1k/miss	34.9003
test	vtxscan-prod0813-mcp1k	18255	1	59929	evt59929	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	60017	evt60017	vtxscan-prod0813-mcp1k/miss	45.8328
dev	vtxscan-prod0813-mcp1k	18255	1	60669	evt60669	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	60933	evt60933	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	61351	evt61351	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	61417	evt61417	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	61461	evt61461	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	61579	evt61579	vtxscan-prod0813-mcp1k/miss	3.7843
test	vtxscan-prod0813-mcp1k	18255	1	61681	evt61681	vtxscan-prod0813-mcp1k/miss	5.1412
test	vtxscan-prod0813-mcp1k	18255	1	61843	evt61843	vtxscan-prod0813-mcp1k/miss	71.5930
dev	vtxscan-prod0813-mcp1k	18255	1	62149	evt62149	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	62281	evt62281	vtxscan-prod0813-mcp1k/miss	28.2070
test	vtxscan-prod0813-mcp1k	18255	1	62459	evt62459	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	62495	evt62495	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	62613	evt62613	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	62721	evt62721	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	63163	evt63163	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	63359	evt63359	vtxscan-prod0813-mcp1k/miss	3.2875
test	vtxscan-prod0813-mcp1k	18255	1	63427	evt63427	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	63551	evt63551	vtxscan-prod0813-mcp1k/miss	91.1251
test	vtxscan-prod0813-mcp1k	18255	1	63559	evt63559	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	63603	evt63603	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	63669	evt63669	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	64409	evt64409	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	64503	evt64503	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	64591	evt64591	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	64717	evt64717	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	64921	evt64921	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	64959	evt64959	vtxscan-prod0813-mcp1k/miss	24.5663
test	vtxscan-prod0813-mcp1k	18255	1	65025	evt65025	vtxscan-prod0813-mcp1k/miss	38.7113
test	vtxscan-prod0813-mcp1k	18255	1	65053	evt65053	vtxscan-prod0813-mcp1k/miss	10.8189
test	vtxscan-prod0813-mcp1k	18255	1	65267	evt65267	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	65289	evt65289	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	65295	evt65295	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	276836	evt276836	vtxscan-prod0813-mcp1k/miss	225.3326
test	vtxscan-prod0813-mcp1k	18255	1	277276	evt277276	vtxscan-prod0813-mcp1k/ok	0.5708
test	vtxscan-prod0813-mcp1k	18255	1	277298	evt277298	vtxscan-prod0813-mcp1k/miss	6.3587
dev	vtxscan-prod0813-mcp1k	18255	1	278046	evt278046	vtxscan-prod0813-mcp1k/miss	4.7002
test	vtxscan-prod0813-mcp1k	18255	1	278266	evt278266	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	278420	evt278420	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	278640	evt278640	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	278684	evt278684	vtxscan-prod0813-mcp1k/miss	164.9477
dev	vtxscan-prod0813-mcp1k	18255	1	278785	evt278785	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	278794	evt278794	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	279190	evt279190	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	279256	evt279256	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	279445	evt279445	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	279643	evt279643	vtxscan-prod0813-mcp1k/miss	1.5993
test	vtxscan-prod0813-mcp1k	18255	1	280017	evt280017	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	280598	evt280598	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	280752	evt280752	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	280774	evt280774	vtxscan-prod0813-mcp1k/miss	37.8152
test	vtxscan-prod0813-mcp1k	18255	1	280853	evt280853	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	280972	evt280972	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	280994	evt280994	vtxscan-prod0813-mcp1k/miss	115.1484
dev	vtxscan-prod0813-mcp1k	18255	1	281214	evt281214	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	281485	evt281485	vtxscan-prod0813-mcp1k/miss	29.2678
test	vtxscan-prod0813-mcp1k	18255	1	281505	evt281505	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	281507	evt281507	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	281527	evt281527	vtxscan-prod0813-mcp1k/miss	152.3538
test	vtxscan-prod0813-mcp1k	18255	1	281595	evt281595	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	281639	evt281639	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	281727	evt281727	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	281837	evt281837	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	281953	evt281953	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282057	evt282057	vtxscan-prod0813-mcp1k/miss	4.8492
test	vtxscan-prod0813-mcp1k	18255	1	282072	evt282072	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282204	evt282204	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282217	evt282217	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282231	evt282231	vtxscan-prod0813-mcp1k/miss	37.0165
test	vtxscan-prod0813-mcp1k	18255	1	282385	evt282385	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282459	evt282459	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282666	evt282666	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	282737	evt282737	vtxscan-prod0813-mcp1k/miss	165.1865
dev	vtxscan-prod0813-mcp1k	18255	1	282899	evt282899	vtxscan-prod0813-mcp1k/miss	128.5509
test	vtxscan-prod0813-mcp1k	18255	1	282979	evt282979	vtxscan-prod0813-mcp1k/miss	108.1340
dev	vtxscan-prod0813-mcp1k	18255	1	283009	evt283009	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	283040	evt283040	vtxscan-prod0813-mcp1k/miss	2.1051
dev	vtxscan-prod0813-mcp1k	18255	1	283091	evt283091	vtxscan-prod0813-mcp1k/miss	109.4649
test	vtxscan-prod0813-mcp1k	18255	1	283229	evt283229	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	283463	evt283463	vtxscan-prod0813-mcp1k/miss	69.1333
test	vtxscan-prod0813-mcp1k	18255	1	283595	evt283595	vtxscan-prod0813-mcp1k/ok	0.5891
test	vtxscan-prod0813-mcp1k	18255	1	283691	evt283691	vtxscan-prod0813-mcp1k/miss	13.5741
test	vtxscan-prod0813-mcp1k	18255	1	283713	evt283713	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	283771	evt283771	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	283905	evt283905	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	283991	evt283991	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	284013	evt284013	vtxscan-prod0813-mcp1k/miss	8.7655
test	vtxscan-prod0813-mcp1k	18255	1	284103	evt284103	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	284145	evt284145	vtxscan-prod0813-mcp1k/miss	4.6713
test	vtxscan-prod0813-mcp1k	18255	1	284153	evt284153	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	284200	evt284200	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	284211	evt284211	vtxscan-prod0813-mcp1k/miss	135.9792
test	vtxscan-prod0813-mcp1k	18255	1	284235	evt284235	vtxscan-prod0813-mcp1k/miss	43.4575
test	vtxscan-prod0813-mcp1k	18255	1	284637	evt284637	vtxscan-prod0813-mcp1k/miss	31.2800
dev	vtxscan-prod0813-mcp1k	18255	1	284657	evt284657	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	284769	evt284769	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	284791	evt284791	vtxscan-prod0813-mcp1k/miss	41.0507
test	vtxscan-prod0813-mcp1k	18255	1	284794	evt284794	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	285069	evt285069	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	285311	evt285311	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	285366	evt285366	vtxscan-prod0813-mcp1k/miss	66.9215
test	vtxscan-prod0813-mcp1k	18255	1	285443	evt285443	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	285467	evt285467	vtxscan-prod0813-mcp1k/miss	99.3717
test	vtxscan-prod0813-mcp1k	18255	1	285531	evt285531	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	285564	evt285564	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	285665	evt285665	vtxscan-prod0813-mcp1k/miss	89.1433
test	vtxscan-prod0813-mcp1k	18255	1	285753	evt285753	vtxscan-prod0813-mcp1k/ok	0.9123
test	vtxscan-prod0813-mcp1k	18255	1	285929	evt285929	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	285971	evt285971	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	286177	evt286177	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	286180	evt286180	vtxscan-prod0813-mcp1k/miss	32.2696
test	vtxscan-prod0813-mcp1k	18255	1	286191	evt286191	vtxscan-prod0813-mcp1k/miss	14.6852
test	vtxscan-prod0813-mcp1k	18255	1	286241	evt286241	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	286268	evt286268	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	286353	evt286353	vtxscan-prod0813-mcp1k/miss	71.1657
dev	vtxscan-prod0813-mcp1k	18255	1	286400	evt286400	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	286527	evt286527	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	286655	evt286655	vtxscan-prod0813-mcp1k/miss	14.8610
test	vtxscan-prod0813-mcp1k	18255	1	286681	evt286681	vtxscan-prod0813-mcp1k/miss	51.0700
test	vtxscan-prod0813-mcp1k	18255	1	286818	evt286818	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	286906	evt286906	vtxscan-prod0813-mcp1k/miss	2.7882
test	vtxscan-prod0813-mcp1k	18255	1	287211	evt287211	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	287249	evt287249	vtxscan-prod0813-mcp1k/miss	134.8208
test	vtxscan-prod0813-mcp1k	18255	1	287431	evt287431	vtxscan-prod0813-mcp1k/none	
dev	vtxscan-prod0813-mcp1k	18255	1	287517	evt287517	vtxscan-prod0813-mcp1k/miss	1.0505
test	vtxscan-prod0813-mcp1k	18255	1	287555	evt287555	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	287599	evt287599	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	287621	evt287621	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	287654	evt287654	vtxscan-prod0813-mcp1k/miss	59.1846
test	vtxscan-prod0813-mcp1k	18255	1	287825	evt287825	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	287830	evt287830	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	288067	evt288067	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	288287	evt288287	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	288358	evt288358	vtxscan-prod0813-mcp1k/miss	115.3767
dev	vtxscan-prod0813-mcp1k	18255	1	288639	evt288639	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	288745	evt288745	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	288859	evt288859	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	288947	evt288947	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	289251	evt289251	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	289559	evt289559	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	289832	evt289832	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	290052	evt290052	vtxscan-prod0813-mcp1k/miss	69.2559
dev	vtxscan-prod0813-mcp1k	18255	1	290294	evt290294	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	290729	evt290729	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	291037	evt291037	vtxscan-prod0813-mcp1k/miss	103.0652
dev	vtxscan-prod0813-mcp1k	18255	1	291064	evt291064	vtxscan-prod0813-mcp1k/miss	159.3605
test	vtxscan-prod0813-mcp1k	18255	1	291262	evt291262	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	291372	evt291372	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	291499	evt291499	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	291548	evt291548	vtxscan-prod0813-mcp1k/ok	0.0000
test	vtxscan-prod0813-mcp1k	18255	1	291570	evt291570	vtxscan-prod0813-mcp1k/miss	195.7958
test	vtxscan-prod0813-mcp1k	18255	1	291961	evt291961	vtxscan-prod0813-mcp1k/ok	0.0000
dev	vtxscan-prod0813-mcp1k	18255	1	292005	evt292005	vtxscan-prod0813-mcp1k/ok	0.0000
